image,condition,amp,block,hop,r_min,field_grid,seed,dists,lpips,psnr,ssim,rms,linf,latent_move,move_per_dists,fold_frac,grid,n_bands
task_attr_mod_color_11699,disp_k1,0.05,32,8,0.12,16,0,4.4e-05,0.00013,52.475,0.99991,0.002376,0.03868,1.4631,33260.69,,,1
task_attr_mod_color_11699,disp_k1,0.1,32,8,0.12,16,0,0.000158,0.000517,46.466,0.99966,0.004749,0.07729,3.8986,24738.33,,,1
task_attr_mod_color_11699,disp_k1,0.25,32,8,0.12,16,0,0.000947,0.003087,38.549,0.9979,0.011818,0.19213,9.6687,10209.82,,,1
task_attr_mod_color_11699,disp_k1,0.5,32,8,0.12,16,0,0.003072,0.010614,32.666,0.9917,0.023264,0.37035,16.4454,5352.75,,,1
task_attr_mod_color_11699,disp_k1,1.0,32,8,0.12,16,0,0.008104,0.030439,27.162,0.96874,0.043841,0.59339,27.2317,3360.29,,,1
task_attr_mod_color_11699,disp_k1,2.0,32,8,0.12,16,0,0.021477,0.080252,22.745,0.90069,0.072907,0.78713,42.5409,1980.77,,,1
task_attr_mod_color_11699,disp_k2,0.05,32,8,0.12,16,0,5.2e-05,0.000284,52.184,0.99991,0.002457,0.0341,2.0539,39380.67,,,2
task_attr_mod_color_11699,disp_k2,0.1,32,8,0.12,16,0,0.000206,0.001215,46.177,0.99966,0.00491,0.06855,4.4615,21664.84,,,2
task_attr_mod_color_11699,disp_k2,0.25,32,8,0.12,16,0,0.001217,0.007682,38.273,0.99789,0.012199,0.17254,11.9849,9848.82,,,2
task_attr_mod_color_11699,disp_k2,0.5,32,8,0.12,16,0,0.005483,0.026256,32.424,0.99166,0.023922,0.32791,20.9551,3821.56,,,2
task_attr_mod_color_11699,disp_k2,1.0,32,8,0.12,16,0,0.017852,0.070471,26.992,0.96862,0.04471,0.56664,35.5144,1989.34,,,2
task_attr_mod_color_11699,disp_k2,2.0,32,8,0.12,16,0,0.041501,0.148816,22.704,0.89946,0.073253,0.70505,51.2595,1235.15,,,2
task_attr_mod_color_11699,disp_k3,0.05,32,8,0.12,16,0,8.6e-05,0.000376,52.732,0.99991,0.002307,0.03069,2.9495,34173.87,,,3
task_attr_mod_color_11699,disp_k3,0.1,32,8,0.12,16,0,0.000296,0.001715,46.725,0.99968,0.004609,0.06175,5.9962,20253.59,,,3
task_attr_mod_color_11699,disp_k3,0.25,32,8,0.12,16,0,0.001375,0.011652,38.811,0.99797,0.011467,0.15335,13.975,10166.6,,,3
task_attr_mod_color_11699,disp_k3,0.5,32,8,0.12,16,0,0.006075,0.038382,32.926,0.992,0.02258,0.28067,23.5187,3871.35,,,3
task_attr_mod_color_11699,disp_k3,1.0,32,8,0.12,16,0,0.020759,0.09478,27.386,0.96978,0.042727,0.49307,37.3678,1800.05,,,3
task_attr_mod_color_11699,disp_k3,2.0,32,8,0.12,16,0,0.051373,0.171908,22.874,0.90165,0.071826,0.7615,52.6689,1025.22,,,3
task_attr_mod_color_11699,disp_k4,0.05,32,8,0.12,16,0,0.000192,0.000424,53.128,0.99992,0.002204,0.02727,3.7222,19351.72,,,4
task_attr_mod_color_11699,disp_k4,0.1,32,8,0.12,16,0,0.000793,0.002034,47.123,0.99969,0.004403,0.05472,6.6262,8361.09,,,4
task_attr_mod_color_11699,disp_k4,0.25,32,8,0.12,16,0,0.003037,0.013757,39.21,0.99806,0.010952,0.13533,15.2474,5019.79,,,4
task_attr_mod_color_11699,disp_k4,0.5,32,8,0.12,16,0,0.012614,0.043473,33.319,0.99235,0.02158,0.25649,26.4111,2093.87,,,4
task_attr_mod_color_11699,disp_k4,1.0,32,8,0.12,16,0,0.036436,0.10229,27.755,0.9711,0.040951,0.47567,40.2869,1105.7,,,4
task_attr_mod_color_11699,disp_k4,2.0,32,8,0.12,16,0,0.07212,0.182901,23.155,0.90499,0.069543,0.70897,55.4591,768.99,,,4
task_attr_mod_color_11699,disp_k8,0.05,32,8,0.12,16,0,5.9e-05,0.000727,53.736,0.99992,0.002054,0.02292,3.0504,51486.12,,,8
task_attr_mod_color_11699,disp_k8,0.1,32,8,0.12,16,0,0.000284,0.003857,47.731,0.9997,0.004105,0.04483,7.0139,24710.88,,,8
task_attr_mod_color_11699,disp_k8,0.25,32,8,0.12,16,0,0.002934,0.022146,39.818,0.99814,0.010211,0.11099,16.9191,5767.06,,,8
task_attr_mod_color_11699,disp_k8,0.5,32,8,0.12,16,0,0.01536,0.059349,33.929,0.99272,0.020116,0.22838,28.1198,1830.67,,,8
task_attr_mod_color_11699,disp_k8,1.0,32,8,0.12,16,0,0.045065,0.127758,28.368,0.97293,0.038159,0.41684,42.7555,948.76,,,8
task_attr_mod_color_11699,disp_k8,2.0,32,8,0.12,16,0,0.08657,0.215239,23.839,0.91321,0.06428,0.6749,57.4029,663.08,,,8
task_attr_mod_color_11699,disp_kfull,0.1,32,8,0.12,16,0,0.00076,0.001429,52.847,0.99981,0.002276,0.0251,4.7206,6215.06,,,
task_attr_mod_color_11699,disp_kfull,0.2,32,8,0.12,16,0,0.002084,0.007059,46.818,0.99926,0.00456,0.05127,9.8542,4727.66,,,
task_attr_mod_color_11699,disp_kfull,0.4,32,8,0.12,16,0,0.009336,0.025099,40.729,0.99702,0.009195,0.10625,18.1102,1939.82,,,
task_attr_mod_color_11699,disp_kfull,0.8,32,8,0.12,16,0,0.032068,0.067607,34.437,0.98794,0.018973,0.22233,28.9078,901.44,,,
task_attr_mod_color_11699,disp_kfull,1.6,32,8,0.12,16,0,0.075162,0.155006,27.669,0.94853,0.041355,0.44328,45.535,605.83,,,
task_attr_mod_color_11699,disp_kfull,3.141592653589793,32,8,0.12,16,0,0.172918,0.348458,21.278,0.78547,0.086316,0.74459,73.7403,426.45,,,
task_attr_mod_color_11699,warp_smooth,0.25,32,8,0.12,16,0,0.003685,0.014014,36.021,0.99615,0.015811,0.23241,14.6038,3963.05,0.0,16,
task_attr_mod_color_11699,warp_smooth,0.5,32,8,0.12,16,0,0.009975,0.037764,30.231,0.98484,0.030793,0.42852,24.8515,2491.49,0.0,16,
task_attr_mod_color_11699,warp_smooth,1.0,32,8,0.12,16,0,0.014442,0.056319,24.692,0.94463,0.058263,0.7119,35.0712,2428.45,0.00053,16,
task_attr_mod_color_11699,warp_smooth,2.0,32,8,0.12,16,0,0.02732,0.099189,20.399,0.83748,0.095506,0.8974,50.9863,1866.24,0.00282,16,
