image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield,instruct-pix2pix,turn the color of potted plant to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.59817,0.67692,23.462,0.32635,0.10473,0.66372,0.38838,8.462,0.07747,0.36104,0.48001,0.06712,0.73936,0.72459,True,0.837,389.3
task_attr_mod_color_136767,dct_shield,instruct-pix2pix,turn the color of astronaut to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54757,0.65892,23.849,0.35378,0.11379,0.62548,0.25235,6.777,0.02372,0.45219,0.51647,0.0642,0.79799,0.83721,False,0.837,376.2
task_attr_mod_color_184837,dct_shield,instruct-pix2pix,turn the color of frame to pink,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5168,0.82288,23.347,0.43688,0.08599,0.78208,0.13572,6.142,0.03166,0.66732,0.51832,0.06802,0.69871,0.63285,True,0.837,376.6
task_attr_mod_color_32648,dct_shield,instruct-pix2pix,turn the color of potion bottle to orange,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.6736,0.48024,24.976,0.12754,0.20967,0.63924,0.43141,10.069,0.06425,0.38854,0.50012,0.05639,0.80771,0.69244,True,0.837,380.2
task_attr_mod_color_6205,dct_shield,instruct-pix2pix,turn the color of toolbox to red,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.61964,0.64971,23.696,0.30891,0.1257,0.72859,0.18996,6.503,0.52095,0.78461,0.55958,0.06534,0.5546,0.46879,True,0.837,377.2
task_env_weather_112463,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.66209,0.67901,23.483,0.3298,0.09942,0.89768,0.28318,10.299,0.14508,0.39936,0.45447,0.06697,0.54602,0.57545,True,0.837,377.4
task_env_weather_246440,dct_shield,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39855,0.82612,23.011,0.44988,0.05483,0.63682,0.25164,13.804,0.13611,0.3561,0.539,0.0707,0.89338,0.85893,False,0.837,377.7
task_env_weather_63722,dct_shield,instruct-pix2pix,change the setting to a snowy landscape,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57619,0.69923,23.762,0.35397,0.10073,0.69082,0.30986,12.042,0.02799,0.47887,0.47785,0.06485,0.6165,0.61672,True,0.837,377.3
task_obj_add_40931,dct_shield,instruct-pix2pix,Add the blood on snout,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55012,0.79178,24.002,0.42871,0.11777,0.73141,0.1591,10.234,0.04838,0.41057,0.46991,0.06308,0.49495,0.56847,True,0.837,377.5
task_obj_remove_380621,dct_shield,instruct-pix2pix,Remove iceberg,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.62499,0.69154,23.755,0.3462,0.18529,0.74012,0.22996,7.906,0.03775,0.38827,0.44262,0.0649,0.7359,0.7118,True,0.837,380.7
task_obj_swap_joint_mask_276754,dct_shield,instruct-pix2pix,Replace the satellite dish with rocket,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52716,0.65453,23.707,0.34525,0.12072,0.66622,0.48621,11.661,0.01566,0.38635,0.54568,0.06526,0.8961,0.89583,False,0.837,377.1
task_obj_swap_joint_mask_533428,dct_shield,instruct-pix2pix,Replace the samurai armor with red jacket,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5298,0.75077,23.366,0.40762,0.09584,0.64072,0.23678,9.179,0.055,0.28195,0.43622,0.06787,0.65676,0.62912,True,0.837,377.4
task_obj_swap_rand_mask_417469,dct_shield,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57353,0.65337,23.689,0.33557,0.09848,0.75854,0.18775,8.86,0.05489,0.40858,0.47059,0.0654,0.28945,0.50321,True,0.837,376.9
