image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_rotate,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21007,0.96081,28.671,0.50926,0.08563,0.21083,0.90142,23.507,0.3626,0.10132,0.78302,0.03685,0.98038,0.97051,False,0.837,401.3
task_attr_mod_color_136767,dct_rotate,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19969,0.94729,28.473,0.47489,0.10751,0.2185,0.84619,24.308,0.34807,0.12794,0.67757,0.0377,0.99163,0.98379,False,0.837,391.0
task_attr_mod_color_184837,dct_rotate,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26697,0.93131,24.662,0.4138,0.13778,0.28155,0.7763,19.983,0.2805,0.171,0.68952,0.05847,0.98391,0.96725,False,0.837,390.9
task_attr_mod_color_32648,dct_rotate,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18964,0.9732,36.601,0.48761,0.06517,0.22859,0.87083,21.091,0.59925,0.16998,0.7324,0.01479,0.93769,0.93762,False,0.837,390.6
task_attr_mod_color_6205,dct_rotate,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18179,0.951,30.192,0.56716,0.10735,0.27478,0.8185,14.33,0.43056,0.15299,0.62545,0.03093,0.98167,0.95107,False,0.837,390.9
task_env_weather_112463,dct_rotate,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3012,0.90453,29.338,0.45048,0.10066,0.34333,0.66608,19.474,0.26776,0.14198,0.52343,0.03413,0.91491,0.91505,False,0.837,390.8
task_obj_remove_380621,dct_rotate,instruct-pix2pix,Remove iceberg,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.24506,0.93146,27.104,0.47159,0.08953,0.28386,0.75964,21.188,0.31429,0.14719,0.80671,0.04414,0.95608,0.94548,False,0.837,390.9
task_obj_swap_joint_mask_276754,dct_rotate,instruct-pix2pix,Replace the satellite dish with rocket,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34979,0.84105,24.237,0.22911,0.11271,0.33018,0.77675,18.407,0.16046,0.21858,0.60817,0.06139,0.92762,0.89676,False,0.837,390.4
task_obj_swap_joint_mask_533428,dct_rotate,instruct-pix2pix,Replace the samurai armor with red jacket,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.325,0.8864,24.565,0.3575,0.12072,0.45755,0.51508,16.071,0.13688,0.21299,0.85013,0.05912,0.92996,0.88749,False,0.837,391.1
task_obj_swap_rand_mask_417469,dct_rotate,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25872,0.90818,26.994,0.419,0.09691,0.2953,0.79088,22.65,0.29591,0.14013,0.7508,0.0447,0.95726,0.90755,False,0.837,391.0
