image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,stop_reason,stopped_at,best_eval,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,disp_k4_opt,instruct-pix2pix,turn the color of potted plant to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,4101,96.13332367,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.10622,0.94703,26.307,0.50213,0.05492,0.15275,0.8968,22.56,0.40206,0.06726,0.62267,0.04838,0.9866,0.98144,False,0.837,690.1
task_attr_mod_color_136767,disp_k4_opt,instruct-pix2pix,turn the color of astronaut to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3501,122.40673828,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.11154,0.94897,28.025,0.51312,0.06908,0.14632,0.9012,25.441,0.41019,0.08253,0.58389,0.0397,0.99244,0.98999,False,0.837,583.0
task_attr_mod_color_184837,disp_k4_opt,instruct-pix2pix,turn the color of frame to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3701,93.27584076,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.11494,0.90684,23.81,0.44783,0.11031,0.1784,0.80767,21.091,0.33023,0.12154,0.66222,0.06449,0.97878,0.98229,False,0.837,615.6
task_attr_mod_color_32648,disp_k4_opt,instruct-pix2pix,turn the color of potion bottle to orange,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3501,156.44021606,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.08907,0.98827,39.134,0.6922,0.04886,0.15011,0.9116,21.3,0.67812,0.13679,0.3191,0.01105,0.9407,0.97074,False,0.837,582.8
task_attr_mod_color_6205,disp_k4_opt,instruct-pix2pix,turn the color of toolbox to red,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,4301,101.00831604,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.08099,0.96122,30.447,0.60389,0.08332,0.20123,0.85436,15.895,0.50815,0.11913,0.68461,0.03004,0.97986,0.9641,False,0.837,711.7
task_env_weather_112463,disp_k4_opt,instruct-pix2pix,transform the setting to spring with blooming flowers,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3701,108.64834595,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.143,0.91787,29.443,0.53982,0.04621,0.2546,0.74787,21.35,0.33746,0.11166,0.54879,0.03372,0.94658,0.96199,False,0.837,615.8
task_obj_remove_380621,disp_k4_opt,instruct-pix2pix,Remove iceberg,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3901,90.65374756,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.11923,0.94364,27.19,0.57872,0.08049,0.19503,0.83989,22.344,0.39866,0.0991,0.858,0.0437,0.99042,0.97755,False,0.837,647.6
task_obj_swap_joint_mask_276754,disp_k4_opt,instruct-pix2pix,Replace the satellite dish with rocket,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,max_steps,5000,111.21356201,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29051,0.81818,24.798,0.2788,0.11009,0.36175,0.77356,17.293,0.1589,0.22653,0.7045,0.05756,0.93643,0.9141,False,0.837,822.9
task_obj_swap_joint_mask_533428,disp_k4_opt,instruct-pix2pix,Replace the samurai armor with red jacket,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3801,95.23738861,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13962,0.91666,25.084,0.45786,0.08183,0.34314,0.66262,17.018,0.22703,0.15749,0.5939,0.05569,0.95764,0.88718,False,0.837,632.4
task_obj_swap_rand_mask_417469,disp_k4_opt,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3601,111.26763153,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.12425,0.93194,27.173,0.49515,0.04967,0.16259,0.86067,24.193,0.38125,0.06597,0.54681,0.04379,0.98537,0.95674,False,0.837,600.0
