image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.09771,0.97879,30.339,0.62135,0.03624,0.1451,0.9114,22.93,0.43952,0.08197,0.4831,0.03041,36.4
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.1538,0.9651,30.914,0.57038,0.07457,0.19905,0.82555,24.462,0.37917,0.14015,0.35691,0.02846,36.4
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.19604,0.93874,25.256,0.47998,0.11214,0.29997,0.70687,18.388,0.30488,0.19692,0.47634,0.0546,36.5
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.1115,0.99353,42.972,0.75811,0.02617,0.11948,0.91744,23.169,0.69299,0.11281,0.17231,0.0071,36.4
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.1011,0.97631,33.49,0.66554,0.07837,0.25481,0.78664,13.304,0.48084,0.15811,0.35489,0.02116,36.5
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.12912,0.96661,33.125,0.64366,0.03203,0.18706,0.85695,24.816,0.40122,0.07601,0.29366,0.02207,36.5
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.12944,0.97764,34.345,0.66775,0.02407,0.20763,0.90347,26.504,0.3997,0.06266,0.28257,0.01918,36.5
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.15978,0.9568,33.411,0.61507,0.03852,0.52626,0.72837,15.019,0.36774,0.29909,0.23741,0.02135,36.5
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.16943,0.93203,23.196,0.48318,0.07184,0.37748,0.54996,16.764,0.18169,0.19043,0.71509,0.06922,36.4
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,0.12,0,32,latent_norm,0.0,none,100,7.5,1.5,20260812,False,0.13928,0.97021,28.709,0.54701,0.05928,0.2057,0.86347,21.757,0.32413,0.1127,0.47882,0.03669,36.5
