image,condition,radius,step,loss,param_absmean,eval
task_attr_mod_color_11699,phase_gain,2.5,0,0.4220588505268097,0.008768380653389314,0.14502167701721191
task_attr_mod_color_11699,phase_gain,2.5,75,0.08657579123973846,0.08544398866240283,
task_attr_mod_color_11699,phase_gain,2.5,150,0.0019208249868825078,0.1384192354826546,
task_attr_mod_color_11699,phase_gain,2.5,200,0.005547626875340939,0.16514393618024134,0.02600684203207493
task_attr_mod_color_11699,phase_gain,2.5,225,0.0211887639015913,0.1812382980189117,
task_attr_mod_color_11699,phase_gain,2.5,300,0.003506433218717575,0.2187499954678617,
task_attr_mod_color_11699,phase_gain,2.5,375,0.0015734941698610783,0.2576622414868314,
task_attr_mod_color_11699,phase_gain,2.5,400,0.017890283837914467,0.26841860098329273,0.01265226025134325
task_attr_mod_color_11699,phase_gain,2.5,450,0.006607277784496546,0.29297960900336467,
task_attr_mod_color_11699,phase_gain,2.5,525,0.0010815066052600741,0.3261373763632672,
task_attr_mod_color_11699,phase_gain,2.5,600,0.039844855666160583,0.36183357625594614,0.007620801217854023
task_attr_mod_color_11699,phase_gain,2.5,675,0.0032361808698624372,0.39347167232277525,
task_attr_mod_color_11699,phase_gain,2.5,750,0.0011428475845605135,0.42234912511602274,
task_attr_mod_color_11699,phase_gain,2.5,800,0.0044074514880776405,0.43957860178094904,0.005500939674675465
task_attr_mod_color_11699,phase_gain,2.5,825,0.004147408530116081,0.44878221443903005,
task_attr_mod_color_11699,phase_gain,2.5,900,0.0005630581872537732,0.474529128959276,
task_attr_mod_color_11699,phase_gain,2.5,975,0.007581125013530254,0.5005160473952894,
task_attr_mod_color_11699,phase_gain,2.5,1000,0.0017888344591483474,0.507563957535677,0.0043798815459012985
task_attr_mod_color_11699,phase_gain,2.5,1050,0.004309255629777908,0.5232041492632556,
task_attr_mod_color_11699,phase_gain,2.5,1125,0.003075163811445236,0.5458935563870518,
task_attr_mod_color_11699,phase_gain,2.5,1200,0.002903368789702654,0.5673949994198862,0.003746140981093049
task_attr_mod_color_11699,phase_gain,2.5,1275,0.0028344225138425827,0.5872641837800209,
task_attr_mod_color_11699,phase_gain,2.5,1350,0.0005938055110163987,0.6074104993328693,
task_attr_mod_color_11699,phase_gain,2.5,1400,0.0026246123015880585,0.620926332811231,0.00348083907738328
task_attr_mod_color_11699,phase_gain,2.5,1425,0.0013357722200453281,0.6265540520942104,
task_attr_mod_color_11699,phase_gain,2.5,1500,0.0021964083425700665,0.6449550593166261,
task_attr_mod_color_11699,phase_gain,2.5,1575,0.000908487185370177,0.660322923918088,
task_attr_mod_color_11699,phase_gain,2.5,1600,0.0019165631383657455,0.6666713257048381,0.00316016748547554
task_attr_mod_color_11699,phase_gain,2.5,1650,0.0018795512150973082,0.6781099351722938,
task_attr_mod_color_11699,phase_gain,2.5,1725,0.0025397231802344322,0.6934456941060447,
task_attr_mod_color_11699,phase_gain,2.5,1800,0.003341438714414835,0.7101080461770507,0.002986416220664978
task_attr_mod_color_11699,phase_gain,2.5,1875,0.00047412977437488735,0.7207699559113586,
task_attr_mod_color_11699,phase_gain,2.5,1950,0.003988849464803934,0.7360305901206636,
task_attr_mod_color_11699,phase_gain,2.5,2000,0.001580526353791356,0.7447801369068338,0.002842342248186469
task_attr_mod_color_11699,phase_gain,2.5,2025,0.0027079847641289234,0.7502634441350504,
task_attr_mod_color_11699,phase_gain,2.5,2100,0.0029640316497534513,0.763841639836408,
task_attr_mod_color_11699,phase_gain,2.5,2175,0.0005408891593106091,0.775197601229841,
task_attr_mod_color_11699,phase_gain,2.5,2200,0.0016543833771720529,0.777641022015315,0.0027092124801129103
task_attr_mod_color_11699,phase_gain,2.5,2250,0.016385022550821304,0.7858844195962409,
task_attr_mod_color_11699,phase_gain,2.5,2325,0.001815062714740634,0.7966206745272073,
task_attr_mod_color_11699,phase_gain,2.5,2400,0.00034700168180279434,0.8071845631743821,0.0025502219796180725
task_attr_mod_color_11699,phase_gain,2.5,2475,0.0006066791247576475,0.8178572050121824,
task_attr_mod_color_11699,phase_gain,2.5,2550,0.0021594201680272818,0.8275714264995939,
task_attr_mod_color_11699,phase_gain,2.5,2600,0.002304883673787117,0.8348014923424991,0.0024488167837262154
task_attr_mod_color_11699,phase_gain,2.5,2625,0.0008604531758464873,0.8390909618285184,
task_attr_mod_color_11699,phase_gain,2.5,2700,0.0033607722725719213,0.848187380351549,
task_attr_mod_color_11699,phase_gain,2.5,2775,0.0011860063532367349,0.8570093325791855,
task_attr_mod_color_11699,phase_gain,2.5,2800,0.0019638272933661938,0.8620610714700081,0.0023891394957900047
task_attr_mod_color_11699,phase_gain,2.5,2850,0.0018017763504758477,0.8671840193177863,
task_attr_mod_color_11699,phase_gain,2.5,2925,0.002307802438735962,0.875353379887458,
task_attr_mod_color_11699,phase_gain,2.5,2999,0.0050310613587498665,0.8839810302819353,0.0023354506120085716
task_attr_mod_color_6205,phase_gain,2.5,0,0.3852142095565796,0.008768380653389314,0.1411321610212326
task_attr_mod_color_6205,phase_gain,2.5,75,0.09280036389827728,0.08455225646101636,
task_attr_mod_color_6205,phase_gain,2.5,150,0.00241475785151124,0.13562878886761806,
task_attr_mod_color_6205,phase_gain,2.5,200,0.007761276327073574,0.16195552703329852,0.021190589293837547
task_attr_mod_color_6205,phase_gain,2.5,225,0.01411935780197382,0.17682864528947673,
task_attr_mod_color_6205,phase_gain,2.5,300,0.004145440179854631,0.2129499688188885,
task_attr_mod_color_6205,phase_gain,2.5,375,0.002643326763063669,0.2512532903324052,
task_attr_mod_color_6205,phase_gain,2.5,400,0.011808658950030804,0.26137333761167186,0.011122159659862518
task_attr_mod_color_6205,phase_gain,2.5,450,0.005804339423775673,0.28509112317264185,
task_attr_mod_color_6205,phase_gain,2.5,525,0.0015230558346956968,0.3176583982335538,
task_attr_mod_color_6205,phase_gain,2.5,600,0.03684940189123154,0.35221855421162546,0.007301516830921173
task_attr_mod_color_6205,phase_gain,2.5,675,0.0030382140539586544,0.3820506928733032,
task_attr_mod_color_6205,phase_gain,2.5,750,0.001559250638820231,0.40961426970936304,
task_attr_mod_color_6205,phase_gain,2.5,800,0.0033324239775538445,0.42522008063580463,0.005514142103493214
task_attr_mod_color_6205,phase_gain,2.5,825,0.0035831970162689686,0.4339072470704258,
task_attr_mod_color_6205,phase_gain,2.5,900,0.0006471014930866659,0.4590225084116487,
