image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3254,0.94094,24.524,0.41174,0.09857,0.4441,0.68871,16.13,0.25403,0.24702,0.95486,0.0594,0.88203,0.86206,False,0.837,184.6
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38766,0.90884,24.837,0.34234,0.17307,0.54257,0.46594,10.994,0.15086,0.28556,0.97039,0.0573,0.80351,0.81322,True,0.837,174.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44164,0.86266,20.839,0.29791,0.21767,0.7087,0.34882,10.473,0.19027,0.36467,0.76469,0.09079,0.88673,0.85184,False,0.837,174.4
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40928,0.97433,33.311,0.38388,0.08703,0.33341,0.69138,15.649,0.6009,0.23325,0.89775,0.0216,0.94387,0.93081,False,0.837,174.4
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31323,0.94188,27.95,0.45933,0.13407,0.48875,0.57239,11.467,0.36894,0.282,0.80433,0.04004,0.8862,0.85112,False,0.837,174.6
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43753,0.91758,28.699,0.45012,0.08731,0.60627,0.50278,12.349,0.16272,0.27624,0.65493,0.03673,0.76829,0.68761,True,0.837,174.6
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40622,0.83623,19.229,0.25541,0.15087,0.61563,0.25443,13.842,0.12891,0.35228,0.97858,0.10928,0.88304,0.84186,False,0.837,174.6
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38566,0.92783,24.001,0.35357,0.10403,0.49271,0.6116,16.873,0.21015,0.28825,0.66467,0.06309,0.87753,0.82112,True,0.837,174.6
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47919,0.88385,24.26,0.33944,0.15359,0.54167,0.39204,15.564,0.21343,0.35828,0.64423,0.06123,0.84382,0.72222,True,0.837,174.5
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38869,0.92811,24.808,0.46468,0.1097,0.64359,0.3371,8.352,0.15541,0.35727,0.95686,0.05749,0.73099,0.69997,True,0.837,174.5
