tag,label,n,fid_dists,fid_lpips,fid_psnr,fid_ssim,fid_vif_p,fid_linf,fid_rms
ours_ph_q,本方法 純相位 ＋量化 r0.9,10,0.0928,0.46678,27.3992,0.92667,0.32205,0.36084,0.04304
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,10,0.12827,0.49625,25.9357,0.90495,0.28045,0.4816,0.05142
ours_ph_q20,本方法 純相位 ＋量化 r=pi,10,0.1828,0.56634,23.6485,0.83603,0.20267,0.62971,0.06713
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,10,0.19469,0.56817,22.8183,0.83215,0.19668,0.80126,0.07416
ours_ph_n,本方法 純相位 無量化 r0.9,10,0.04968,0.44325,30.4784,0.97373,0.41885,0.32506,0.03044
ours_pg_n,本方法 相位+增益 無量化 r0.9,10,0.08131,0.46835,28.7978,0.95994,0.37746,0.42156,0.03748
ours_pg_m,本方法 相位+增益 無量化 r2.0,10,0.14528,0.53399,25.2765,0.90854,0.26924,0.68882,0.05661
ours_ph_qd60,本方法 純相位 ＋量化 QD0.60 r0.9,10,0.10719,0.36158,28.0833,0.90494,0.34885,0.37366,0.04029
ours_ph_qd45,本方法 純相位 ＋量化 QD0.45 r0.9,10,0.11119,0.34105,28.292,0.89799,0.35857,0.38033,0.03956
ours_ph_qd35,本方法 純相位 ＋量化 QD0.35 r0.9,10,0.11524,0.33398,28.3048,0.88822,0.36202,0.39327,0.03966
dct_native,DCT-Shield 原生 q0.95,10,0.08364,0.51849,26.997,0.78236,0.4161,0.34321,0.04473
dct_aj85,DCT-Shield 抗JPEG q0.85,10,0.11179,0.55301,24.3233,0.89582,0.26582,0.41015,0.0609
dct_aj75,DCT-Shield 抗JPEG q0.75,10,0.1145,0.56521,24.0508,0.88095,0.25809,0.44548,0.06286
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,10,0.15389,0.60652,21.3527,0.82559,0.20786,0.581,0.08573
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,10,0.1962,0.65008,18.6624,0.7379,0.16162,0.77319,0.1168
dct_aj85_eps3.2,DCT-Shield 預算匹配 eps3.2,10,0.24079,0.68455,16.4596,0.64954,0.12527,0.92161,0.15054
dct_aj85_eps4.5,DCT-Shield 預算匹配 eps4.5,10,0.27744,0.7081,14.9042,0.57995,0.09999,0.98536,0.18003
dct_aj50_eps0.22,DCT-Shield q0.50 eps0.22（eps<1）,10,0.09311,0.53314,25.8243,0.90872,0.29354,0.38319,0.05144
dct_aj50_eps0.40,DCT-Shield q0.50 eps0.40（eps<1）,10,0.14785,0.61117,21.6847,0.82029,0.20966,0.55278,0.08252
dct_aj50_eps0.65,DCT-Shield q0.50 eps0.65（eps<1）,10,0.20843,0.66727,18.0109,0.69526,0.14937,0.80375,0.12586
dct_aj30_eps0.13,DCT-Shield q0.30 eps0.13（eps<1）,10,0.09864,0.53844,25.4539,0.90859,0.28197,0.4565,0.05382
dct_aj30_eps0.25,DCT-Shield q0.30 eps0.25（eps<1）,10,0.15616,0.61509,21.2644,0.81441,0.19858,0.63677,0.0866
dct_aj30_eps0.42,DCT-Shield q0.30 eps0.42（eps<1）,10,0.21834,0.67138,17.419,0.67602,0.13837,0.84786,0.13475
