image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_env_weather_112463,dct_shield_y,native,identity,0.78728,0.0853,0.78728,0.0853,1.0,0.57448,True,0.8,True,703.4
task_env_weather_112463,dct_shield_y,native,jpeg90,0.72335,0.11112,0.78728,0.0853,0.91879,0.58438,True,0.8,True,703.4
task_env_weather_112463,dct_shield_y,native,jpeg75,0.68563,0.00662,0.78728,0.0853,0.87088,0.7732,True,0.8,True,703.4
task_env_weather_112463,dct_shield_y,native,jpeg50,0.34466,0.04667,0.78728,0.0853,0.43779,0.90235,False,0.8,True,703.4
task_env_weather_112463,dct_shield_y,native,jpeg30,0.31244,0.08542,0.78728,0.0853,0.39685,0.9389,False,0.8,True,703.4
task_obj_remove_380621,dct_shield_y,native,identity,0.74888,0.0251,0.74888,0.0251,1.0,0.71343,True,0.8,True,695.1
task_obj_remove_380621,dct_shield_y,native,jpeg90,0.74444,0.02679,0.74888,0.0251,0.99407,0.70969,True,0.8,True,695.1
task_obj_remove_380621,dct_shield_y,native,jpeg75,0.62261,0.01879,0.74888,0.0251,0.83139,0.76245,True,0.8,True,695.1
task_obj_remove_380621,dct_shield_y,native,jpeg50,0.36845,0.0865,0.74888,0.0251,0.492,0.92476,False,0.8,True,695.1
task_obj_remove_380621,dct_shield_y,native,jpeg30,0.32234,0.09996,0.74888,0.0251,0.43043,0.94883,False,0.8,True,695.1
task_obj_swap_joint_mask_276754,dct_shield_y,native,identity,0.54,0.16156,0.54,0.16156,1.0,0.90571,False,0.8,True,695.0
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg90,0.54102,0.18891,0.54,0.16156,1.00189,0.88224,False,0.8,True,695.0
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg75,0.4496,0.21336,0.54,0.16156,0.8326,0.89485,False,0.8,True,695.0
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg50,0.26478,0.1431,0.54,0.16156,0.49034,0.92269,False,0.8,True,695.0
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg30,0.11877,0.00713,0.54,0.16156,0.21994,0.93174,False,0.8,True,695.0
task_obj_swap_joint_mask_533428,dct_shield_y,native,identity,0.64852,0.03877,0.64852,0.03877,1.0,0.62969,True,0.8,True,695.3
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg90,0.63742,0.02142,0.64852,0.03877,0.98289,0.6314,True,0.8,True,695.3
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg75,0.59362,0.00579,0.64852,0.03877,0.91535,0.56912,True,0.8,True,695.3
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg50,0.39944,0.07156,0.64852,0.03877,0.61593,0.88646,False,0.8,True,695.3
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg30,0.382,0.09049,0.64852,0.03877,0.58903,0.8846,False,0.8,True,695.3
task_obj_swap_rand_mask_417469,dct_shield_y,native,identity,0.7247,0.07343,0.7247,0.07343,1.0,0.51974,True,0.8,True,694.8
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg90,0.74475,0.03021,0.7247,0.07343,1.02765,0.46836,True,0.8,True,694.8
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg75,0.77397,0.00369,0.7247,0.07343,1.06798,0.43306,True,0.8,True,694.8
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg50,0.33129,0.00418,0.7247,0.07343,0.45714,0.93917,False,0.8,True,694.8
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg30,0.26083,0.00439,0.7247,0.07343,0.35991,0.96624,False,0.8,True,694.8
