image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,phase_gain,native,identity,0.43232,0.00302,0.43232,0.00302,1.0,0.8629,False,0.8,True,1287.1
task_attr_mod_color_11699,phase_gain,native,blur1,0.2051,0.00567,0.43232,0.00302,0.47442,0.94541,False,0.8,True,1287.1
task_attr_mod_color_11699,phase_gain,native,jpeg90,0.37332,0.00288,0.43232,0.00302,0.86353,0.88837,False,0.8,True,1287.1
task_attr_mod_color_11699,phase_gain,native,jpeg75,0.31296,0.00362,0.43232,0.00302,0.72391,0.92606,False,0.8,True,1287.1
task_attr_mod_color_11699,phase_gain,native,jpeg50,0.27197,0.00394,0.43232,0.00302,0.6291,0.96103,False,0.8,True,1287.1
task_attr_mod_color_11699,phase_gain,native,jpeg30,0.30394,0.00292,0.43232,0.00302,0.70304,0.962,False,0.8,True,1287.1
task_attr_mod_color_11699,phase_gain,native,blur2,0.31083,0.00598,0.43232,0.00302,0.71899,0.89092,False,0.8,True,1287.1
task_attr_mod_color_11699,phase_gain,native,crop_resize0.1,0.55734,0.00024,0.43232,0.00302,1.28919,0.87597,False,0.8,True,1287.1
task_attr_mod_color_11699,phase_gain,native,crop_resize0.15,0.63175,0.00519,0.43232,0.00302,1.4613,0.87776,False,0.8,True,1287.1
task_attr_mod_color_136767,phase_gain,native,identity,0.56631,0.03914,0.56631,0.03914,1.0,0.78614,True,0.8,True,1277.8
task_attr_mod_color_136767,phase_gain,native,blur1,0.2118,0.00942,0.56631,0.03914,0.374,0.96797,False,0.8,True,1277.8
task_attr_mod_color_136767,phase_gain,native,jpeg90,0.38004,0.00926,0.56631,0.03914,0.67108,0.94942,False,0.8,True,1277.8
task_attr_mod_color_136767,phase_gain,native,jpeg75,0.28677,0.01049,0.56631,0.03914,0.50639,0.9612,False,0.8,True,1277.8
task_attr_mod_color_136767,phase_gain,native,jpeg50,0.25231,0.00872,0.56631,0.03914,0.44553,0.96695,False,0.8,True,1277.8
task_attr_mod_color_136767,phase_gain,native,jpeg30,0.25687,0.00794,0.56631,0.03914,0.45358,0.96977,False,0.8,True,1277.8
task_attr_mod_color_136767,phase_gain,native,blur2,0.29695,0.01793,0.56631,0.03914,0.52436,0.94054,False,0.8,True,1277.8
task_attr_mod_color_136767,phase_gain,native,crop_resize0.1,0.56068,0.00215,0.56631,0.03914,0.99006,0.90992,False,0.8,True,1277.8
task_attr_mod_color_136767,phase_gain,native,crop_resize0.15,0.58488,0.00141,0.56631,0.03914,1.03279,0.95309,False,0.8,True,1277.8
task_attr_mod_color_184837,phase_gain,native,identity,0.53527,0.00365,0.53527,0.00365,1.0,0.91183,False,0.8,True,1276.6
task_attr_mod_color_184837,phase_gain,native,blur1,0.25957,0.01406,0.53527,0.00365,0.48494,0.97731,False,0.8,True,1276.6
task_attr_mod_color_184837,phase_gain,native,jpeg90,0.47189,0.0091,0.53527,0.00365,0.88159,0.92726,False,0.8,True,1276.6
task_attr_mod_color_184837,phase_gain,native,jpeg75,0.41532,0.02832,0.53527,0.00365,0.7759,0.93954,False,0.8,True,1276.6
task_attr_mod_color_184837,phase_gain,native,jpeg50,0.33004,0.01814,0.53527,0.00365,0.61658,0.96386,False,0.8,True,1276.6
task_attr_mod_color_184837,phase_gain,native,jpeg30,0.34627,0.02663,0.53527,0.00365,0.6469,0.94511,False,0.8,True,1276.6
task_attr_mod_color_184837,phase_gain,native,blur2,0.38696,0.01959,0.53527,0.00365,0.72292,0.93564,False,0.8,True,1276.6
task_attr_mod_color_184837,phase_gain,native,crop_resize0.1,0.68435,0.01974,0.53527,0.00365,1.27851,0.86253,False,0.8,True,1276.6
task_attr_mod_color_184837,phase_gain,native,crop_resize0.15,0.70924,0.01653,0.53527,0.00365,1.32501,0.8449,False,0.8,True,1276.6
task_attr_mod_color_32648,phase_gain,native,identity,0.46455,0.09019,0.46455,0.09019,1.0,0.66532,True,0.8,True,1276.8
task_attr_mod_color_32648,phase_gain,native,blur1,0.17784,0.00809,0.46455,0.09019,0.38282,0.9752,False,0.8,True,1276.8
task_attr_mod_color_32648,phase_gain,native,jpeg90,0.37642,0.05167,0.46455,0.09019,0.81029,0.91825,False,0.8,True,1276.8
task_attr_mod_color_32648,phase_gain,native,jpeg75,0.28061,0.03568,0.46455,0.09019,0.60405,0.92941,False,0.8,True,1276.8
task_attr_mod_color_32648,phase_gain,native,jpeg50,0.25067,0.00682,0.46455,0.09019,0.5396,0.96199,False,0.8,True,1276.8
