image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,add,instruct-pix2pix,turn the color of potted plant to pink,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43119,0.94142,31.548,0.50596,0.08008,0.34997,0.70376,17.659,0.36245,0.22813,0.04,0.02646,37.3
task_attr_mod_color_136767,add,instruct-pix2pix,turn the color of astronaut to pink,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4166,0.89162,31.435,0.51128,0.06955,0.4061,0.60402,17.463,0.29753,0.24573,0.04,0.02681,37.7
task_attr_mod_color_184837,add,instruct-pix2pix,turn the color of frame to pink,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31508,0.95779,30.358,0.5904,0.08483,0.39644,0.58039,16.832,0.32995,0.26641,0.04,0.03034,37.7
task_attr_mod_color_32648,add,instruct-pix2pix,turn the color of potion bottle to orange,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.59948,0.85468,32.663,0.22928,0.13362,0.42499,0.63622,12.216,0.92297,0.36837,0.04,0.02327,37.7
task_attr_mod_color_6205,add,instruct-pix2pix,turn the color of toolbox to red,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45068,0.93525,32.194,0.49432,0.09483,0.50856,0.5622,11.566,0.42094,0.2985,0.04,0.02456,37.7
task_env_weather_112463,add,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52557,0.94477,31.797,0.50578,0.05869,0.64187,0.58042,14.313,0.24424,0.23763,0.04,0.02571,37.8
task_env_weather_133752,add,instruct-pix2pix,transform the setting to a rainy day,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53161,0.94764,31.998,0.52971,0.09714,0.60463,0.58056,16.039,0.4275,0.34661,0.04,0.02512,37.8
task_env_weather_181583,add,instruct-pix2pix,change the setting to a stormy day,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48469,0.93926,31.661,0.48125,0.0649,0.72962,0.58527,13.862,0.31957,0.42634,0.04,0.02612,37.8
task_env_weather_246440,add,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29531,0.95544,30.09,0.57636,0.03778,0.44361,0.44402,16.175,0.13775,0.22442,0.04,0.0313,37.6
task_env_weather_63722,add,instruct-pix2pix,change the setting to a snowy landscape,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43867,0.93848,31.745,0.53098,0.07974,0.41896,0.6509,17.337,0.32082,0.25273,0.04,0.02587,37.7
task_obj_add_13726,add,instruct-pix2pix,Add subscribe button,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39347,0.934,31.053,0.50344,0.06647,0.40755,0.60611,18.216,0.22774,0.26049,0.04,0.02801,37.7
task_obj_add_340466,add,instruct-pix2pix,Add orange juice,,0.04,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45513,0.94225,31.86,0.53218,0.10184,0.49625,0.67144,14.712,0.38193,0.30463,0.04,0.02553,37.8
