image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,add,instruct-pix2pix,turn the color of potted plant to pink,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36048,0.97792,36.204,0.63026,0.06364,0.35504,0.73139,18.65,0.31463,0.1895,0.02,0.01548,36.4
task_attr_mod_color_136767,add,instruct-pix2pix,turn the color of astronaut to pink,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33444,0.95968,36.014,0.64261,0.04849,0.42542,0.69463,17.613,0.2928,0.21298,0.02,0.01582,36.7
task_attr_mod_color_184837,add,instruct-pix2pix,turn the color of frame to pink,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23597,0.98498,35.438,0.71457,0.03616,0.35036,0.73018,19.465,0.32432,0.20663,0.02,0.01691,36.8
task_attr_mod_color_32648,add,instruct-pix2pix,turn the color of potion bottle to orange,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53802,0.93494,36.914,0.35354,0.0956,0.5577,0.40709,11.358,0.10536,0.35735,0.02,0.01427,36.9
task_attr_mod_color_6205,add,instruct-pix2pix,turn the color of toolbox to red,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41084,0.97382,36.416,0.61022,0.0614,0.55687,0.47357,10.073,0.38422,0.3173,0.02,0.01511,36.9
task_env_weather_112463,add,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47124,0.97957,36.068,0.6373,0.03414,0.36631,0.58939,17.088,0.37852,0.20719,0.02,0.01573,37.0
task_env_weather_133752,add,instruct-pix2pix,transform the setting to a rainy day,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46029,0.98124,36.278,0.65225,0.04424,0.46027,0.76159,21.212,0.34354,0.22957,0.02,0.01535,36.9
task_env_weather_181583,add,instruct-pix2pix,change the setting to a stormy day,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41966,0.97981,35.961,0.62108,0.03014,0.64576,0.61881,13.697,0.42857,0.35833,0.02,0.01592,36.9
task_env_weather_246440,add,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18002,0.98581,35.332,0.72289,0.01501,0.41575,0.50151,16.026,0.16389,0.21989,0.02,0.01711,36.7
task_env_weather_63722,add,instruct-pix2pix,change the setting to a snowy landscape,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35242,0.97803,36.488,0.66261,0.05251,0.40087,0.72652,18.35,0.28466,0.21071,0.02,0.01498,36.8
task_obj_add_13726,add,instruct-pix2pix,Add subscribe button,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.28162,0.97377,35.992,0.66359,0.03976,0.38465,0.63368,18.296,0.24287,0.24895,0.02,0.01586,36.7
task_obj_add_340466,add,instruct-pix2pix,Add orange juice,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40523,0.97866,36.326,0.64891,0.07538,0.45336,0.75651,17.549,0.36863,0.26341,0.02,0.01526,36.8
task_obj_add_40931,add,instruct-pix2pix,Add the blood on snout,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35357,0.97714,35.607,0.70784,0.03547,0.40256,0.57143,18.025,0.30121,0.25488,0.02,0.01658,36.7
task_obj_add_581286,add,instruct-pix2pix,Add sauce,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49038,0.97239,36.84,0.57413,0.06165,0.53103,0.77103,19.009,0.43531,0.25993,0.02,0.01439,36.8
task_obj_add_692065,add,instruct-pix2pix,Add monk,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26568,0.98988,35.347,0.71559,0.01902,0.26687,0.8157,21.839,0.40612,0.14461,0.02,0.01709,36.8
task_obj_remove_10197,add,instruct-pix2pix,Remove gravel path,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.24935,0.98609,35.812,0.7035,0.0302,0.47627,0.40608,14.772,0.06179,0.2366,0.02,0.01619,36.7
task_obj_remove_257910,add,instruct-pix2pix,Remove bracelet,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43845,0.96538,36.617,0.59077,0.0506,0.58466,0.53871,13.588,0.14922,0.31988,0.02,0.01476,36.8
task_obj_remove_380621,add,instruct-pix2pix,Remove iceberg,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41072,0.97612,36.383,0.66571,0.06263,0.47019,0.52689,12.561,0.2837,0.22894,0.02,0.01516,36.9
task_obj_remove_509477,add,instruct-pix2pix,Remove the man with glasses,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25082,0.98655,35.467,0.70372,0.02172,0.2812,0.77628,21.499,0.34158,0.15067,0.02,0.01685,36.7
task_obj_remove_657585,add,instruct-pix2pix,Remove frisbee,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53544,0.97259,36.945,0.60243,0.07004,0.76877,0.42435,13.276,0.1252,0.30951,0.02,0.01421,36.9
task_obj_swap_joint_mask_276754,add,instruct-pix2pix,Replace the satellite dish with rocket,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31125,0.95988,35.842,0.65745,0.04342,0.54968,0.71834,15.955,0.07242,0.31866,0.02,0.01614,36.8
task_obj_swap_joint_mask_533428,add,instruct-pix2pix,Replace the samurai armor with red jacket,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29858,0.98164,35.619,0.69413,0.02475,0.48707,0.49308,15.425,0.15935,0.22372,0.02,0.01656,36.8
task_obj_swap_joint_mask_75733,add,instruct-pix2pix,Replace the snowy landscape with sea,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46095,0.96908,36.172,0.5359,0.04375,0.45234,0.71407,15.339,0.31485,0.28904,0.02,0.01554,36.8
task_obj_swap_rand_mask_298147,add,instruct-pix2pix,Replace the wizard's robe with red shirt,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30401,0.96096,35.741,0.66266,0.03594,0.42824,0.5996,19.321,0.22881,0.22647,0.02,0.01633,36.8
task_obj_swap_rand_mask_417469,add,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.02,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37254,0.96587,35.907,0.63152,0.03558,0.46804,0.5685,15.707,0.30444,0.2715,0.02,0.01602,36.8
