image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_obj_add_40931,dct_shield_y,native,identity,0.68375,0.08741,0.68375,0.08741,1.0,0.67297,True,0.8,True,461.5
task_obj_add_40931,dct_shield_y,native,blur1,0.22996,0.0037,0.68375,0.08741,0.33633,0.95891,False,0.8,True,461.5
task_obj_add_40931,dct_shield_y,native,jpeg75,0.4614,0.0088,0.68375,0.08741,0.6748,0.74906,True,0.8,True,461.5
task_obj_add_40931,dct_shield_y,native,jpeg30,0.24764,0.00561,0.68375,0.08741,0.36218,0.9176,False,0.8,True,461.5
task_obj_add_40931,dct_shield_y,native,crop_resize0.1,0.61938,0.00729,0.68375,0.08741,0.90585,0.73514,True,0.8,True,461.5
task_obj_add_40931,dct_shield_y,native,jpeg_then_resize75,0.23724,0.00206,0.68375,0.08741,0.34697,0.95339,False,0.8,True,461.5
task_obj_add_40931,dct_shield_y,native,adverse_cleaner,0.55961,0.01182,0.68375,0.08741,0.81844,0.72793,True,0.8,True,461.5
task_obj_remove_380621,dct_shield_y,native,identity,0.74674,0.02778,0.74674,0.02778,1.0,0.71101,True,0.8,True,449.2
task_obj_remove_380621,dct_shield_y,native,blur1,0.42825,0.05198,0.74674,0.02778,0.5735,0.856,False,0.8,True,449.2
task_obj_remove_380621,dct_shield_y,native,jpeg75,0.58894,0.01665,0.74674,0.02778,0.78868,0.85686,False,0.8,True,449.2
task_obj_remove_380621,dct_shield_y,native,jpeg30,0.35893,0.12073,0.74674,0.02778,0.48067,0.95558,False,0.8,True,449.2
task_obj_remove_380621,dct_shield_y,native,crop_resize0.1,0.65213,0.00825,0.74674,0.02778,0.8733,0.82628,True,0.8,True,449.2
task_obj_remove_380621,dct_shield_y,native,jpeg_then_resize75,0.41103,0.08648,0.74674,0.02778,0.55044,0.92779,False,0.8,True,449.2
task_obj_remove_380621,dct_shield_y,native,adverse_cleaner,0.72161,0.0283,0.74674,0.02778,0.96635,0.69939,True,0.8,True,449.2
task_obj_swap_joint_mask_276754,dct_shield_y,native,identity,0.55362,0.16735,0.55362,0.16735,1.0,0.90573,False,0.8,True,449.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,blur1,0.13924,0.04307,0.55362,0.16735,0.25152,0.90658,False,0.8,True,449.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg75,0.42483,0.19927,0.55362,0.16735,0.76736,0.90129,False,0.8,True,449.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg30,0.10729,0.02456,0.55362,0.16735,0.19379,0.92715,False,0.8,True,449.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,crop_resize0.1,0.47305,0.19613,0.55362,0.16735,0.85448,0.92569,False,0.8,True,449.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg_then_resize75,0.14527,0.0156,0.55362,0.16735,0.26241,0.92428,False,0.8,True,449.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,adverse_cleaner,0.52241,0.18831,0.55362,0.16735,0.94364,0.83469,True,0.8,True,449.3
task_obj_swap_joint_mask_533428,dct_shield_y,native,identity,0.64985,0.02355,0.64985,0.02355,1.0,0.61734,True,0.8,True,449.2
task_obj_swap_joint_mask_533428,dct_shield_y,native,blur1,0.32824,0.03516,0.64985,0.02355,0.50509,0.93971,False,0.8,True,449.2
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg75,0.54924,0.03794,0.64985,0.02355,0.84519,0.63177,True,0.8,True,449.2
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg30,0.39664,0.08361,0.64985,0.02355,0.61036,0.8848,False,0.8,True,449.2
task_obj_swap_joint_mask_533428,dct_shield_y,native,crop_resize0.1,0.61262,0.02112,0.64985,0.02355,0.94271,0.71587,True,0.8,True,449.2
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg_then_resize75,0.30588,0.06583,0.64985,0.02355,0.47069,0.94702,False,0.8,True,449.2
task_obj_swap_joint_mask_533428,dct_shield_y,native,adverse_cleaner,0.60168,0.01841,0.64985,0.02355,0.92587,0.66609,True,0.8,True,449.2
task_obj_swap_rand_mask_417469,dct_shield_y,native,identity,0.73853,0.04613,0.73853,0.04613,1.0,0.51527,True,0.8,True,449.2
task_obj_swap_rand_mask_417469,dct_shield_y,native,blur1,0.23026,0.00428,0.73853,0.04613,0.31178,0.94982,False,0.8,True,449.2
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg75,0.65012,0.1165,0.73853,0.04613,0.88029,0.77824,True,0.8,True,449.2
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg30,0.26536,0.00424,0.73853,0.04613,0.35931,0.94388,False,0.8,True,449.2
task_obj_swap_rand_mask_417469,dct_shield_y,native,crop_resize0.1,0.64666,0.00216,0.73853,0.04613,0.87561,0.7769,True,0.8,True,449.2
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg_then_resize75,0.25876,0.0025,0.73853,0.04613,0.35037,0.94093,False,0.8,True,449.2
task_obj_swap_rand_mask_417469,dct_shield_y,native,adverse_cleaner,0.7501,0.04294,0.73853,0.04613,1.01567,0.48416,True,0.8,True,449.2
