image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,phase_gain,native,identity,0.53074,0.00708,0.53074,0.00708,1.0,0.81515,True,0.8,True,998.5
task_attr_mod_color_11699,phase_gain,native,blur1,0.2903,0.00679,0.53074,0.00708,0.54698,0.95037,False,0.8,True,998.5
task_attr_mod_color_11699,phase_gain,native,jpeg75,0.51939,0.00566,0.53074,0.00708,0.97862,0.82897,True,0.8,True,998.5
task_attr_mod_color_11699,phase_gain,native,jpeg30,0.42266,0.00185,0.53074,0.00708,0.79636,0.85148,False,0.8,True,998.5
task_attr_mod_color_11699,phase_gain,native,crop_resize0.1,0.5911,0.00076,0.53074,0.00708,1.11374,0.86179,False,0.8,True,998.5
task_attr_mod_color_11699,phase_gain,native,jpeg_then_resize75,0.30721,0.00463,0.53074,0.00708,0.57883,0.94169,False,0.8,True,998.5
task_attr_mod_color_11699,phase_gain,native,adverse_cleaner,0.49327,0.00586,0.53074,0.00708,0.9294,0.80563,True,0.8,True,998.5
task_attr_mod_color_136767,phase_gain,native,identity,0.58548,0.01912,0.58548,0.01912,1.0,0.83419,True,0.8,True,986.5
task_attr_mod_color_136767,phase_gain,native,blur1,0.37599,0.01098,0.58548,0.01912,0.64218,0.95918,False,0.8,True,986.5
task_attr_mod_color_136767,phase_gain,native,jpeg75,0.5985,0.02431,0.58548,0.01912,1.02224,0.8063,True,0.8,True,986.5
task_attr_mod_color_136767,phase_gain,native,jpeg30,0.42532,0.01008,0.58548,0.01912,0.72643,0.91961,False,0.8,True,986.5
task_attr_mod_color_136767,phase_gain,native,crop_resize0.1,0.60224,0.00156,0.58548,0.01912,1.02862,0.90615,False,0.8,True,986.5
task_attr_mod_color_136767,phase_gain,native,jpeg_then_resize75,0.35222,0.00992,0.58548,0.01912,0.60159,0.95069,False,0.8,True,986.5
task_attr_mod_color_136767,phase_gain,native,adverse_cleaner,0.57576,0.02221,0.58548,0.01912,0.98339,0.80083,True,0.8,True,986.5
task_attr_mod_color_184837,phase_gain,native,identity,0.73849,0.00319,0.73849,0.00319,1.0,0.7522,True,0.8,True,987.6
task_attr_mod_color_184837,phase_gain,native,blur1,0.41011,0.02599,0.73849,0.00319,0.55534,0.90349,False,0.8,True,987.6
task_attr_mod_color_184837,phase_gain,native,jpeg75,0.71376,0.02839,0.73849,0.00319,0.96651,0.83939,False,0.8,True,987.6
task_attr_mod_color_184837,phase_gain,native,jpeg30,0.51036,0.00501,0.73849,0.00319,0.69109,0.85707,False,0.8,True,987.6
task_attr_mod_color_184837,phase_gain,native,crop_resize0.1,0.70793,0.0181,0.73849,0.00319,0.95862,0.8423,False,0.8,True,987.6
task_attr_mod_color_184837,phase_gain,native,jpeg_then_resize75,0.35915,0.00688,0.73849,0.00319,0.48633,0.9384,False,0.8,True,987.6
task_attr_mod_color_184837,phase_gain,native,adverse_cleaner,0.70623,0.02435,0.73849,0.00319,0.95632,0.81629,True,0.8,True,987.6
task_attr_mod_color_32648,phase_gain,native,identity,0.48629,0.03866,0.48629,0.03866,1.0,0.92027,False,0.8,True,986.1
task_attr_mod_color_32648,phase_gain,native,blur1,0.32313,0.02695,0.48629,0.03866,0.66448,0.9542,False,0.8,True,986.1
task_attr_mod_color_32648,phase_gain,native,jpeg75,0.53616,0.06371,0.48629,0.03866,1.10257,0.92707,False,0.8,True,986.1
task_attr_mod_color_32648,phase_gain,native,jpeg30,0.3645,0.0569,0.48629,0.03866,0.74956,0.89476,False,0.8,True,986.1
task_attr_mod_color_32648,phase_gain,native,crop_resize0.1,0.52808,0.10269,0.48629,0.03866,1.08595,0.91843,False,0.8,True,986.1
task_attr_mod_color_32648,phase_gain,native,jpeg_then_resize75,0.33397,0.01952,0.48629,0.03866,0.68677,0.95552,False,0.8,True,986.1
task_attr_mod_color_32648,phase_gain,native,adverse_cleaner,0.41931,0.053,0.48629,0.03866,0.86227,0.93381,False,0.8,True,986.1
task_attr_mod_color_6205,phase_gain,native,identity,0.64241,0.02091,0.64241,0.02091,1.0,0.78407,True,0.8,True,985.5
task_attr_mod_color_6205,phase_gain,native,blur1,0.36128,0.06057,0.64241,0.02091,0.56238,0.88654,False,0.8,True,985.5
task_attr_mod_color_6205,phase_gain,native,jpeg75,0.65185,0.02141,0.64241,0.02091,1.0147,0.76567,True,0.8,True,985.5
task_attr_mod_color_6205,phase_gain,native,jpeg30,0.46742,0.0103,0.64241,0.02091,0.72761,0.84481,False,0.8,True,985.5
task_attr_mod_color_6205,phase_gain,native,crop_resize0.1,0.69125,0.01014,0.64241,0.02091,1.07604,0.79889,True,0.8,True,985.5
task_attr_mod_color_6205,phase_gain,native,jpeg_then_resize75,0.35882,0.05095,0.64241,0.02091,0.55855,0.89893,False,0.8,True,985.5
task_attr_mod_color_6205,phase_gain,native,adverse_cleaner,0.61956,0.02713,0.64241,0.02091,0.96444,0.7828,True,0.8,True,985.5
