image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,phase,native,identity,0.33624,0.00484,0.33624,0.00484,1.0,0.93358,False,0.8,True,731.2
task_attr_mod_color_11699,phase,native,blur1,0.21106,0.00728,0.33624,0.00484,0.6277,0.98083,False,0.8,True,731.2
task_attr_mod_color_11699,phase,native,blur2,0.31708,0.00586,0.33624,0.00484,0.94302,0.91664,False,0.8,True,731.2
task_attr_mod_color_11699,phase,native,crop_resize0.1,0.54933,0.00403,0.33624,0.00484,1.63375,0.89965,False,0.8,True,731.2
task_attr_mod_color_11699,phase,native,crop_resize0.15,0.61717,0.00691,0.33624,0.00484,1.83548,0.89404,False,0.8,True,731.2
task_attr_mod_color_136767,phase,native,identity,0.30959,0.00361,0.30959,0.00361,1.0,0.94387,False,0.8,True,722.0
task_attr_mod_color_136767,phase,native,blur1,0.24202,0.01285,0.30959,0.00361,0.78174,0.97007,False,0.8,True,722.0
task_attr_mod_color_136767,phase,native,blur2,0.31538,0.02197,0.30959,0.00361,1.01872,0.94812,False,0.8,True,722.0
task_attr_mod_color_136767,phase,native,crop_resize0.1,0.53233,0.00284,0.30959,0.00361,1.71946,0.94528,False,0.8,True,722.0
task_attr_mod_color_136767,phase,native,crop_resize0.15,0.5733,0.00325,0.30959,0.00361,1.85181,0.93521,False,0.8,True,722.0
task_attr_mod_color_184837,phase,native,identity,0.33209,0.0029,0.33209,0.0029,1.0,0.94902,False,0.8,True,722.1
task_attr_mod_color_184837,phase,native,blur1,0.24383,0.00916,0.33209,0.0029,0.73423,0.96291,False,0.8,True,722.1
task_attr_mod_color_184837,phase,native,blur2,0.37294,0.02321,0.33209,0.0029,1.12301,0.95897,False,0.8,True,722.1
task_attr_mod_color_184837,phase,native,crop_resize0.1,0.66558,0.00965,0.33209,0.0029,2.00423,0.92286,False,0.8,True,722.1
task_attr_mod_color_184837,phase,native,crop_resize0.15,0.71537,0.01706,0.33209,0.0029,2.15415,0.89443,False,0.8,True,722.1
task_attr_mod_color_32648,phase,native,identity,0.35842,0.04312,0.35842,0.04312,1.0,0.9413,False,0.8,True,725.6
task_attr_mod_color_32648,phase,native,blur1,0.25613,0.02425,0.35842,0.04312,0.71459,0.96622,False,0.8,True,725.6
task_attr_mod_color_32648,phase,native,blur2,0.27387,0.00762,0.35842,0.04312,0.76409,0.9707,False,0.8,True,725.6
task_attr_mod_color_32648,phase,native,crop_resize0.1,0.43636,0.06703,0.35842,0.04312,1.21743,0.93589,False,0.8,True,725.6
task_attr_mod_color_32648,phase,native,crop_resize0.15,0.48576,0.08703,0.35842,0.04312,1.35527,0.92483,False,0.8,True,725.6
task_attr_mod_color_6205,phase,native,identity,0.36666,0.03783,0.36666,0.03783,1.0,0.91204,False,0.8,True,721.6
task_attr_mod_color_6205,phase,native,blur1,0.24752,0.05285,0.36666,0.03783,0.67507,0.95777,False,0.8,True,721.6
task_attr_mod_color_6205,phase,native,blur2,0.32659,0.06126,0.36666,0.03783,0.89072,0.90725,False,0.8,True,721.6
task_attr_mod_color_6205,phase,native,crop_resize0.1,0.6411,0.00615,0.36666,0.03783,1.74849,0.90455,False,0.8,True,721.6
task_attr_mod_color_6205,phase,native,crop_resize0.15,0.6835,0.00459,0.36666,0.03783,1.86411,0.91225,False,0.8,True,721.6
