image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2793,0.85363,21.19,0.31518,0.15356,0.33782,0.65722,17.896,0.27312,0.26977,1.0,0.0872,36.1
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39351,0.76909,19.461,0.21791,0.21053,0.47689,0.57614,15.841,0.18171,0.33705,1.0,0.1064,36.2
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39976,0.69692,17.072,0.2272,0.23006,0.4844,0.38355,14.755,0.23478,0.3222,0.98824,0.14008,36.2
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40666,0.91688,27.944,0.19611,0.1689,0.36496,0.68168,15.973,0.62996,0.27401,0.98824,0.04007,36.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30082,0.85485,23.809,0.34274,0.18683,0.53591,0.46049,9.685,0.34704,0.35412,0.96078,0.0645,36.1
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45139,0.82452,21.91,0.33918,0.1324,0.45,0.52197,16.73,0.25557,0.23404,0.99608,0.08026,36.1
task_env_weather_133752,phase_gain,instruct-pix2pix,transform the setting to a rainy day,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41142,0.86412,25.083,0.34976,0.13364,0.57493,0.60821,16.498,0.34869,0.34584,1.0,0.0557,36.1
task_env_weather_181583,phase_gain,instruct-pix2pix,change the setting to a stormy day,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44436,0.79289,23.058,0.31944,0.18355,0.66345,0.56059,14.184,0.3711,0.38067,0.98039,0.07032,36.2
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45662,0.64357,14.91,0.20153,0.19695,0.51022,0.37038,15.528,0.11093,0.27957,1.0,0.17968,36.0
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34165,0.80029,20.065,0.26975,0.17439,0.38229,0.63012,17.852,0.1856,0.2546,0.87059,0.09926,36.1
task_obj_add_13726,phase_gain,instruct-pix2pix,Add subscribe button,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46442,0.73813,18.701,0.21719,0.20682,0.76128,0.42988,14.89,0.19464,0.44796,1.0,0.11613,36.1
task_obj_add_340466,phase_gain,instruct-pix2pix,Add orange juice,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29527,0.86912,22.453,0.3782,0.18352,0.43362,0.68743,15.298,0.32142,0.28794,0.97255,0.07539,36.1
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54709,0.67707,18.482,0.19147,0.24173,0.56838,0.34046,15.145,0.15923,0.40635,0.99608,0.11909,36.1
task_obj_add_581286,phase_gain,instruct-pix2pix,Add sauce,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35944,0.89656,27.182,0.41803,0.1338,0.4679,0.54159,13.977,0.24125,0.29809,0.94902,0.04374,36.1
task_obj_add_692065,phase_gain,instruct-pix2pix,Add monk,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34712,0.79207,21.056,0.40073,0.17182,0.36677,0.48399,17.24,0.35011,0.30029,1.0,0.08855,36.1
task_obj_remove_10197,phase_gain,instruct-pix2pix,Remove gravel path,,3.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43409,0.74544,18.552,0.3037,0.20882,0.48478,0.3144,13.195,0.04335,0.28862,0.99216,0.11815,36.0
