image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36482,0.89369,22.722,0.34862,0.13176,0.40776,0.63447,17.155,0.31357,0.27693,1.0,0.0731,175.5
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43034,0.8485,22.967,0.27359,0.18435,0.4718,0.54083,16.206,0.24792,0.32592,0.99608,0.07106,176.3
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4319,0.78022,19.044,0.23711,0.23362,0.57936,0.34624,13.995,0.25968,0.36377,0.95294,0.11164,176.4
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52217,0.9322,28.644,0.23108,0.1562,0.39826,0.67782,14.917,0.72559,0.2869,0.98824,0.03697,176.5
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3512,0.89953,26.193,0.39421,0.16863,0.52872,0.49034,10.353,0.42246,0.34087,0.80784,0.04902,176.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49124,0.86365,24.115,0.35376,0.12323,0.60504,0.50019,14.737,0.24583,0.243,0.98039,0.06226,176.2
task_env_weather_133752,phase_gain,instruct-pix2pix,transform the setting to a rainy day,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44817,0.90059,27.321,0.39315,0.10393,0.59894,0.59993,16.151,0.34947,0.34704,0.93333,0.04305,176.1
task_env_weather_181583,phase_gain,instruct-pix2pix,change the setting to a stormy day,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47742,0.83005,24.736,0.32653,0.17684,0.73901,0.56825,13.524,0.26919,0.42168,0.95294,0.05797,176.1
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4875,0.71572,17.321,0.18274,0.17638,0.53699,0.35242,15.159,0.09711,0.2941,1.0,0.13614,176.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.8,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42537,0.86065,21.731,0.28477,0.12972,0.50691,0.573,16.675,0.2411,0.2955,0.9451,0.08193,176.4
