field,amp_px,warp_grid,n_images,seed,fid_dists,fid_psnr,fid_lpips,effective_disp_px,c_absmean_px
corner,0.25,16,13,0,0.01103,33.92,0.02472,0.2872,0.25
corner,0.5,16,13,0,0.02257,28.262,0.05515,0.5745,0.5
corner,1.0,16,13,0,0.03926,23.274,0.08623,1.1486,1.0
corner,1.5,16,13,0,0.05748,21.14,0.12927,1.722,1.5
corner,2.0,16,13,0,0.07608,19.787,0.16571,2.2948,2.0
corner,3.0,16,13,0,0.10975,18.221,0.23311,3.4385,3.0
corner,4.0,16,13,0,0.14024,17.267,0.29211,4.5798,4.0
corner,6.0,16,13,0,0.19333,16.161,0.38392,6.855,6.0
corner,8.0,16,13,0,0.23665,15.521,0.44727,9.1209,8.0
corner,12.0,16,13,0,0.2892,14.687,0.5174,13.628,12.0
corner,16.0,16,13,0,0.31204,14.08,0.54762,18.108,16.0
corner,24.0,16,13,0,0.32828,13.252,0.58195,26.997,24.0
coherent,0.25,16,13,0,0.00847,35.384,0.01754,0.2497,0.1768
coherent,0.5,16,13,0,0.01878,29.714,0.05093,0.4994,0.3536
coherent,1.0,16,13,0,0.02478,24.197,0.07775,0.9988,0.7071
coherent,1.5,16,13,0,0.02515,21.277,0.0843,1.4981,1.0607
coherent,2.0,16,13,0,0.03141,20.442,0.1371,1.9967,1.4142
coherent,3.0,16,13,0,0.0247,18.271,0.16022,2.9937,2.1213
coherent,4.0,16,13,0,0.03917,17.329,0.20816,3.9894,2.8284
coherent,6.0,16,13,0,0.04223,16.144,0.26593,5.9778,4.2426
coherent,8.0,16,13,0,0.0537,15.458,0.32025,7.9619,5.6569
coherent,12.0,16,13,0,0.06775,14.61,0.38032,11.9178,8.4853
coherent,16.0,16,13,0,0.07991,14.048,0.42249,15.8568,11.3137
coherent,24.0,16,13,0,0.09822,13.045,0.47895,23.6843,16.9706
gauss,0.25,16,13,0,0.00896,34.141,0.02148,0.267,0.198
gauss,0.5,16,13,0,0.01792,28.528,0.0456,0.5339,0.3959
gauss,1.0,16,13,0,0.03387,23.869,0.08264,1.0672,0.7919
gauss,1.5,16,13,0,0.05241,21.68,0.11819,1.5996,1.1878
gauss,2.0,16,13,0,0.07188,20.359,0.15203,2.1313,1.5838
gauss,3.0,16,13,0,0.10731,18.748,0.21438,3.1921,2.3757
gauss,4.0,16,13,0,0.13811,17.755,0.2692,4.2497,3.1676
gauss,6.0,16,13,0,0.18878,16.519,0.35932,6.3559,4.7514
gauss,8.0,16,13,0,0.22856,15.748,0.423,8.4512,6.3352
gauss,12.0,16,13,0,0.27962,14.768,0.49606,12.6147,9.5028
gauss,16.0,16,13,0,0.30659,14.159,0.53355,16.7486,12.6703
gauss,24.0,16,13,0,0.33141,13.368,0.57262,24.9282,19.0055
