image,condition,rms,peak_ratio_8,peak_ratio_16,peak_ratio_32
task_attr_mod_color_11699,dct_s0100,0.03158,1.749,2.279,2.724
task_attr_mod_color_11699,pgx_g78,0.09081,0.81,0.769,0.579
task_attr_mod_color_11699,phase_s0100,0.03469,1.124,1.07,1.175
task_attr_mod_color_136767,dct_s0100,0.02996,1.146,1.078,1.11
task_attr_mod_color_136767,pgx_g78,0.10894,1.175,1.44,1.533
task_attr_mod_color_136767,phase_s0100,0.0325,1.057,1.138,1.268
task_attr_mod_color_184837,dct_s0100,0.03349,1.524,1.021,0.661
task_attr_mod_color_184837,pgx_g78,0.1411,1.101,1.188,1.406
task_attr_mod_color_184837,phase_s0100,0.06135,1.178,1.411,1.555
task_attr_mod_color_32648,dct_s0100,0.02622,2.323,2.071,3.147
task_attr_mod_color_32648,pgx_g78,0.04438,1.083,0.879,0.584
task_attr_mod_color_32648,phase_s0100,0.0082,0.785,0.614,0.539
task_attr_mod_color_6205,dct_s0100,0.03043,1.99,2.554,3.559
task_attr_mod_color_6205,pgx_g78,0.06469,0.976,0.692,0.924
task_attr_mod_color_6205,phase_s0100,0.02401,0.853,0.817,0.588
task_env_weather_112463,dct_s0100,0.03019,2.383,1.689,1.174
task_env_weather_112463,pgx_g78,0.08414,0.943,1.168,1.052
task_env_weather_112463,phase_s0100,0.02604,1.273,1.178,1.074
task_env_weather_133752,dct_s0100,0.02929,2.305,2.124,2.509
task_env_weather_133752,pgx_g78,0.05536,1.103,1.286,1.486
task_env_weather_133752,phase_s0100,0.02227,1.131,1.04,0.788
task_env_weather_181583,dct_s0100,0.03055,1.402,1.541,1.051
task_env_weather_181583,pgx_g78,0.07232,0.948,0.984,0.837
task_env_weather_181583,phase_s0100,0.02468,1.113,1.205,1.02
task_env_weather_246440,dct_s0100,0.03728,1.408,0.975,0.092
task_env_weather_246440,pgx_g78,0.18113,1.606,1.704,1.871
task_env_weather_246440,phase_s0100,0.08202,1.19,1.12,1.384
task_env_weather_63722,dct_s0100,0.02965,1.626,1.813,0.846
task_env_weather_63722,pgx_g78,0.10106,1.098,1.15,1.324
task_env_weather_63722,phase_s0100,0.04236,1.04,0.985,1.304
task_obj_add_13726,dct_s0100,0.03245,2.169,1.729,2.951
task_obj_add_13726,pgx_g78,0.11742,1.19,1.261,1.762
task_obj_add_13726,phase_s0100,0.04167,0.958,0.89,0.514
task_obj_add_340466,dct_s0100,0.0298,2.467,2.359,2.501
task_obj_add_340466,pgx_g78,0.0771,1.262,1.182,1.491
task_obj_add_340466,phase_s0100,0.02736,0.957,1.002,1.358
task_obj_add_40931,dct_s0100,0.03017,1.345,1.824,1.116
task_obj_add_40931,pgx_g78,0.12059,1.026,1.155,1.205
task_obj_add_40931,phase_s0100,0.0414,1.239,1.348,1.452
task_obj_add_581286,dct_s0100,0.02861,1.648,1.801,2.379
task_obj_add_581286,pgx_g78,0.04486,1.117,0.905,0.932
task_obj_add_581286,phase_s0100,0.01463,0.992,0.92,0.46
task_obj_add_692065,dct_s0100,0.03397,1.928,2.168,1.471
task_obj_add_692065,pgx_g78,0.09072,0.978,1.051,1.138
task_obj_add_692065,phase_s0100,0.04081,1.074,1.049,1.33
task_obj_remove_10197,dct_s0100,0.0323,1.191,0.866,0.171
task_obj_remove_10197,pgx_g78,0.1169,1.359,1.357,1.623
task_obj_remove_10197,phase_s0100,0.04915,1.408,1.214,1.073
task_obj_remove_257910,dct_s0100,0.02976,1.69,1.522,1.425
task_obj_remove_257910,pgx_g78,0.05842,1.393,0.827,0.756
task_obj_remove_257910,phase_s0100,0.01833,0.84,0.647,0.808
task_obj_remove_380621,dct_s0100,0.0298,1.54,1.034,0.794
task_obj_remove_380621,pgx_g78,0.08699,1.527,1.475,1.595
task_obj_remove_380621,phase_s0100,0.03475,1.184,1.131,0.423
task_obj_remove_509477,dct_s0100,0.03462,1.013,0.673,0.639
task_obj_remove_509477,pgx_g78,0.12031,1.069,1.183,1.656
task_obj_remove_509477,phase_s0100,0.04646,1.067,1.111,1.02
task_obj_remove_657585,dct_s0100,0.02849,1.859,1.793,1.363
task_obj_remove_657585,pgx_g78,0.05022,0.97,0.968,1.096
task_obj_remove_657585,phase_s0100,0.0119,1.16,1.266,1.809
task_obj_swap_joint_mask_276754,dct_s0100,0.03121,1.135,1.114,1.137
task_obj_swap_joint_mask_276754,pgx_g78,0.15083,1.309,1.401,1.355
task_obj_swap_joint_mask_276754,phase_s0100,0.04531,0.967,0.845,1.291
task_obj_swap_joint_mask_533428,dct_s0100,0.0321,1.241,1.342,0.927
task_obj_swap_joint_mask_533428,pgx_g78,0.12496,1.167,1.355,1.092
task_obj_swap_joint_mask_533428,phase_s0100,0.04884,1.037,1.15,0.339
task_obj_swap_joint_mask_75733,dct_s0100,0.02905,2.393,2.384,1.787
task_obj_swap_joint_mask_75733,pgx_g78,0.08714,1.245,1.375,1.511
task_obj_swap_joint_mask_75733,phase_s0100,0.01974,0.865,0.941,0.569
task_obj_swap_rand_mask_298147,dct_s0100,0.03441,1.321,1.559,1.871
task_obj_swap_rand_mask_298147,pgx_g78,0.13481,1.227,1.368,1.513
task_obj_swap_rand_mask_298147,phase_s0100,0.04469,0.975,0.87,0.923
task_obj_swap_rand_mask_417469,dct_s0100,0.03144,1.533,1.977,1.494
task_obj_swap_rand_mask_417469,pgx_g78,0.1056,1.205,1.283,1.571
task_obj_swap_rand_mask_417469,phase_s0100,0.03511,0.912,0.949,1.205
