image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
cat_00,add,human,identity,0.50988,0.0441,0.50988,0.0441,1.0,True,212.4
cat_00,add,human,blur1,0.2484,0.02866,0.50988,0.0441,0.48716,True,212.4
cat_00,add,human,noise0.05,0.52984,0.02678,0.50988,0.0441,1.03915,True,212.4
cat_00,add,human,quantize16,0.51059,0.04302,0.50988,0.0441,1.00138,True,212.4
cat_00,add,human,jpeg75,0.37692,0.033,0.50988,0.0441,0.73922,True,212.4
cat_00,add,human,jpeg30,0.21046,0.00241,0.50988,0.0441,0.41275,True,212.4
cat_00,add,human,crop_resize0.1,0.52284,0.04957,0.50988,0.0441,1.02542,True,212.4
cat_00,add,human,jpeg_then_resize75,0.16323,0.04296,0.50988,0.0441,0.32014,True,212.4
cat_00,add,human,adverse_cleaner,0.31862,0.0184,0.50988,0.0441,0.6249,True,212.4
parrot_00,add,human,identity,0.54581,0.01479,0.54581,0.01479,1.0,True,140.7
parrot_00,add,human,blur1,0.33319,0.06788,0.54581,0.01479,0.61045,True,140.7
parrot_00,add,human,noise0.05,0.6276,0.06486,0.54581,0.01479,1.14984,True,140.7
parrot_00,add,human,quantize16,0.56674,0.01888,0.54581,0.01479,1.03835,True,140.7
parrot_00,add,human,jpeg75,0.52034,0.03739,0.54581,0.01479,0.95333,True,140.7
parrot_00,add,human,jpeg30,0.3938,0.02631,0.54581,0.01479,0.7215,True,140.7
parrot_00,add,human,crop_resize0.1,0.57823,0.03939,0.54581,0.01479,1.05939,True,140.7
parrot_00,add,human,jpeg_then_resize75,0.36182,0.05477,0.54581,0.01479,0.6629,True,140.7
parrot_00,add,human,adverse_cleaner,0.44665,0.01945,0.54581,0.01479,0.81832,True,140.7
person_a_00,add,human,identity,0.66847,0.04611,0.66847,0.04611,1.0,True,141.4
person_a_00,add,human,blur1,0.45289,0.0424,0.66847,0.04611,0.6775,True,141.4
person_a_00,add,human,noise0.05,0.62172,0.1276,0.66847,0.04611,0.93006,True,141.4
person_a_00,add,human,quantize16,0.69212,0.02306,0.66847,0.04611,1.03539,True,141.4
person_a_00,add,human,jpeg75,0.64773,0.04629,0.66847,0.04611,0.96897,True,141.4
person_a_00,add,human,jpeg30,0.42301,0.15832,0.66847,0.04611,0.6328,True,141.4
person_a_00,add,human,crop_resize0.1,0.72906,0.04268,0.66847,0.04611,1.09064,True,141.4
person_a_00,add,human,jpeg_then_resize75,0.54666,0.09605,0.66847,0.04611,0.81777,True,141.4
person_a_00,add,human,adverse_cleaner,0.65186,0.02462,0.66847,0.04611,0.97516,True,141.4
person_b_00,add,human,identity,0.69268,0.02813,0.69268,0.02813,1.0,True,142.1
person_b_00,add,human,blur1,0.48403,0.04747,0.69268,0.02813,0.69878,True,142.1
person_b_00,add,human,noise0.05,0.52169,0.0592,0.69268,0.02813,0.75314,True,142.1
person_b_00,add,human,quantize16,0.67336,0.05545,0.69268,0.02813,0.97211,True,142.1
person_b_00,add,human,jpeg75,0.4925,0.07245,0.69268,0.02813,0.711,True,142.1
