image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
shiba_00,add,human,identity,0.41551,0.06655,0.41551,0.06655,1.0,True,142.2
shiba_00,add,human,blur1,0.39849,0.07663,0.41551,0.06655,0.95904,True,142.2
shiba_00,add,human,noise0.05,0.72935,0.01547,0.41551,0.06655,1.7553,True,142.2
shiba_00,add,human,quantize16,0.48829,0.11993,0.41551,0.06655,1.17515,True,142.2
shiba_00,add,human,jpeg75,0.13516,0.05226,0.41551,0.06655,0.32528,True,142.2
shiba_00,add,human,jpeg30,0.28348,0.05474,0.41551,0.06655,0.68223,True,142.2
shiba_00,add,human,crop_resize0.1,0.52212,0.04223,0.41551,0.06655,1.25655,True,142.2
shiba_00,add,human,jpeg_then_resize75,0.33941,0.09169,0.41551,0.06655,0.81685,True,142.2
shiba_00,add,human,adverse_cleaner,0.17279,0.02349,0.41551,0.06655,0.41585,True,142.2
shiba_00,phase,human,identity,0.59393,0.0804,0.59393,0.0804,1.0,True,142.4
shiba_00,phase,human,blur1,0.43615,0.05919,0.59393,0.0804,0.73434,True,142.4
shiba_00,phase,human,noise0.05,0.73112,0.00774,0.59393,0.0804,1.23098,True,142.4
shiba_00,phase,human,quantize16,0.57737,0.07819,0.59393,0.0804,0.97211,True,142.4
shiba_00,phase,human,jpeg75,0.38762,0.07532,0.59393,0.0804,0.65263,True,142.4
shiba_00,phase,human,jpeg30,0.41736,0.02603,0.59393,0.0804,0.70271,True,142.4
shiba_00,phase,human,crop_resize0.1,0.54257,0.06202,0.59393,0.0804,0.91352,True,142.4
shiba_00,phase,human,jpeg_then_resize75,0.38618,0.03555,0.59393,0.0804,0.65021,True,142.4
shiba_00,phase,human,adverse_cleaner,0.43336,0.02646,0.59393,0.0804,0.72964,True,142.4
shiba_00,phase_rand,human,identity,0.27519,0.04467,0.27519,0.04467,1.0,True,142.4
shiba_00,phase_rand,human,blur1,0.40075,0.06181,0.27519,0.04467,1.45624,True,142.4
shiba_00,phase_rand,human,noise0.05,0.72552,0.01924,0.27519,0.04467,2.63641,True,142.4
shiba_00,phase_rand,human,quantize16,0.44354,0.11131,0.27519,0.04467,1.61175,True,142.4
shiba_00,phase_rand,human,jpeg75,0.2847,0.04498,0.27519,0.04467,1.03456,True,142.4
shiba_00,phase_rand,human,jpeg30,0.33468,0.06407,0.27519,0.04467,1.21617,True,142.4
shiba_00,phase_rand,human,crop_resize0.1,0.51105,0.03927,0.27519,0.04467,1.85706,True,142.4
shiba_00,phase_rand,human,jpeg_then_resize75,0.34154,0.04409,0.27519,0.04467,1.24108,True,142.4
shiba_00,phase_rand,human,adverse_cleaner,0.26863,0.0878,0.27519,0.04467,0.97615,True,142.4
