step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.4292186498641968,0.67578125,2.7129926681518555
0,600,1,64,0.6185390949249268,0.8046875,1.9147591590881348
0,600,2,64,0.5621044635772705,0.7626953125,2.2707180976867676
0,600,3,64,0.6546783447265625,0.806640625,1.944352388381958
0,600,4,32,0.41359949111938477,0.5009765625,2.777024745941162
0,600,5,32,0.4257211685180664,0.62890625,3.0592708587646484
0,600,6,32,0.479278564453125,0.6083984375,2.623748779296875
0,600,7,32,0.42064905166625977,0.568359375,2.7521779537200928
0,600,8,32,0.4983482360839844,0.607421875,2.2818193435668945
0,600,9,32,0.5471401214599609,0.63671875,2.0479178428649902
0,600,10,32,0.6845684051513672,0.7265625,1.5852420330047607
0,600,11,32,0.7090797424316406,0.748046875,1.5311095714569092
0,600,12,32,0.6744718551635742,0.7099609375,1.6146738529205322
0,600,13,32,0.5929622650146484,0.6787109375,2.0664029121398926
0,600,14,32,0.3690671920776367,0.482421875,3.043266773223877
0,600,15,32,0.3893735408782959,0.546875,3.1713011264801025
0,600,16,32,0.370790958404541,0.5732421875,3.272747039794922
0,600,17,32,0.40188586711883545,0.60888671875,3.2269203662872314
0,600,18,32,0.43185263872146606,0.6002197265625,3.0659401416778564
0,600,19,32,0.38875746726989746,0.578125,3.017806053161621
0,600,20,32,0.40859079360961914,0.5751953125,2.842625617980957
0,600,21,32,0.43407726287841797,0.603515625,2.736372947692871
0,600,22,32,0.43123602867126465,0.5888671875,2.727527141571045
0,600,23,32,0.4984133243560791,0.6796875,2.2547616958618164
0,600,24,32,0.45628833770751953,0.583984375,2.5498909950256348
0,600,25,32,0.3535575866699219,0.5537109375,3.149080991744995
0,600,26,32,0.4251594543457031,0.70166015625,2.773428440093994
0,600,27,32,0.5299034118652344,0.677734375,2.5134778022766113
0,600,28,32,0.6072320938110352,0.73046875,2.1766109466552734
0,600,29,32,0.6593837738037109,0.76953125,1.980114459991455
0,600,30,32,0.5817689895629883,0.755859375,2.4393205642700195
0,600,31,32,0.6754055023193359,0.791015625,2.03902530670166
0,600,32,32,0.7885036468505859,0.8671875,1.624584436416626
0,600,33,32,0.728266716003418,0.84765625,1.808657169342041
0,600,34,32,0.4083864688873291,0.51953125,2.982875347137451
0,600,35,32,0.3434253931045532,0.484375,3.360841751098633
0,600,36,32,0.33460533618927,0.4951171875,3.425865650177002
0,600,37,32,0.2909836769104004,0.4775390625,3.564199447631836
0,600,38,32,0.32306718826293945,0.4501953125,3.3157198429107666
0,600,39,32,0.320934534072876,0.5439453125,3.347088098526001
0,600,40,32,0.3749349117279053,0.6044921875,3.123966932296753
0,600,41,32,0.3759891986846924,0.607421875,3.0467376708984375
0,600,42,32,0.4471416473388672,0.5615234375,2.631857395172119
0,600,43,32,0.6099720001220703,0.669921875,1.7213904857635498
0,600,44,32,0.4295926094055176,0.5283203125,2.8290867805480957
0,600,45,32,0.3780989646911621,0.5341796875,3.1555662155151367
0,600,46,32,0.35158538818359375,0.49755859375,3.247575283050537
0,600,47,32,0.31726253032684326,0.5263671875,3.3542375564575195
0,600,48,32,0.301846981048584,0.63671875,3.4801087379455566
0,600,49,32,0.30249738693237305,0.4794921875,3.3643107414245605
0,600,50,32,0.33071446418762207,0.578125,3.12150239944458
0,600,51,32,0.45565271377563477,0.6162109375,2.5258638858795166
0,600,52,32,0.4908785820007324,0.58984375,2.4797353744506836
0,600,53,32,0.433408260345459,0.486328125,1.9578266143798828
0,600,54,32,0.40868663787841797,0.5458984375,2.9420013427734375
0,600,55,32,0.187951922416687,0.41748046875,3.8344945907592773
0,600,56,32,0.2542581558227539,0.3759765625,3.6915881633758545
0,600,57,32,0.2462143898010254,0.3935546875,3.6041808128356934
0,600,58,32,0.34461212158203125,0.486328125,3.21083927154541
0,600,59,32,0.3338966369628906,0.58349609375,3.0079469680786133
0,600,60,32,0.40697240829467773,0.552734375,2.600248336791992
0,600,61,32,0.4189133644104004,0.537109375,2.464280843734741
0,600,62,32,0.5534877777099609,0.646484375,1.903656244277954
0,600,63,32,0.6515340805053711,0.689453125,1.4623582363128662
0,600,64,64,0.6098843812942505,0.7138671875,1.8137073516845703
