step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.3780031204223633,0.5439453125,2.8880438804626465
0,600,1,64,0.5384762287139893,0.712890625,1.9800434112548828
0,600,2,64,0.48804759979248047,0.619140625,2.397656202316284
0,600,3,64,0.5692727565765381,0.73046875,2.004526376724243
0,600,4,32,0.4479055404663086,0.568359375,2.832207202911377
0,600,5,32,0.4614720344543457,0.5986328125,2.864814043045044
0,600,6,32,0.46694469451904297,0.5791015625,2.6649935245513916
0,600,7,32,0.4471549987792969,0.5634765625,2.6800713539123535
0,600,8,32,0.5094680786132812,0.59765625,2.214284658432007
0,600,9,32,0.5274591445922852,0.59765625,2.055067539215088
0,600,10,32,0.6407260894775391,0.6796875,1.6343470811843872
0,600,11,32,0.6702499389648438,0.712890625,1.638718843460083
0,600,12,32,0.6585884094238281,0.697265625,1.7154653072357178
0,600,13,32,0.5667400360107422,0.658203125,2.182284355163574
0,600,14,32,0.32515954971313477,0.4345703125,3.1395907402038574
0,600,15,32,0.3921165466308594,0.5703125,3.1591897010803223
0,600,16,32,0.31476593017578125,0.4921875,3.1936278343200684
0,600,17,32,0.39702165126800537,0.5537109375,3.0164308547973633
0,600,18,32,0.3819718360900879,0.5615234375,3.2277941703796387
0,600,19,32,0.2731893062591553,0.4921875,3.1344151496887207
0,600,20,32,0.38786888122558594,0.521484375,2.8502907752990723
0,600,21,32,0.31890869140625,0.443359375,2.840787172317505
0,600,22,32,0.34789419174194336,0.517578125,2.953329086303711
0,600,23,32,0.41437530517578125,0.5859375,2.499372959136963
0,600,24,32,0.4260368347167969,0.521484375,2.677471160888672
0,600,25,32,0.3446826934814453,0.494140625,3.209379196166992
0,600,26,32,0.3902559280395508,0.5986328125,2.834925889968872
0,600,27,32,0.4876585006713867,0.587890625,2.456319570541382
0,600,28,32,0.6092662811279297,0.6875,2.04044771194458
0,600,29,32,0.6076145172119141,0.748046875,2.111754894256592
0,600,30,32,0.5694770812988281,0.6953125,2.249589681625366
0,600,31,32,0.5913219451904297,0.693359375,2.086080551147461
0,600,32,32,0.6547393798828125,0.751953125,1.8757344484329224
0,600,33,32,0.6549949645996094,0.732421875,1.8394360542297363
0,600,34,32,0.367279052734375,0.5234375,3.1708173751831055
0,600,35,32,0.3446977138519287,0.462890625,3.3503775596618652
0,600,36,32,0.3112366199493408,0.4287109375,3.46296763420105
0,600,37,32,0.2949190139770508,0.47509765625,3.5071120262145996
0,600,38,32,0.27320098876953125,0.36328125,3.3826451301574707
0,600,39,32,0.25232839584350586,0.37890625,3.3685989379882812
0,600,40,32,0.3829989433288574,0.482421875,3.0495707988739014
0,600,41,32,0.42255401611328125,0.5634765625,2.906782388687134
0,600,42,32,0.4214596748352051,0.513671875,2.6881628036499023
0,600,43,32,0.5914125442504883,0.6484375,1.7719523906707764
0,600,44,32,0.3751811981201172,0.4619140625,2.9229183197021484
0,600,45,32,0.3445014953613281,0.43359375,3.103262186050415
0,600,46,32,0.36619091033935547,0.47265625,2.990373373031616
0,600,47,32,0.3367016315460205,0.462890625,3.1331095695495605
0,600,48,32,0.3246431350708008,0.4091796875,3.292037010192871
0,600,49,32,0.3397974967956543,0.4296875,3.131016969680786
0,600,50,32,0.34188032150268555,0.4443359375,3.0711348056793213
0,600,51,32,0.3974590301513672,0.4658203125,2.659435749053955
0,600,52,32,0.44602394104003906,0.5732421875,2.6672821044921875
0,600,53,32,0.42788028717041016,0.4794921875,2.3423399925231934
0,600,54,32,0.35356712341308594,0.4150390625,3.096137046813965
0,600,55,32,0.1954207420349121,0.2734375,3.757960319519043
0,600,56,32,0.23417019844055176,0.3095703125,3.6867032051086426
0,600,57,32,0.2633686065673828,0.4306640625,3.5867440700531006
0,600,58,32,0.28549814224243164,0.396484375,3.3914425373077393
0,600,59,32,0.28631067276000977,0.4228515625,3.2658143043518066
0,600,60,32,0.3676767349243164,0.44140625,2.8733458518981934
0,600,61,32,0.3554534912109375,0.4111328125,2.5756616592407227
0,600,62,32,0.5314569473266602,0.5732421875,1.8562668561935425
0,600,63,32,0.6664848327636719,0.69921875,1.508676528930664
0,600,64,64,0.45931828022003174,0.546875,2.062117099761963
0,600,65,64,0.34516477584838867,0.4580078125,2.230093479156494
0,600,66,64,0.534355640411377,0.654296875,1.9729268550872803
0,600,67,64,0.2866164445877075,0.427734375,2.03035306930542
0,600,68,64,0.44275403022766113,0.51953125,2.067882537841797
0,600,69,64,0.4639286994934082,0.548828125,1.8732852935791016
5,540,0,64,0.3833359479904175,0.54931640625,2.8718137741088867
5,540,1,64,0.5228217840194702,0.6953125,1.9969542026519775
5,540,2,64,0.48450493812561035,0.6171875,2.4142322540283203
5,540,3,64,0.5800285339355469,0.736328125,1.994011402130127
5,540,4,32,0.4428997039794922,0.5625,2.8731272220611572
5,540,5,32,0.4782886505126953,0.61328125,2.8344523906707764
