step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.35689467191696167,0.611328125,2.77555513381958
0,600,1,64,0.4959672689437866,0.6953125,1.984421968460083
0,600,2,64,0.4568307399749756,0.634765625,2.4025726318359375
0,600,3,64,0.5261452198028564,0.681640625,2.079484224319458
0,600,4,32,0.43117237091064453,0.5517578125,2.725658416748047
0,600,5,32,0.4503464698791504,0.59375,2.862578868865967
0,600,6,32,0.5347919464111328,0.6630859375,2.3894736766815186
0,600,7,32,0.4141693115234375,0.5751953125,2.611827850341797
0,600,8,32,0.4506864547729492,0.5810546875,2.3151237964630127
0,600,9,32,0.49871253967285156,0.556640625,1.9470969438552856
0,600,10,32,0.6318225860595703,0.6640625,1.5954976081848145
0,600,11,32,0.6820888519287109,0.71875,1.565252661705017
0,600,12,32,0.6597156524658203,0.6875,1.6331281661987305
0,600,13,32,0.5719699859619141,0.63671875,2.03251314163208
0,600,14,32,0.3635711669921875,0.4736328125,3.0247085094451904
0,600,15,32,0.3804919719696045,0.544921875,3.209007740020752
0,600,16,32,0.37645578384399414,0.5517578125,3.308351993560791
0,600,17,32,0.3899240493774414,0.5634765625,3.0457773208618164
0,600,18,32,0.46618664264678955,0.671875,2.9818506240844727
0,600,19,32,0.33158349990844727,0.5166015625,3.3263602256774902
0,600,20,32,0.35100460052490234,0.521484375,3.1126084327697754
0,600,21,32,0.34265995025634766,0.513671875,2.9451849460601807
0,600,22,32,0.3743162155151367,0.501953125,2.73684024810791
0,600,23,32,0.3876786231994629,0.5029296875,2.4302775859832764
0,600,24,32,0.3993039131164551,0.5048828125,2.6924569606781006
0,600,25,32,0.346585750579834,0.5537109375,3.106848955154419
0,600,26,32,0.3941764831542969,0.60546875,2.7696242332458496
0,600,27,32,0.4953336715698242,0.6513671875,2.458864212036133
0,600,28,32,0.6211071014404297,0.75,2.0256428718566895
0,600,29,32,0.6201486587524414,0.7421875,2.008883237838745
0,600,30,32,0.5261354446411133,0.67578125,2.3690898418426514
0,600,31,32,0.606785774230957,0.728515625,2.0642194747924805
0,600,32,32,0.6864633560180664,0.794921875,1.7648959159851074
0,600,33,32,0.6187705993652344,0.73828125,2.0029501914978027
0,600,34,32,0.4158954620361328,0.5703125,2.8255438804626465
0,600,35,32,0.37291622161865234,0.5205078125,3.1541478633880615
0,600,36,32,0.3210982084274292,0.4384765625,3.4320809841156006
0,600,37,32,0.28314852714538574,0.41015625,3.4854257106781006
0,600,38,32,0.2704627513885498,0.408203125,3.2881693840026855
0,600,39,32,0.281927227973938,0.58984375,3.2395577430725098
0,600,40,32,0.3198413848876953,0.4892578125,3.117243528366089
0,600,41,32,0.4358706474304199,0.609375,2.8258442878723145
0,600,42,32,0.35016632080078125,0.49609375,2.7794947624206543
0,600,43,32,0.539027214050293,0.611328125,1.8555076122283936
0,600,44,32,0.4054145812988281,0.482421875,2.7804508209228516
0,600,45,32,0.3414421081542969,0.4453125,3.265242099761963
0,600,46,32,0.34833621978759766,0.451171875,3.307666301727295
0,600,47,32,0.32788538932800293,0.4638671875,3.3401496410369873
0,600,48,32,0.3099634647369385,0.453125,3.3647096157073975
0,600,49,32,0.3157930374145508,0.4638671875,3.207113742828369
0,600,50,32,0.2870035171508789,0.4189453125,3.2238259315490723
0,600,51,32,0.4811992645263672,0.57421875,2.4365146160125732
0,600,52,32,0.456754207611084,0.57421875,2.434229850769043
0,600,53,32,0.45200347900390625,0.55078125,2.1196906566619873
0,600,54,32,0.3362541198730469,0.3984375,2.957080125808716
0,600,55,32,0.1779308319091797,0.33984375,3.7302732467651367
0,600,56,32,0.21977519989013672,0.3427734375,3.611192226409912
0,600,57,32,0.24221420288085938,0.4130859375,3.52451753616333
0,600,58,32,0.2898399829864502,0.494140625,3.260368585586548
0,600,59,32,0.2832348346710205,0.4931640625,3.0997843742370605
0,600,60,32,0.33693790435791016,0.46630859375,2.7665839195251465
0,600,61,32,0.3783097267150879,0.517578125,2.46889591217041
0,600,62,32,0.48936939239501953,0.583984375,1.9718821048736572
0,600,63,32,0.6616611480712891,0.693359375,1.5190811157226562
0,600,64,64,0.4377967119216919,0.70166015625,1.9063951969146729
0,600,65,64,0.38736724853515625,0.58154296875,2.098597764968872
0,600,66,64,0.5206778049468994,0.671875,1.997304916381836
0,600,67,64,0.34631723165512085,0.5712890625,2.0398645401000977
0,600,68,64,0.4285324811935425,0.529296875,2.1325535774230957
0,600,69,64,0.5090346336364746,0.625,1.8115609884262085
5,540,0,64,0.36908888816833496,0.619140625,2.769821882247925
5,540,1,64,0.49340176582336426,0.6953125,1.992957353591919
5,540,2,64,0.45901036262512207,0.638671875,2.389625310897827
5,540,3,64,0.5269248485565186,0.6953125,2.083916187286377
5,540,4,32,0.4258761405944824,0.55078125,2.7587995529174805
5,540,5,32,0.4558110237121582,0.6123046875,2.860668659210205
5,540,6,32,0.5301895141601562,0.654296875,2.4315176010131836
5,540,7,32,0.412691593170166,0.576171875,2.6448886394500732
5,540,8,32,0.44544124603271484,0.556640625,2.3570210933685303
5,540,9,32,0.4897270202636719,0.5546875,2.0045342445373535
5,540,10,32,0.6267642974853516,0.658203125,1.6114716529846191
5,540,11,32,0.6744918823242188,0.71484375,1.5969103574752808
5,540,12,32,0.6551094055175781,0.685546875,1.6536507606506348
5,540,13,32,0.5659141540527344,0.6337890625,2.071244955062866
5,540,14,32,0.3677401542663574,0.4814453125,3.024026393890381
5,540,15,32,0.39313197135925293,0.546875,3.172668933868408
5,540,16,32,0.3932913541793823,0.560546875,3.268150568008423
5,540,17,32,0.40714001655578613,0.57421875,2.990340232849121
5,540,18,32,0.4698486328125,0.669921875,2.967304229736328
5,540,19,32,0.34358716011047363,0.529296875,3.305312395095825
5,540,20,32,0.34531450271606445,0.513671875,3.1387946605682373
5,540,21,32,0.356874942779541,0.509765625,2.9633209705352783
5,540,22,32,0.3781557083129883,0.484375,2.738717555999756
5,540,23,32,0.3748152256011963,0.5068359375,2.507866621017456
5,540,24,32,0.39672231674194336,0.5048828125,2.6946661472320557
5,540,25,32,0.3498868942260742,0.580078125,3.0981216430664062
5,540,26,32,0.388185977935791,0.59765625,2.7921056747436523
5,540,27,32,0.49205493927001953,0.662109375,2.479233741760254
5,540,28,32,0.6083087921142578,0.74609375,2.0818471908569336
5,540,29,32,0.6193695068359375,0.755859375,2.0176286697387695
5,540,30,32,0.5218362808227539,0.66015625,2.4006214141845703
5,540,31,32,0.6013698577880859,0.7255859375,2.0931901931762695
5,540,32,32,0.6842260360717773,0.8046875,1.7786822319030762
5,540,33,32,0.6085033416748047,0.734375,2.055715322494507
5,540,34,32,0.4249587059020996,0.591796875,2.79670786857605
5,540,35,32,0.3786442279815674,0.541015625,3.134817123413086
5,540,36,32,0.32491636276245117,0.4638671875,3.420325994491577
5,540,37,32,0.28896355628967285,0.419921875,3.464862823486328
5,540,38,32,0.2760202884674072,0.4287109375,3.276993989944458
5,540,39,32,0.2776308059692383,0.53857421875,3.2694497108459473
5,540,40,32,0.3204505443572998,0.505859375,3.1239168643951416
5,540,41,32,0.4271359443664551,0.63525390625,2.869145154953003
5,540,42,32,0.34662485122680664,0.4970703125,2.8069419860839844
5,540,43,32,0.5317878723144531,0.615234375,1.8992509841918945
5,540,44,32,0.40501880645751953,0.4931640625,2.7957370281219482
5,540,45,32,0.3459663391113281,0.47265625,3.2684366703033447
5,540,46,32,0.34839725494384766,0.447265625,3.3121891021728516
5,540,47,32,0.3304581642150879,0.4794921875,3.333561420440674
5,540,48,32,0.309542179107666,0.4599609375,3.3780691623687744
5,540,49,32,0.32434797286987305,0.486328125,3.193807601928711
5,540,50,32,0.2916755676269531,0.4443359375,3.206798553466797
5,540,51,32,0.48409032821655273,0.5869140625,2.434267997741699
5,540,52,32,0.46340417861938477,0.6015625,2.4012389183044434
5,540,53,32,0.45608997344970703,0.53515625,2.1090197563171387
5,540,54,32,0.3407893180847168,0.4130859375,2.934981346130371
5,540,55,32,0.1867525577545166,0.3330078125,3.700378894805908
5,540,56,32,0.22911834716796875,0.34375,3.576256275177002
5,540,57,32,0.2491168975830078,0.392578125,3.4864373207092285
5,540,58,32,0.2961740493774414,0.509765625,3.2168455123901367
5,540,59,32,0.286205530166626,0.478515625,3.0797462463378906
