step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.33525657653808594,0.5087890625,2.9359517097473145
0,600,1,64,0.5363820791244507,0.712890625,1.9779391288757324
0,600,2,64,0.46148061752319336,0.6015625,2.4953501224517822
0,600,3,64,0.5556213855743408,0.7109375,2.0478830337524414
0,600,4,32,0.44031810760498047,0.5751953125,2.834588050842285
0,600,5,32,0.47954845428466797,0.626953125,2.739304542541504
0,600,6,32,0.49495983123779297,0.6279296875,2.542776584625244
0,600,7,32,0.4635200500488281,0.591796875,2.578951358795166
0,600,8,32,0.5001325607299805,0.5791015625,2.2122201919555664
0,600,9,32,0.5507307052612305,0.623046875,1.9627387523651123
0,600,10,32,0.6525325775146484,0.685546875,1.5986242294311523
0,600,11,32,0.6808147430419922,0.720703125,1.5857458114624023
0,600,12,32,0.6718292236328125,0.705078125,1.6442632675170898
0,600,13,32,0.5814342498779297,0.66015625,2.05889892578125
0,600,14,32,0.3579263687133789,0.474609375,3.0031118392944336
0,600,15,32,0.39347076416015625,0.5703125,3.093082904815674
0,600,16,32,0.30283665657043457,0.4814453125,3.255401849746704
0,600,17,32,0.3987889289855957,0.560546875,2.894916534423828
0,600,18,32,0.38518214225769043,0.58203125,3.1920166015625
0,600,19,32,0.27382826805114746,0.52734375,2.9805145263671875
0,600,20,32,0.39999866485595703,0.537109375,2.757976770401001
0,600,21,32,0.32611799240112305,0.45703125,2.6807942390441895
0,600,22,32,0.3662905693054199,0.5322265625,2.8223438262939453
0,600,23,32,0.42822694778442383,0.583984375,2.4138989448547363
0,600,24,32,0.4319028854370117,0.5244140625,2.6348352432250977
0,600,25,32,0.3324131965637207,0.4619140625,3.2019548416137695
0,600,26,32,0.3907957077026367,0.6064453125,2.7869904041290283
0,600,27,32,0.47056102752685547,0.5771484375,2.4782915115356445
0,600,28,32,0.6088047027587891,0.73046875,2.0545859336853027
0,600,29,32,0.6019201278686523,0.736328125,2.10317063331604
0,600,30,32,0.5326042175292969,0.671875,2.404538154602051
0,600,31,32,0.5863847732543945,0.681640625,2.105212926864624
0,600,32,32,0.6547422409057617,0.75390625,1.8838176727294922
0,600,33,32,0.652033805847168,0.732421875,1.8502577543258667
0,600,34,32,0.40574073791503906,0.5703125,2.996849536895752
0,600,35,32,0.330472469329834,0.47265625,3.35520339012146
0,600,36,32,0.2995030879974365,0.421875,3.4573493003845215
0,600,37,32,0.3025345802307129,0.4541015625,3.4608545303344727
0,600,38,32,0.275270938873291,0.3740234375,3.3419885635375977
0,600,39,32,0.2543323040008545,0.412109375,3.301877021789551
0,600,40,32,0.3893918991088867,0.4765625,2.983814239501953
0,600,41,32,0.4290175437927246,0.568359375,2.83976149559021
0,600,42,32,0.4295654296875,0.5146484375,2.615767002105713
0,600,43,32,0.5897378921508789,0.65234375,1.7900197505950928
0,600,44,32,0.37601137161254883,0.455078125,2.936216354370117
0,600,45,32,0.3381071090698242,0.439453125,3.0731470584869385
0,600,46,32,0.34865665435791016,0.443359375,2.9908876419067383
0,600,47,32,0.3305542469024658,0.4482421875,3.122190475463867
0,600,48,32,0.3466615676879883,0.4716796875,3.1507487297058105
0,600,49,32,0.30953216552734375,0.3740234375,3.1764488220214844
0,600,50,32,0.3364591598510742,0.44921875,3.071586847305298
0,600,51,32,0.4013185501098633,0.458984375,2.6330628395080566
0,600,52,32,0.4547557830810547,0.5859375,2.5608904361724854
0,600,53,32,0.4312105178833008,0.4736328125,2.1669702529907227
0,600,54,32,0.36538028717041016,0.4189453125,3.0320873260498047
0,600,55,32,0.208756685256958,0.2998046875,3.72200345993042
0,600,56,32,0.25549936294555664,0.3330078125,3.6044816970825195
0,600,57,32,0.31652259826660156,0.4326171875,3.349032402038574
0,600,58,32,0.32936763763427734,0.4296875,3.180685520172119
0,600,59,32,0.3322420120239258,0.47265625,3.071528911590576
0,600,60,32,0.4015073776245117,0.4853515625,2.6858224868774414
0,600,61,32,0.37110042572021484,0.43359375,2.405120611190796
0,600,62,32,0.5329723358154297,0.576171875,1.814743995666504
0,600,63,32,0.6636390686035156,0.697265625,1.5236332416534424
0,600,64,64,0.43956029415130615,0.5732421875,2.0433359146118164
0,600,65,64,0.3409985899925232,0.455078125,2.3063712120056152
0,600,66,64,0.49747753143310547,0.603515625,2.0000712871551514
0,600,67,64,0.3023286461830139,0.4443359375,2.1216320991516113
0,600,68,64,0.4536619186401367,0.5146484375,2.0076241493225098
0,600,69,64,0.4530961513519287,0.521484375,1.8854719400405884
5,540,0,64,0.3437608480453491,0.5078125,2.9250059127807617
5,540,1,64,0.5242537260055542,0.712890625,1.9869459867477417
5,540,2,64,0.4616844654083252,0.6171875,2.4969022274017334
5,540,3,64,0.5675857067108154,0.724609375,2.0182721614837646
5,540,4,32,0.4355640411376953,0.56640625,2.87823486328125
5,540,5,32,0.4977140426635742,0.640625,2.712344169616699
5,540,6,32,0.4966764450073242,0.6416015625,2.5748062133789062
5,540,7,32,0.46149349212646484,0.587890625,2.6087729930877686
5,540,8,32,0.4902172088623047,0.5703125,2.2803239822387695
5,540,9,32,0.538365364074707,0.6171875,2.036785364151001
5,540,10,32,0.6396980285644531,0.68359375,1.6443060636520386
5,540,11,32,0.6703872680664062,0.705078125,1.6338719129562378
5,540,12,32,0.6667938232421875,0.701171875,1.6695537567138672
5,540,13,32,0.5786314010620117,0.666015625,2.085831880569458
5,540,14,32,0.3719968795776367,0.48046875,2.9862542152404785
5,540,15,32,0.41546010971069336,0.595703125,3.044334888458252
5,540,16,32,0.33028078079223633,0.50390625,3.2398571968078613
5,540,17,32,0.4170159101486206,0.591796875,2.896181106567383
5,540,18,32,0.4071638584136963,0.5859375,3.1288394927978516
5,540,19,32,0.2878561019897461,0.5,3.112307548522949
5,540,20,32,0.41426658630371094,0.55078125,2.8049402236938477
5,540,21,32,0.3483700752258301,0.4677734375,2.786702871322632
5,540,22,32,0.3753361701965332,0.5302734375,2.7511587142944336
5,540,23,32,0.41164398193359375,0.55859375,2.4906234741210938
5,540,24,32,0.435333251953125,0.5341796875,2.6249706745147705
5,540,25,32,0.3424711227416992,0.494140625,3.237844944000244
5,540,26,32,0.385286808013916,0.6171875,2.867056369781494
5,540,27,32,0.47173595428466797,0.6044921875,2.5380866527557373
5,540,28,32,0.6089353561401367,0.7236328125,2.050358295440674
5,540,29,32,0.6227397918701172,0.736328125,2.0369601249694824
5,540,30,32,0.5315942764282227,0.685546875,2.4263267517089844
5,540,31,32,0.5711383819580078,0.6708984375,2.198883056640625
5,540,32,32,0.6411514282226562,0.759765625,1.950667142868042
5,540,33,32,0.6296091079711914,0.7265625,1.9596681594848633
5,540,34,32,0.41681623458862305,0.599609375,2.975987434387207
5,540,35,32,0.34921836853027344,0.4697265625,3.325162410736084
5,540,36,32,0.31049323081970215,0.4326171875,3.4917359352111816
5,540,37,32,0.30438554286956787,0.42578125,3.486750602722168
5,540,38,32,0.29044008255004883,0.392578125,3.3612301349639893
5,540,39,32,0.26525020599365234,0.39599609375,3.29237961769104
5,540,40,32,0.381134033203125,0.5009765625,3.027759075164795
5,540,41,32,0.4294471740722656,0.5986328125,2.859776496887207
5,540,42,32,0.4335312843322754,0.5185546875,2.6507441997528076
5,540,43,32,0.5833644866943359,0.64453125,1.7896549701690674
5,540,44,32,0.39557600021362305,0.486328125,2.884929656982422
5,540,45,32,0.34688901901245117,0.4501953125,3.1199817657470703
5,540,46,32,0.37205934524536133,0.4599609375,3.1064705848693848
5,540,47,32,0.3502693176269531,0.4521484375,3.200316905975342
5,540,48,32,0.33774423599243164,0.453125,3.301239490509033
5,540,49,32,0.29471778869628906,0.4208984375,3.3127777576446533
5,540,50,32,0.3172268867492676,0.4296875,3.188390016555786
5,540,51,32,0.40750598907470703,0.4716796875,2.6277122497558594
5,540,52,32,0.4572024345397949,0.595703125,2.5751757621765137
5,540,53,32,0.42068004608154297,0.4716796875,2.202059268951416
5,540,54,32,0.3641071319580078,0.4208984375,3.0712733268737793
5,540,55,32,0.20459890365600586,0.31884765625,3.7312378883361816
5,540,56,32,0.23888444900512695,0.3291015625,3.6632800102233887
5,540,57,32,0.27499961853027344,0.390625,3.510718822479248
5,540,58,32,0.315091609954834,0.41845703125,3.2481460571289062
5,540,59,32,0.3289780616760254,0.46875,3.1178722381591797
5,540,60,32,0.39425086975097656,0.4736328125,2.722566843032837
5,540,61,32,0.37102508544921875,0.4658203125,2.4042680263519287
5,540,62,32,0.5289678573608398,0.58984375,1.825586199760437
5,540,63,32,0.6617412567138672,0.70703125,1.5246832370758057
5,540,64,64,0.4492872953414917,0.64111328125,2.081068515777588
5,540,65,64,0.33880090713500977,0.46875,2.2920188903808594
5,540,66,64,0.4997265338897705,0.615234375,2.015317440032959
5,540,67,64,0.29666370153427124,0.4619140625,2.127887725830078
5,540,68,64,0.4573032855987549,0.5146484375,2.033388137817383
5,540,69,64,0.4216587543487549,0.5546875,1.8949997425079346
10,480,0,64,0.35560786724090576,0.509765625,2.901479721069336
10,480,1,64,0.5100600719451904,0.703125,2.0136008262634277
10,480,2,64,0.45324230194091797,0.626953125,2.5390260219573975
10,480,3,64,0.5703480243682861,0.728515625,2.0261659622192383
10,480,4,32,0.4367256164550781,0.556640625,2.892886161804199
10,480,5,32,0.5140466690063477,0.658203125,2.6837570667266846
10,480,6,32,0.49851512908935547,0.6474609375,2.5949363708496094
10,480,7,32,0.4666595458984375,0.6025390625,2.6024081707000732
10,480,8,32,0.4858074188232422,0.568359375,2.3030714988708496
10,480,9,32,0.5296878814697266,0.6015625,2.088812828063965
10,480,10,32,0.6309242248535156,0.677734375,1.6755118370056152
10,480,11,32,0.6625614166259766,0.70703125,1.6658751964569092
10,480,12,32,0.6661834716796875,0.705078125,1.666435956954956
10,480,13,32,0.585662841796875,0.669921875,2.054579257965088
10,480,14,32,0.3862166404724121,0.5107421875,2.9797890186309814
10,480,15,32,0.438962459564209,0.5791015625,2.9852280616760254
10,480,16,32,0.35469865798950195,0.513671875,3.236454963684082
10,480,17,32,0.4270070791244507,0.60546875,2.9625191688537598
10,480,18,32,0.4199550151824951,0.587890625,3.107764720916748
10,480,19,32,0.304349422454834,0.48046875,3.199314594268799
10,480,20,32,0.41193151473999023,0.546875,2.8655142784118652
10,480,21,32,0.36018943786621094,0.4892578125,2.833395481109619
10,480,22,32,0.3773512840270996,0.5263671875,2.75325870513916
10,480,23,32,0.40975522994995117,0.546875,2.5354270935058594
10,480,24,32,0.43093395233154297,0.548828125,2.641434669494629
10,480,25,32,0.35254669189453125,0.5244140625,3.212339401245117
10,480,26,32,0.38463783264160156,0.6328125,2.8805909156799316
10,480,27,32,0.4711484909057617,0.615234375,2.542802572250366
10,480,28,32,0.6125411987304688,0.701171875,2.043835163116455
10,480,29,32,0.6305360794067383,0.7333984375,2.0007312297821045
10,480,30,32,0.5291948318481445,0.681640625,2.440112590789795
10,480,31,32,0.5719232559204102,0.6787109375,2.195235252380371
10,480,32,32,0.6405258178710938,0.76953125,1.952641487121582
10,480,33,32,0.6281518936157227,0.72265625,1.9686825275421143
10,480,34,32,0.43044137954711914,0.61328125,2.922511100769043
10,480,35,32,0.37231898307800293,0.5009765625,3.264181613922119
10,480,36,32,0.3265368938446045,0.4501953125,3.4598042964935303
10,480,37,32,0.3163607120513916,0.4580078125,3.4511685371398926
10,480,38,32,0.30146265029907227,0.4130859375,3.3370227813720703
10,480,39,32,0.27532410621643066,0.41259765625,3.271075963973999
10,480,40,32,0.3809080123901367,0.484375,3.0279126167297363
10,480,41,32,0.4279775619506836,0.611328125,2.8842949867248535
10,480,42,32,0.42594194412231445,0.5234375,2.7020554542541504
10,480,43,32,0.580413818359375,0.646484375,1.7852013111114502
10,480,44,32,0.4084181785583496,0.494140625,2.865170478820801
10,480,45,32,0.3504018783569336,0.4375,3.167900562286377
10,480,46,32,0.37511157989501953,0.46484375,3.1795575618743896
10,480,47,32,0.3587961196899414,0.44921875,3.2217159271240234
10,480,48,32,0.3461637496948242,0.4755859375,3.291916847229004
10,480,49,32,0.31291675567626953,0.439453125,3.253701686859131
10,480,50,32,0.31304311752319336,0.44140625,3.2447314262390137
10,480,51,32,0.41454505920410156,0.505859375,2.608389377593994
10,480,52,32,0.4456310272216797,0.5791015625,2.5990495681762695
10,480,53,32,0.4167633056640625,0.46875,2.2620608806610107
10,480,54,32,0.36966848373413086,0.44921875,3.0637435913085938
10,480,55,32,0.21500420570373535,0.31201171875,3.6922249794006348
10,480,56,32,0.2457728385925293,0.3291015625,3.63973331451416
10,480,57,32,0.28810739517211914,0.4091796875,3.470369577407837
10,480,58,32,0.32536745071411133,0.4208984375,3.2197391986846924
10,480,59,32,0.32044553756713867,0.49609375,3.1618733406066895
10,480,60,32,0.3912367820739746,0.5,2.761410713195801
10,480,61,32,0.36732053756713867,0.4833984375,2.420699119567871
10,480,62,32,0.526580810546875,0.5830078125,1.849937915802002
10,480,63,32,0.6638031005859375,0.703125,1.5195411443710327
10,480,64,64,0.4578700661659241,0.66162109375,2.078294277191162
10,480,65,64,0.3444109559059143,0.5078125,2.2526941299438477
10,480,66,64,0.5027816295623779,0.61328125,2.0019054412841797
10,480,67,64,0.30067306756973267,0.51171875,2.10990309715271
10,480,68,64,0.4566969871520996,0.5283203125,2.0472726821899414
10,480,69,64,0.40527892112731934,0.5546875,1.925046443939209
15,420,0,64,0.36986780166625977,0.5205078125,2.8646674156188965
15,420,1,64,0.49840807914733887,0.693359375,2.0461530685424805
15,420,2,64,0.44795048236846924,0.630859375,2.560035228729248
15,420,3,64,0.5711221694946289,0.734375,2.044842481613159
15,420,4,32,0.43913936614990234,0.5546875,2.8981075286865234
