step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.3618971109390259,0.6181640625,2.747973680496216
0,600,1,64,0.4972957372665405,0.716796875,1.9743056297302246
0,600,2,64,0.4665341377258301,0.640625,2.362365245819092
0,600,3,64,0.5306081771850586,0.67578125,2.0477442741394043
0,600,4,32,0.4322476387023926,0.5537109375,2.733410358428955
0,600,5,32,0.44460201263427734,0.59375,2.887425422668457
0,600,6,32,0.5285158157348633,0.6474609375,2.420180082321167
0,600,7,32,0.40764713287353516,0.580078125,2.652975082397461
0,600,8,32,0.4477100372314453,0.5703125,2.351060390472412
0,600,9,32,0.4970674514770508,0.5546875,1.9671199321746826
0,600,10,32,0.6311550140380859,0.666015625,1.5982857942581177
0,600,11,32,0.6784229278564453,0.716796875,1.5809177160263062
0,600,12,32,0.6582527160644531,0.6875,1.6416022777557373
0,600,13,32,0.5721921920776367,0.638671875,2.039134979248047
0,600,14,32,0.36260032653808594,0.4658203125,3.037086009979248
0,600,15,32,0.3880958557128906,0.53125,3.1804072856903076
0,600,16,32,0.3868398666381836,0.5537109375,3.2660889625549316
0,600,17,32,0.40073537826538086,0.587890625,3.0116443634033203
0,600,18,32,0.46869444847106934,0.666015625,2.9555554389953613
0,600,19,32,0.34160518646240234,0.5419921875,3.3045763969421387
0,600,20,32,0.3570089340209961,0.5205078125,3.093661308288574
0,600,21,32,0.35066938400268555,0.505859375,2.921654224395752
0,600,22,32,0.37737131118774414,0.5068359375,2.7275264263153076
0,600,23,32,0.39189767837524414,0.515625,2.4106712341308594
0,600,24,32,0.4002823829650879,0.5087890625,2.685886859893799
0,600,25,32,0.34831857681274414,0.5615234375,3.098668336868286
0,600,26,32,0.39586877822875977,0.607421875,2.7604775428771973
0,600,27,32,0.4903535842895508,0.6513671875,2.481926918029785
0,600,28,32,0.6164169311523438,0.7431640625,2.0467207431793213
0,600,29,32,0.6176357269287109,0.7421875,2.0264501571655273
0,600,30,32,0.5194616317749023,0.66796875,2.4090075492858887
0,600,31,32,0.6032943725585938,0.7275390625,2.083369016647339
0,600,32,32,0.6845159530639648,0.791015625,1.7757567167282104
0,600,33,32,0.6112194061279297,0.734375,2.0380706787109375
0,600,34,32,0.4241828918457031,0.58984375,2.789094924926758
0,600,35,32,0.37641358375549316,0.525390625,3.135227680206299
0,600,36,32,0.31947028636932373,0.4345703125,3.4328532218933105
0,600,37,32,0.28507518768310547,0.4267578125,3.475943088531494
0,600,38,32,0.2717742919921875,0.3916015625,3.27858304977417
0,600,39,32,0.2816544771194458,0.58447265625,3.24232816696167
0,600,40,32,0.323500394821167,0.486328125,3.099544048309326
0,600,41,32,0.43564510345458984,0.60888671875,2.8224384784698486
0,600,42,32,0.3504161834716797,0.5078125,2.7723922729492188
0,600,43,32,0.5398435592651367,0.615234375,1.8503025770187378
0,600,44,32,0.40653467178344727,0.4765625,2.7699294090270996
0,600,45,32,0.3459286689758301,0.46484375,3.2550530433654785
0,600,46,32,0.3505730628967285,0.4462890625,3.29996395111084
0,600,47,32,0.32671499252319336,0.4658203125,3.3446640968322754
0,600,48,32,0.30611085891723633,0.45703125,3.3832478523254395
0,600,49,32,0.3257019519805908,0.4658203125,3.1833956241607666
0,600,50,32,0.2831568717956543,0.4384765625,3.257350206375122
0,600,51,32,0.4857926368713379,0.5947265625,2.428523063659668
0,600,52,32,0.46242856979370117,0.59375,2.4243383407592773
0,600,53,32,0.44927501678466797,0.5400390625,2.139727830886841
0,600,54,32,0.33780765533447266,0.3984375,2.951876163482666
0,600,55,32,0.18060517311096191,0.34228515625,3.722104549407959
0,600,56,32,0.21820688247680664,0.3603515625,3.614108085632324
0,600,57,32,0.24165892601013184,0.41455078125,3.526534080505371
0,600,58,32,0.28838276863098145,0.42578125,3.2656898498535156
0,600,59,32,0.2787044048309326,0.4892578125,3.1219873428344727
0,600,60,32,0.33870363235473633,0.4755859375,2.759218454360962
0,600,61,32,0.3804049491882324,0.51953125,2.4621620178222656
0,600,62,32,0.4881124496459961,0.5810546875,1.9728002548217773
0,600,63,32,0.6637916564941406,0.69921875,1.513397455215454
0,600,64,64,0.43671417236328125,0.695068359375,1.9063488245010376
0,600,65,64,0.3910878300666809,0.57958984375,2.102039337158203
0,600,66,64,0.5199167728424072,0.669921875,2.011317729949951
0,600,67,64,0.348224401473999,0.5673828125,2.033472776412964
0,600,68,64,0.42619574069976807,0.544921875,2.1530332565307617
0,600,69,64,0.5004482269287109,0.63671875,1.827578067779541
5,540,0,64,0.37460243701934814,0.6328125,2.740457057952881
5,540,1,64,0.49309277534484863,0.7109375,1.9815521240234375
5,540,2,64,0.46591663360595703,0.642578125,2.3641319274902344
5,540,3,64,0.5305538177490234,0.685546875,2.057339668273926
5,540,4,32,0.42673683166503906,0.552734375,2.766031265258789
5,540,5,32,0.45038700103759766,0.609375,2.8847217559814453
5,540,6,32,0.5242033004760742,0.646484375,2.4582362174987793
5,540,7,32,0.40839433670043945,0.580078125,2.673872470855713
5,540,8,32,0.44286346435546875,0.55859375,2.3860855102539062
5,540,9,32,0.4892158508300781,0.552734375,2.0168263912200928
5,540,10,32,0.6266841888427734,0.66015625,1.6129250526428223
5,540,11,32,0.6718673706054688,0.7109375,1.6083605289459229
5,540,12,32,0.6541423797607422,0.685546875,1.6596571207046509
5,540,13,32,0.5689792633056641,0.6376953125,2.0609872341156006
5,540,14,32,0.36980152130126953,0.4765625,3.0196008682250977
5,540,15,32,0.39951229095458984,0.5400390625,3.149461030960083
5,540,16,32,0.4010516405105591,0.56640625,3.230893135070801
5,540,17,32,0.41302919387817383,0.5888671875,2.9828286170959473
5,540,18,32,0.47235310077667236,0.666015625,2.9452059268951416
5,540,19,32,0.3505287170410156,0.5537109375,3.2905173301696777
5,540,20,32,0.3486156463623047,0.501953125,3.127872943878174
5,540,21,32,0.3543376922607422,0.5205078125,2.9718480110168457
5,540,22,32,0.3774733543395996,0.4921875,2.757930278778076
5,540,23,32,0.37932586669921875,0.525390625,2.488790988922119
5,540,24,32,0.39745283126831055,0.513671875,2.6912615299224854
5,540,25,32,0.3524284362792969,0.5791015625,3.087463617324829
5,540,26,32,0.3912472724914551,0.6015625,2.776435136795044
5,540,27,32,0.4893665313720703,0.6572265625,2.488528251647949
5,540,28,32,0.6039304733276367,0.7490234375,2.1024696826934814
5,540,29,32,0.6175994873046875,0.751953125,2.0289504528045654
5,540,30,32,0.5161867141723633,0.65234375,2.4342002868652344
5,540,31,32,0.5986557006835938,0.728515625,2.1069860458374023
5,540,32,32,0.6833105087280273,0.796875,1.782501220703125
5,540,33,32,0.6049661636352539,0.732421875,2.072892189025879
5,540,34,32,0.4261455535888672,0.599609375,2.7901833057403564
5,540,35,32,0.37540435791015625,0.521484375,3.1595277786254883
5,540,36,32,0.3226773738861084,0.4521484375,3.433264970779419
5,540,37,32,0.28251123428344727,0.44921875,3.487945556640625
5,540,38,32,0.273745059967041,0.3935546875,3.285301685333252
5,540,39,32,0.26952171325683594,0.529296875,3.2986044883728027
5,540,40,32,0.321805477142334,0.443359375,3.1192359924316406
5,540,41,32,0.4195833206176758,0.64306640625,2.894484519958496
5,540,42,32,0.3447265625,0.4658203125,2.8085389137268066
5,540,43,32,0.5334482192993164,0.6171875,1.889535665512085
5,540,44,32,0.4081244468688965,0.4912109375,2.773578643798828
5,540,45,32,0.35190248489379883,0.46484375,3.2461163997650146
5,540,46,32,0.34964895248413086,0.451171875,3.3057427406311035
5,540,47,32,0.32878923416137695,0.4951171875,3.3374013900756836
5,540,48,32,0.30822300910949707,0.453125,3.383991241455078
5,540,49,32,0.33533811569213867,0.4951171875,3.1670734882354736
5,540,50,32,0.28806495666503906,0.4453125,3.235745906829834
5,540,51,32,0.4824061393737793,0.5927734375,2.4355111122131348
5,540,52,32,0.4644923210144043,0.60546875,2.415316581726074
5,540,53,32,0.45418834686279297,0.53515625,2.1269655227661133
5,540,54,32,0.3405013084411621,0.400390625,2.935812473297119
5,540,55,32,0.18806040287017822,0.3369140625,3.6934566497802734
5,540,56,32,0.22863388061523438,0.3779296875,3.5765223503112793
5,540,57,32,0.24718403816223145,0.39453125,3.4931416511535645
5,540,58,32,0.2918815612792969,0.44140625,3.24067759513855
5,540,59,32,0.28052401542663574,0.4775390625,3.108900547027588
5,540,60,32,0.34162473678588867,0.47412109375,2.7524466514587402
5,540,61,32,0.3759117126464844,0.509765625,2.4669137001037598
5,540,62,32,0.48723316192626953,0.5771484375,1.9698998928070068
5,540,63,32,0.6659297943115234,0.69921875,1.508713960647583
5,540,64,64,0.44361814856529236,0.69482421875,1.8889129161834717
5,540,65,64,0.3972732424736023,0.590087890625,2.105234146118164
5,540,66,64,0.5310319662094116,0.720703125,1.9958046674728394
5,540,67,64,0.35572218894958496,0.560546875,2.016376495361328
5,540,68,64,0.42899203300476074,0.55078125,2.1354660987854004
5,540,69,64,0.49782562255859375,0.654296875,1.8381202220916748
10,480,0,64,0.38909637928009033,0.64453125,2.7265238761901855
10,480,1,64,0.4870445728302002,0.705078125,1.9966251850128174
10,480,2,64,0.46276891231536865,0.638671875,2.3798828125
10,480,3,64,0.5298843383789062,0.693359375,2.0720605850219727
10,480,4,32,0.42053890228271484,0.55078125,2.798969268798828
10,480,5,32,0.4553184509277344,0.61328125,2.8825862407684326
10,480,6,32,0.5196733474731445,0.6494140625,2.493335723876953
10,480,7,32,0.4085540771484375,0.5771484375,2.690373420715332
10,480,8,32,0.43794822692871094,0.556640625,2.4241044521331787
10,480,9,32,0.48178672790527344,0.552734375,2.069732189178467
10,480,10,32,0.6218700408935547,0.654296875,1.6304781436920166
10,480,11,32,0.6639690399169922,0.705078125,1.6408586502075195
10,480,12,32,0.6489429473876953,0.685546875,1.6828594207763672
10,480,13,32,0.5661249160766602,0.6416015625,2.0815253257751465
10,480,14,32,0.37577342987060547,0.4775390625,3.009951591491699
10,480,15,32,0.41170454025268555,0.546875,3.119432210922241
10,480,16,32,0.41417670249938965,0.5859375,3.2016913890838623
10,480,17,32,0.4264366626739502,0.607421875,2.953077554702759
10,480,18,32,0.4768012762069702,0.650390625,2.933978796005249
10,480,19,32,0.35936427116394043,0.556640625,3.2759323120117188
10,480,20,32,0.34407711029052734,0.5068359375,3.151726722717285
10,480,21,32,0.35337257385253906,0.4912109375,3.01755428314209
10,480,22,32,0.3749566078186035,0.5,2.8142247200012207
10,480,23,32,0.3674654960632324,0.5068359375,2.563331127166748
10,480,24,32,0.3951120376586914,0.5166015625,2.696028709411621
10,480,25,32,0.35657405853271484,0.5908203125,3.0743088722229004
10,480,26,32,0.3879818916320801,0.59765625,2.79129958152771
10,480,27,32,0.48780059814453125,0.662109375,2.503654956817627
10,480,28,32,0.5960502624511719,0.7451171875,2.143371105194092
10,480,29,32,0.6198062896728516,0.75390625,2.027775526046753
10,480,30,32,0.5181636810302734,0.650390625,2.4289379119873047
10,480,31,32,0.6002941131591797,0.72265625,2.100278377532959
10,480,32,32,0.6832618713378906,0.798828125,1.7866156101226807
10,480,33,32,0.6041030883789062,0.73828125,2.0803983211517334
10,480,34,32,0.4295811653137207,0.59375,2.781268358230591
10,480,35,32,0.37814903259277344,0.517578125,3.1628482341766357
10,480,36,32,0.3273594379425049,0.4521484375,3.4245293140411377
10,480,37,32,0.28057539463043213,0.4462890625,3.500863790512085
10,480,38,32,0.27356958389282227,0.39453125,3.297513246536255
10,480,39,32,0.2627437114715576,0.4853515625,3.329521417617798
10,480,40,32,0.32137632369995117,0.4462890625,3.1370902061462402
10,480,41,32,0.4114813804626465,0.66357421875,2.93389892578125
10,480,42,32,0.3411283493041992,0.47265625,2.858149528503418
10,480,43,32,0.5307626724243164,0.619140625,1.9186484813690186
10,480,44,32,0.41019248962402344,0.490234375,2.781418800354004
10,480,45,32,0.35765838623046875,0.4814453125,3.2355895042419434
10,480,46,32,0.3519282341003418,0.4677734375,3.306513547897339
10,480,47,32,0.33272314071655273,0.521484375,3.3316972255706787
10,480,48,32,0.30594444274902344,0.4384765625,3.400522232055664
10,480,49,32,0.33751821517944336,0.501953125,3.1766276359558105
10,480,50,32,0.28936338424682617,0.44873046875,3.2436201572418213
10,480,51,32,0.48068904876708984,0.587890625,2.444443941116333
10,480,52,32,0.4645571708679199,0.6142578125,2.414505958557129
10,480,53,32,0.45429420471191406,0.5390625,2.131242513656616
10,480,54,32,0.34042835235595703,0.41015625,2.933622121810913
10,480,55,32,0.19199204444885254,0.333984375,3.676299810409546
10,480,56,32,0.2335977554321289,0.3720703125,3.56093692779541
10,480,57,32,0.24868297576904297,0.37646484375,3.4827656745910645
10,480,58,32,0.29163622856140137,0.431640625,3.237654209136963
10,480,59,32,0.27959346771240234,0.484375,3.1104793548583984
10,480,60,32,0.3432273864746094,0.478515625,2.7537803649902344
10,480,61,32,0.37224531173706055,0.5087890625,2.4790847301483154
10,480,62,32,0.4851388931274414,0.5732421875,1.9790496826171875
10,480,63,32,0.6667375564575195,0.703125,1.505371332168579
10,480,64,64,0.4456043243408203,0.7041015625,1.8932814598083496
10,480,65,64,0.3970305025577545,0.599365234375,2.113163948059082
10,480,66,64,0.5386911630630493,0.728515625,1.9870480298995972
10,480,67,64,0.3651247024536133,0.64453125,2.008607864379883
10,480,68,64,0.43207406997680664,0.54296875,2.1204030513763428
10,480,69,64,0.49951910972595215,0.65234375,1.8401201963424683
15,420,0,64,0.4054673910140991,0.6572265625,2.6999361515045166
15,420,1,64,0.48192477226257324,0.69921875,2.015155076980591
15,420,2,64,0.46129798889160156,0.634765625,2.3819029331207275
15,420,3,64,0.530930757522583,0.69921875,2.0833170413970947
15,420,4,32,0.41460084915161133,0.544921875,2.8297481536865234
15,420,5,32,0.45875024795532227,0.61328125,2.885042190551758
15,420,6,32,0.5137767791748047,0.6513671875,2.528470993041992
15,420,7,32,0.407900333404541,0.5703125,2.708782196044922
15,420,8,32,0.4328937530517578,0.5625,2.4658641815185547
15,420,9,32,0.47315502166748047,0.548828125,2.1330127716064453
15,420,10,32,0.6162986755371094,0.65234375,1.6528315544128418
15,420,11,32,0.6543788909912109,0.703125,1.6828316450119019
15,420,12,32,0.6428670883178711,0.68359375,1.710486650466919
15,420,13,32,0.5640935897827148,0.6396484375,2.0982589721679688
15,420,14,32,0.383359432220459,0.4814453125,2.9954819679260254
15,420,15,32,0.4263434410095215,0.560546875,3.0769834518432617
15,420,16,32,0.42803454399108887,0.5986328125,3.1697874069213867
15,420,17,32,0.43891143798828125,0.625,2.927760601043701
15,420,18,32,0.48275041580200195,0.654296875,2.923999786376953
15,420,19,32,0.36901187896728516,0.576171875,3.2640881538391113
15,420,20,32,0.3390836715698242,0.4912109375,3.177870512008667
15,420,21,32,0.3562593460083008,0.4833984375,3.0365734100341797
15,420,22,32,0.3698897361755371,0.5087890625,2.8704471588134766
15,420,23,32,0.3564331531524658,0.490234375,2.630812644958496
15,420,24,32,0.3932514190673828,0.5166015625,2.699496269226074
15,420,25,32,0.3599567413330078,0.5927734375,3.0659422874450684
15,420,26,32,0.38473081588745117,0.5888671875,2.8042852878570557
15,420,27,32,0.48437976837158203,0.6611328125,2.5265607833862305
15,420,28,32,0.5880031585693359,0.728515625,2.185758590698242
15,420,29,32,0.6212167739868164,0.75390625,2.0317025184631348
15,420,30,32,0.521641731262207,0.64453125,2.412637233734131
15,420,31,32,0.6015453338623047,0.7177734375,2.094883918762207
15,420,32,32,0.6844978332519531,0.7890625,1.7833361625671387
15,420,33,32,0.6046266555786133,0.736328125,2.079556703567505
15,420,34,32,0.43155813217163086,0.5869140625,2.7781147956848145
15,420,35,32,0.38406896591186523,0.5283203125,3.149686336517334
15,420,36,32,0.3289966583251953,0.4482421875,3.4241554737091064
15,420,37,32,0.28071749210357666,0.44140625,3.5081729888916016
15,420,38,32,0.27625298500061035,0.3984375,3.297853708267212
15,420,39,32,0.2680699825286865,0.4853515625,3.317594528198242
15,420,40,32,0.3257145881652832,0.455078125,3.1276135444641113
15,420,41,32,0.4104161262512207,0.67578125,2.936177968978882
15,420,42,32,0.3425788879394531,0.4716796875,2.8761353492736816
15,420,43,32,0.5299663543701172,0.61328125,1.9299581050872803
15,420,44,32,0.4169940948486328,0.4990234375,2.761852741241455
15,420,45,32,0.36935853958129883,0.509765625,3.200064182281494
15,420,46,32,0.35750484466552734,0.4794921875,3.2942686080932617
15,420,47,32,0.3386380672454834,0.537109375,3.3165948390960693
15,420,48,32,0.307279109954834,0.447265625,3.399594306945801
15,420,49,32,0.33992862701416016,0.517578125,3.177938222885132
15,420,50,32,0.29053306579589844,0.4541015625,3.2539453506469727
15,420,51,32,0.48105525970458984,0.5859375,2.4494638442993164
15,420,52,32,0.46103715896606445,0.615234375,2.423722743988037
15,420,53,32,0.4532127380371094,0.529296875,2.1403589248657227
15,420,54,32,0.3401603698730469,0.41015625,2.933919906616211
