image,condition,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
butterfly,dia_r,0.0,134.4,0.1571,0.9904,0.0242,40.0319,0.9873,5.6055,0.5209,0.3053,0.31,0.2945,0.0155,0.12,0.074,0.0461
butterfly,nativeLoRA_BDIA,46.6,108.3,0.2672,0.8002,0.1058,22.7563,0.9815,4.9314,0.637,0.2619,0.31,0.299,0.0111,0.12,0.091,0.0291
butterfly,nativeLoRA_DDIM,46.1,112.2,0.2406,0.8107,0.1047,23.0396,0.9824,5.2785,0.585,0.2634,0.31,0.2825,0.0275,0.12,0.0669,0.0531
butterfly,mist,0.0,72.4,0.5493,0.8474,0.1719,26.284,0.9413,4.8388,0.6047,0.754,0.31,0.2692,0.0408,0.12,0.0382,0.0819
butterfly,photoguard_c,0.0,6820.5,0.2207,0.989,0.0309,40.8945,0.9929,5.6106,0.5464,0.6248,0.31,0.312,-0.002,0.12,0.0924,0.0276
butterfly,ourStage1_BDIA,0.0,172.8,0.2617,0.7899,0.1179,22.2755,0.978,5.0491,0.5931,0.2916,0.31,0.3014,0.0086,0.12,0.0892,0.0308
butterfly,ourStage1_DDIM,0.0,179.5,0.2383,0.8058,0.0986,22.7234,0.9799,5.2771,0.5226,0.3724,0.31,0.3166,-0.0066,0.12,0.1137,0.0064
coot,dia_r,0.0,138.3,0.1422,0.9933,0.0273,39.6681,0.9957,4.5017,0.4647,0.2762,0.3225,0.3212,0.0013,0.0941,0.1047,-0.0106
coot,nativeLoRA_BDIA,45.8,105.5,0.2894,0.7733,0.1896,22.233,0.831,4.1147,0.4942,0.1552,0.3225,0.3372,-0.0147,0.0941,0.1035,-0.0095
coot,nativeLoRA_DDIM,46.0,112.1,0.2474,0.7952,0.1859,22.8771,0.8096,4.666,0.4992,0.2109,0.3225,0.3218,0.0007,0.0941,0.0995,-0.0054
coot,mist,0.0,74.2,0.5257,0.8898,0.1728,26.5392,0.9395,4.1536,0.4646,0.6472,0.3225,0.2529,0.0697,0.0941,0.0763,0.0178
coot,photoguard_c,0.0,6589.2,0.2386,0.9922,0.0379,40.896,0.983,4.4334,0.486,0.3269,0.3225,0.3389,-0.0164,0.0941,0.1025,-0.0085
coot,ourStage1_BDIA,0.0,153.4,0.2453,0.7929,0.1735,22.5725,0.9208,4.1018,0.4944,0.1523,0.3225,0.3259,-0.0034,0.0941,0.0863,0.0078
coot,ourStage1_DDIM,0.0,159.5,0.2353,0.7981,0.1811,22.9218,0.9163,4.4151,0.4768,0.2047,0.3225,0.3285,-0.0059,0.0941,0.0887,0.0054
butterfly,apa_pj,0.0,27.9,0.1741,0.8393,0.0759,23.6339,0.9843,5.2928,0.5555,0.3122,0.31,0.3195,-0.0094,0.12,0.1121,0.008
coot,apa_pj,0.0,10.8,0.1673,0.8442,0.0868,24.0239,0.9645,4.2223,0.4472,0.231,0.3225,0.3254,-0.0029,0.0941,0.1027,-0.0087
