image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,disp_mean_px,disp_max_px,disp_p99_px,flow_tv,grid_size,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_acutance_ratio,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,defimg_acutance_ratio,ctrl_lpips,ctrl_psnr,net_lpips
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,identity,0.0,train,0.0,19.410593032836914,0.8870488405227661,0.7287989854812622,0.2756425738334656,0.11793935298919678,0.9060083031654358,4.215788341561983,3.361121009100084,0.2232273519039154,0.05863351374864578,0.1969504952430725,0.039367564022541046,24.244823455810547,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.013458669185638428,0.9751928448677063,0.0,80.0,0.2756425738334656
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,blur,0.0,heldout,0.0,23.76465606689453,0.8277589082717896,0.8902816772460938,0.12792840600013733,0.06949687004089355,1.0037795305252075,3.607388867230174,3.3214893347155066,0.21795710921287537,0.04843774065375328,0.22033530473709106,0.03875667229294777,24.244823455810547,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.013458669185638428,0.9751928448677063,0.0,80.0,0.12792840600013733
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,blur,0.5,heldout,0.0,24.088539123535156,0.8480944633483887,0.8818426132202148,0.1468798816204071,0.07538199424743652,0.7522955536842346,3.607388867230174,2.805791844138269,0.21795710921287537,0.04843774065375328,0.21797671914100647,0.025069020688533783,24.392986297607422,0.8231199383735657,0.9433843493461609,0.06214957684278488,0.02010369300842285,0.704740047454834,0.07280343770980835,27.877161026000977,0.07407644391059875
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,blur,1.0,heldout,0.0,22.746458053588867,0.8224489688873291,0.8050901889801025,0.31116247177124023,0.1284559965133667,0.389825701713562,3.607388867230174,4.339608855470822,0.21795710921287537,0.04843774065375328,0.2108054757118225,0.018691865727305412,22.312047958374023,0.741887092590332,0.889323890209198,0.22420534491539001,0.08688986301422119,0.3192622661590576,0.3081440329551697,22.882883071899414,0.0030184388160705566
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,blur,1.5,heldout,0.0,21.54730987548828,0.799181342124939,0.7300324440002441,0.4363306760787964,0.1833309531211853,0.25083088874816895,3.607388867230174,6.231826732234764,0.21795710921287537,0.04843774065375328,0.21758314967155457,0.033069804310798645,20.97734832763672,0.7482568621635437,0.808485209941864,0.3424195349216461,0.16113054752349854,0.17595410346984863,0.4379340708255768,21.619068145751953,-0.0016033947467803955
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,blur,2.0,heldout,0.0,20.944271087646484,0.7429598569869995,0.6716432571411133,0.5101878046989441,0.22550630569458008,0.16240663826465607,3.607388867230174,7.494752541905586,0.21795710921287537,0.04843774065375328,0.21427637338638306,0.025536861270666122,20.13778305053711,0.8044105172157288,0.7301343679428101,0.4242461621761322,0.20672422647476196,0.11178611218929291,0.5099867582321167,20.968475341796875,0.00020104646682739258
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,blur,3.0,heldout,0.0,20.02935218811035,0.7493460178375244,0.5797003507614136,0.582431972026825,0.27743983268737793,0.08570130169391632,3.607388867230174,9.15313453661965,0.21795710921287537,0.04843774065375328,0.20915599167346954,0.03128404915332794,19.078142166137695,0.8435207605361938,0.6031984090805054,0.5309734344482422,0.26002633571624756,0.058015525341033936,0.5855351686477661,20.02093505859375,-0.003103196620941162
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,jpeg,95,heldout,0.0,23.270469665527344,0.8290214538574219,0.8753790259361267,0.14499454200267792,0.07598340511322021,1.0054322481155396,3.607388867230174,3.262891326578634,0.21795710921287537,0.04843774065375328,0.22334042191505432,0.039489373564720154,24.016551971435547,0.843137264251709,0.9379730224609375,0.056620776653289795,0.015045344829559326,0.972761332988739,0.04655233025550842,29.74864959716797,0.0984422117471695
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,jpeg,85,heldout,0.0,22.582508087158203,0.8416135311126709,0.8527793288230896,0.1666862666606903,0.0803903341293335,1.0534913539886475,3.607388867230174,2.947540642174053,0.21795710921287537,0.04843774065375328,0.2202291190624237,0.04064381495118141,23.704259872436523,0.8196078538894653,0.9292205572128296,0.0938049927353859,0.01600778102874756,0.9727112650871277,0.08944735676050186,26.51421546936035,0.07723890990018845
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,jpeg,75,heldout,0.0,22.5682430267334,0.832277774810791,0.8544739484786987,0.17074748873710632,0.08169621229171753,1.066994071006775,3.607388867230174,2.803018675750938,0.21795710921287537,0.04843774065375328,0.22653724253177643,0.05190952867269516,23.402454376220703,0.9215686321258545,0.9218251705169678,0.1276203989982605,0.023405492305755615,0.9721996784210205,0.1362108737230301,24.49603843688965,0.03453661501407623
