image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,PF,16,a wrecked car after an accident,25,10,10,1,97.4,rotate,0,0.0,,,10154.9,4.16,512.0,379.3333333333333,234.66666666666666,512.0,379.0,0.040665946900844574,10.326874732971191,0.09985661506652832,10.227018356323242,0.4001433849334717,30.73062515258789,0.12006610631942749,30.73062515258789,0.12006610631942749,0.9522395133972168,0.09081828594207764
car_00,P,16,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,11509.4,6.33,354.6666666666667,17.0,10.666666666666666,16.0,15.333333333333334,0.014223734848201275,2.1749277114868164,0.22767111659049988,1.9472566843032837,0.2723288834095001,38.2635498046875,0.07901537418365479,38.2635498046875,0.07901537418365479,0.9885980486869812,0.034317150712013245
car_01,PF,16,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,11518.8,4.35,512.0,380.6666666666667,238.33333333333334,512.0,381.0,0.010711669921875,9.886687278747559,0.0994030237197876,9.787283897399902,0.4005969762802124,31.586809158325195,0.11503136157989502,31.586809158325195,0.11503136157989502,0.9624381065368652,0.09155035763978958
car_01,P,16,a wrecked car after an accident,25,10,10,1,97.5,rotate,0,0.0,,,11509.1,5.58,240.0,16.0,11.333333333333334,16.0,16.0,0.0031000773888081312,3.1872196197509766,0.1613072156906128,3.0259125232696533,0.3386927843093872,38.14107894897461,0.08966052532196045,38.14107894897461,0.08966052532196045,0.9891526103019714,0.0490124449133873
dog_00,PF,16,a cat sitting on the grass,25,10,10,1,97.6,rotate,0,0.0,,,11517.8,4.52,512.0,384.0,243.66666666666666,512.0,384.0,0.0064481100998818874,12.615313529968262,0.12427225708961487,12.49104118347168,0.37572774291038513,32.0880126953125,0.11067184805870056,32.0880126953125,0.11067184805870056,0.9427132606506348,0.12244128435850143
dog_00,P,16,a cat sitting on the grass,25,10,10,1,97.8,rotate,0,0.0,,,11509.1,9.69,109.66666666666667,16.0,12.333333333333334,16.0,16.0,0.0019632976036518812,0.21018670499324799,0.16702336072921753,0.04316334426403046,0.33297663927078247,41.623939514160156,0.0515824556350708,41.623939514160156,0.0515824556350708,0.9912475347518921,0.034410879015922546
dog_01,PF,16,a cat sitting on the grass,25,10,10,1,97.5,rotate,0,0.0,,,11516.3,4.5,512.0,380.6666666666667,238.33333333333334,512.0,380.6666666666667,0.01797994039952755,16.020631790161133,0.07356321811676025,15.947068214416504,0.42643678188323975,32.414676666259766,0.11110057681798935,32.414676666259766,0.11110057681798935,0.9119932055473328,0.15593072772026062
dog_01,P,16,a cat sitting on the grass,25,10,10,1,97.8,rotate,0,0.0,,,11509.4,12.34,131.33333333333334,16.0,13.0,16.0,16.0,0.0033505759201943874,0.18591465055942535,0.14472335577011108,0.04119129478931427,0.3552766442298889,45.00566101074219,0.04052001237869263,45.00566101074219,0.04052001237869263,0.9953967332839966,0.03658802807331085
person_00,PF,16,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11516.3,4.39,512.0,383.6666666666667,243.33333333333334,512.0,383.3333333333333,0.0242284145206213,15.392141342163086,0.11808609962463379,15.274055480957031,0.3819139003753662,31.93212890625,0.11391744017601013,31.93212890625,0.11391744017601013,0.9235942363739014,0.1465931236743927
person_00,P,16,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11509.4,9.82,123.0,16.0,13.0,16.0,16.0,0.0019442241173237562,0.20044386386871338,0.1602616310119629,0.04018222540616989,0.3397383689880371,43.11451721191406,0.050940752029418945,43.11451721191406,0.050940752029418945,0.9919195175170898,0.032101742923259735
person_01,PF,16,an elderly person with gray hair,25,10,10,1,97.7,rotate,0,0.0,,,11516.3,4.31,512.0,382.0,240.66666666666666,512.0,381.6666666666667,0.028390249237418175,15.08354663848877,0.010023951530456543,15.073522567749023,0.48997604846954346,31.75046157836914,0.11610280722379684,31.75046157836914,0.11610280722379684,0.8736103773117065,0.14194902777671814
person_01,P,16,an elderly person with gray hair,25,10,10,1,97.8,rotate,0,0.0,,,11509.4,9.58,251.33333333333334,16.0,13.0,16.0,16.0,0.0071576437912881374,0.11155302822589874,0.05945992469787598,0.052093107253313065,0.440540075302124,43.31687545776367,0.05218005180358887,43.31687545776367,0.05218005180358887,0.9882335662841797,0.04032667353749275
