image,condition,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
bird_00,apa_weak,47.0,147.3,0.2142,0.8031,0.171,20.0792,0.9242,4.8559,0.5928,0.4203,0.2715,0.251,0.0205,0.106,0.089,0.017
bird_00,mist,0.0,84.9,0.6709,0.7445,0.1784,26.4791,0.9243,4.8564,0.715,0.7331,0.2715,0.2601,0.0115,0.106,0.063,0.043
bird_00,dia_r,0.0,149.5,0.3366,0.9786,0.046,40.411,0.9892,5.4201,0.712,0.4877,0.2715,0.2952,-0.0236,0.106,0.095,0.011
bird_01,apa_weak,46.9,129.9,0.3343,0.6054,0.2955,17.9713,0.8711,4.5112,0.6163,0.3589,0.2765,0.2857,-0.0091,0.1118,0.1083,0.0035
bird_01,mist,0.0,85.1,0.5541,0.8551,0.1199,26.3988,0.9345,4.7652,0.7212,0.6807,0.2765,0.2758,0.0007,0.1118,0.1032,0.0087
bird_01,dia_r,0.0,149.5,0.1746,0.9909,0.0207,40.1391,0.9926,4.9512,0.7129,0.2553,0.2765,0.2864,-0.0099,0.1118,0.1094,0.0024
cat_00,apa_weak,46.8,130.0,0.328,0.4398,0.2194,14.4181,0.9376,4.8799,0.606,0.4603,0.2452,0.2521,-0.007,0.0621,0.0806,-0.0185
cat_00,mist,0.0,88.0,0.3881,0.9108,0.1109,25.9614,0.9222,4.54,0.7031,0.6125,0.2452,0.2283,0.0169,0.0621,0.0791,-0.017
cat_00,dia_r,0.0,149.4,0.0819,0.993,0.0192,38.4622,0.9885,4.8533,0.7197,0.3607,0.2452,0.244,0.0012,0.0621,0.0743,-0.0122
cat_02,apa_weak,46.8,129.8,0.383,0.5222,0.3411,17.3982,0.8698,4.2328,0.5254,0.48,0.2521,0.2536,-0.0015,0.0912,0.0895,0.0017
cat_02,mist,0.0,85.2,0.5391,0.8711,0.1612,26.4045,0.963,4.2053,0.6672,0.7291,0.2521,0.2491,0.003,0.0912,0.0897,0.0015
