image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
person_a_00,dct_shield,native,identity,0.69801,0.01944,0.69801,0.01944,1.0,0.7,True,213.4
person_a_00,dct_shield,native,blur1,0.33528,0.0308,0.69801,0.01944,0.48034,0.7,True,213.4
person_a_00,dct_shield,native,jpeg75,0.161,0.06211,0.69801,0.01944,0.23065,0.7,True,213.4
person_a_00,dct_shield,native,crop_resize0.1,0.65199,0.02814,0.69801,0.01944,0.93406,0.7,True,213.4
person_a_00,dct_shield,native,gridpure,0.4194,0.0481,0.69801,0.01944,0.60085,0.7,True,213.4
person_a_00,dct_shield_y,native,identity,0.7147,0.01824,0.7147,0.01824,1.0,0.7,True,206.0
person_a_00,dct_shield_y,native,blur1,0.39124,0.06014,0.7147,0.01824,0.54743,0.7,True,206.0
person_a_00,dct_shield_y,native,jpeg75,0.67922,0.03672,0.7147,0.01824,0.95036,0.7,True,206.0
person_a_00,dct_shield_y,native,crop_resize0.1,0.67932,0.0193,0.7147,0.01824,0.9505,0.7,True,206.0
person_a_00,dct_shield_y,native,gridpure,0.65663,0.06153,0.7147,0.01824,0.91875,0.7,True,206.0
person_b_00,dct_shield,native,identity,0.70755,0.01487,0.70755,0.01487,1.0,0.7,True,206.2
person_b_00,dct_shield,native,blur1,0.42907,0.0914,0.70755,0.01487,0.60642,0.7,True,206.2
person_b_00,dct_shield,native,jpeg75,0.22632,0.10912,0.70755,0.01487,0.31987,0.7,True,206.2
person_b_00,dct_shield,native,crop_resize0.1,0.66664,0.02916,0.70755,0.01487,0.94218,0.7,True,206.2
person_b_00,dct_shield,native,gridpure,0.49706,0.0764,0.70755,0.01487,0.70251,0.7,True,206.2
person_b_00,dct_shield_y,native,identity,0.70225,0.0125,0.70225,0.0125,1.0,0.7,True,205.6
person_b_00,dct_shield_y,native,blur1,0.43432,0.12136,0.70225,0.0125,0.61848,0.7,True,205.6
person_b_00,dct_shield_y,native,jpeg75,0.63678,0.0561,0.70225,0.0125,0.90676,0.7,True,205.6
person_b_00,dct_shield_y,native,crop_resize0.1,0.67205,0.04254,0.70225,0.0125,0.95699,0.7,True,205.6
person_b_00,dct_shield_y,native,gridpure,0.57686,0.05034,0.70225,0.0125,0.82144,0.7,True,205.6
