image,mode,theta,qd,dists,lpips,psnr,ssim,rms,linf,off_support_frac,degenerate_frac
task_attr_mod_color_11699,full,0.8,0.85,0.307313,0.58516,12.5045,0.699426,0.237014,1.0,0.473999,0.16862
task_attr_mod_color_11699,full,1.8,0.85,0.37576,0.649172,10.9665,0.459568,0.282927,1.0,0.216003,0.16862
task_attr_mod_color_11699,support,0.8,0.85,0.264266,0.410536,15.1723,0.778692,0.174334,1.0,0.0,0.16862
task_attr_mod_color_11699,support,1.8,0.85,0.356406,0.489056,12.6485,0.486096,0.233117,1.0,0.0,0.16862
task_attr_mod_color_11699,lowfreq,0.8,0.85,0.306584,0.53042,14.9826,0.720445,0.178184,1.0,0.230541,0.16862
task_attr_mod_color_11699,lowfreq,1.8,0.85,0.385667,0.600914,12.4227,0.446709,0.239256,1.0,0.104935,0.16862
task_attr_mod_color_11699,priced,0.8,0.85,0.31878,0.632335,11.5541,0.665915,0.264422,1.0,0.694784,0.16862
task_attr_mod_color_11699,priced,1.8,0.85,0.372188,0.693556,10.3592,0.456646,0.303419,1.0,0.316694,0.16862
task_env_weather_112463,full,0.8,0.85,0.289705,0.768536,13.8716,0.6539,0.202497,1.0,0.609549,0.043457
task_env_weather_112463,full,1.8,0.85,0.379347,0.815218,12.0675,0.376437,0.249243,1.0,0.278102,0.043457
task_env_weather_112463,support,0.8,0.85,0.23851,0.427167,20.429,0.78792,0.095181,1.0,0.0,0.043457
task_env_weather_112463,support,1.8,0.85,0.367759,0.566332,16.8687,0.448978,0.143405,1.0,0.0,0.043457
task_env_weather_112463,lowfreq,0.8,0.85,0.29128,0.645267,16.9101,0.656322,0.142723,1.0,0.401102,0.043457
task_env_weather_112463,lowfreq,1.8,0.85,0.394707,0.719317,14.3346,0.363802,0.191985,1.0,0.182714,0.043457
task_env_weather_112463,priced,0.8,0.85,0.304913,0.800907,12.5166,0.61406,0.236684,1.0,0.802952,0.043457
task_env_weather_112463,priced,1.8,0.85,0.383457,0.840462,11.0091,0.360463,0.281542,1.0,0.366554,0.043457
task_obj_swap_joint_mask_276754,full,0.8,0.85,0.310701,0.471537,14.1814,0.621542,0.195401,1.0,0.356625,0.213867
task_obj_swap_joint_mask_276754,full,1.8,0.85,0.347387,0.522781,12.0056,0.25818,0.251026,1.0,0.162506,0.213867
task_obj_swap_joint_mask_276754,support,0.8,0.85,0.286296,0.427285,15.9746,0.688883,0.158953,1.0,0.0,0.213867
task_obj_swap_joint_mask_276754,support,1.8,0.85,0.341504,0.492697,13.3191,0.279204,0.215798,1.0,0.0,0.213867
task_obj_swap_joint_mask_276754,lowfreq,0.8,0.85,0.315353,0.421438,17.3912,0.672151,0.135033,1.0,0.149438,0.213867
task_obj_swap_joint_mask_276754,lowfreq,1.8,0.85,0.373854,0.502228,14.252,0.249917,0.193821,1.0,0.068323,0.213867
task_obj_swap_joint_mask_276754,priced,0.8,0.85,0.319198,0.493521,12.6875,0.550139,0.232072,1.0,0.56977,0.213867
task_obj_swap_joint_mask_276754,priced,1.8,0.85,0.365484,0.540597,10.8546,0.247557,0.286595,1.0,0.260081,0.213867
