step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.024069417268037796,0.18987363576889038,0.4773460924625397
0,999,1,64,0.06143948435783386,0.333249032497406,0.8863668441772461
0,999,2,32,0.011694759130477905,0.14350935816764832,0.26905694603919983
0,999,3,32,0.03068741224706173,0.1360855996608734,0.4516187906265259
0,999,4,16,0.024861976504325867,0.09208735823631287,0.6666586399078369
0,999,5,16,0.06027168780565262,0.18589967489242554,0.8575677871704102
0,999,6,8,0.10243302583694458,0.18870988488197327,1.3636431694030762
0,999,7,16,0.06042860448360443,0.17202609777450562,0.6000648736953735
0,999,8,16,0.01798129826784134,0.11223843693733215,0.19300149381160736
0,999,9,16,0.009038676507771015,0.04950157552957535,0.11806996166706085
0,999,10,32,0.0004935298347845674,0.010540244169533253,0.006435251794755459
0,999,11,32,0.0013985057594254613,0.010349984280765057,0.047924913465976715
0,999,12,32,0.006632661446928978,0.05306054651737213,0.23579110205173492
0,999,13,64,0.1242852658033371,0.30188027024269104,1.6247034072875977
0,999,14,64,0.017288025468587875,0.10516475141048431,0.9443774223327637
0,999,15,64,0.01631470024585724,0.02953578159213066,0.6148082613945007
5,899,0,64,0.017770197242498398,0.1754709780216217,0.4222167730331421
5,899,1,64,0.06416423618793488,0.3365510106086731,0.880929708480835
5,899,2,32,0.010726853273808956,0.13566459715366364,0.2543914318084717
5,899,3,32,0.02757609263062477,0.14780555665493011,0.424343466758728
5,899,4,16,0.023440472781658173,0.1018984466791153,0.5940204858779907
5,899,5,16,0.05546395108103752,0.17536115646362305,0.8071432113647461
5,899,6,8,0.10855365544557571,0.1909501552581787,1.3466424942016602
5,899,7,16,0.05683387070894241,0.19041383266448975,0.5632566809654236
5,899,8,16,0.019635260105133057,0.09683969616889954,0.1864079236984253
5,899,9,16,0.008964977227151394,0.03817518427968025,0.1150696724653244
5,899,10,32,0.0004797952715307474,0.009678768925368786,0.0063133034855127335
5,899,11,32,0.0013420406030490994,0.009456275030970573,0.05080045759677887
5,899,12,32,0.00914058554917574,0.06483449786901474,0.2265263795852661
5,899,13,64,0.14277838170528412,0.3150448203086853,1.6783943176269531
5,899,14,64,0.02011532336473465,0.12377220392227173,0.8533587455749512
5,899,15,64,0.017465408891439438,0.03403863310813904,0.6419847011566162
10,799,0,64,0.013933224603533745,0.1619241088628769,0.3820958137512207
10,799,1,64,0.06478627026081085,0.3339240550994873,0.8452748656272888
10,799,2,32,0.010205828584730625,0.12994511425495148,0.2524614930152893
10,799,3,32,0.0265529602766037,0.14591006934642792,0.41478031873703003
10,799,4,16,0.022765813395380974,0.10263171046972275,0.5668491721153259
10,799,5,16,0.05116292089223862,0.1712246835231781,0.7591217756271362
10,799,6,8,0.10022388398647308,0.17353825271129608,1.2706937789916992
10,799,7,16,0.04749152809381485,0.20251184701919556,0.4577743709087372
10,799,8,16,0.019342973828315735,0.09658397734165192,0.17888270318508148
10,799,9,16,0.007994024083018303,0.029902033507823944,0.10326455533504486
10,799,10,32,0.00044596841325983405,0.009721140377223492,0.006201026029884815
10,799,11,32,0.0012312890030443668,0.010057558305561543,0.04647012799978256
10,799,12,32,0.009534196928143501,0.06556625664234161,0.19532519578933716
10,799,13,64,0.14765781164169312,0.3342667520046234,1.7390344142913818
10,799,14,64,0.024706698954105377,0.1411389708518982,0.8497942090034485
10,799,15,64,0.018530726432800293,0.04004216939210892,0.6898736953735352
15,699,0,64,0.010661079548299313,0.15509194135665894,0.3363614082336426
15,699,1,64,0.06336040049791336,0.3142208456993103,0.7882782220840454
15,699,2,32,0.010046997107565403,0.1281663030385971,0.25837165117263794
15,699,3,32,0.025724094361066818,0.13893601298332214,0.4038124084472656
15,699,4,16,0.022518977522850037,0.10016043484210968,0.5593221187591553
15,699,5,16,0.049979276955127716,0.17733794450759888,0.7518898248672485
15,699,6,8,0.10514409095048904,0.19835850596427917,1.2618143558502197
15,699,7,16,0.04750712960958481,0.20128773152828217,0.44895052909851074
15,699,8,16,0.0227329283952713,0.10964638739824295,0.18752218782901764
15,699,9,16,0.006334877572953701,0.027921387925744057,0.08698604255914688
15,699,10,32,0.00037633837200701237,0.010293153114616871,0.00547314528375864
15,699,11,32,0.0013178135268390179,0.010538255795836449,0.042624518275260925
15,699,12,32,0.007598089054226875,0.06107854098081589,0.17125943303108215
15,699,13,64,0.13971132040023804,0.3441736698150635,1.6545542478561401
15,699,14,64,0.026200778782367706,0.16161030530929565,0.8238860368728638
15,699,15,64,0.020172912627458572,0.05038540065288544,0.7669526934623718
20,599,0,64,0.007055227179080248,0.1474163830280304,0.2602643370628357
20,599,1,64,0.06185881420969963,0.3072843551635742,0.7509256601333618
20,599,2,32,0.010125149972736835,0.13102507591247559,0.2649933695793152
20,599,3,32,0.02459648996591568,0.1396692991256714,0.3935081958770752
20,599,4,16,0.022115066647529602,0.09807002544403076,0.5496523976325989
20,599,5,16,0.048750460147857666,0.18257811665534973,0.7434324026107788
20,599,6,8,0.11487986892461777,0.25449812412261963,1.275567889213562
20,599,7,16,0.041074756532907486,0.18886473774909973,0.40502309799194336
20,599,8,16,0.017590748146176338,0.09411583095788956,0.16039437055587769
20,599,9,16,0.005207675043493509,0.025929993018507957,0.0743144229054451
20,599,10,32,0.0003096473519690335,0.010944978334009647,0.004583272151648998
20,599,11,32,0.0012249090941622853,0.010652869008481503,0.03845470771193504
20,599,12,32,0.006700085010379553,0.06078658998012543,0.15875354409217834
20,599,13,64,0.13829348981380463,0.3283039927482605,1.6434352397918701
20,599,14,64,0.028593137860298157,0.16316065192222595,0.8253093957901001
20,599,15,64,0.022575743496418,0.06374496221542358,0.8879491090774536
25,500,0,64,0.005075989756733179,0.14045146107673645,0.20639348030090332
25,500,1,64,0.059746406972408295,0.3127627670764923,0.7166740298271179
25,500,2,32,0.009934715926647186,0.13050085306167603,0.25780728459358215
25,500,3,32,0.023073608055710793,0.13893550634384155,0.38272613286972046
25,500,4,16,0.02135080099105835,0.09456884860992432,0.5361757278442383
