step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.025319412350654602,0.2384093850851059,0.5046722888946533
0,999,1,64,0.07295198738574982,0.35887008905410767,0.9263713359832764
0,999,2,32,0.014339818619191647,0.08173004537820816,0.40500104427337646
0,999,3,32,0.03721771016716957,0.15382058918476105,0.39399638772010803
0,999,4,16,0.03670770674943924,0.12854743003845215,0.5434458255767822
0,999,5,16,0.028644107282161713,0.10627732425928116,0.4742952585220337
0,999,6,8,0.05530683696269989,0.2606186270713806,1.3027712106704712
0,999,7,16,0.02152179554104805,0.14720994234085083,0.23534943163394928
0,999,8,16,0.02270152047276497,0.20976033806800842,0.18009129166603088
0,999,9,16,0.00984887033700943,0.02849389985203743,0.1678137332201004
0,999,10,32,0.0007997192442417145,0.06508742272853851,0.009564263746142387
0,999,11,32,0.0019125014077872038,0.011990798637270927,0.06857188045978546
0,999,12,32,0.0081626670435071,0.033183056861162186,0.2282654345035553
0,999,13,64,0.1268080472946167,0.28636884689331055,1.5969963073730469
0,999,14,64,0.016814768314361572,0.11432431638240814,0.8671528100967407
0,999,15,64,0.017538752406835556,0.03553568571805954,0.5512371063232422
5,899,0,64,0.015921812504529953,0.2197655886411667,0.42119091749191284
5,899,1,64,0.07737674564123154,0.3742370009422302,0.9353619813919067
5,899,2,32,0.01568237505853176,0.10195446014404297,0.3802078068256378
5,899,3,32,0.03929872810840607,0.1612720787525177,0.41820573806762695
5,899,4,16,0.03153616935014725,0.11994724720716476,0.4672378897666931
5,899,5,16,0.030693577602505684,0.10793939232826233,0.46114763617515564
5,899,6,8,0.043031465262174606,0.21298111975193024,1.1380798816680908
5,899,7,16,0.019727926701307297,0.14256931841373444,0.20286418497562408
5,899,8,16,0.023115068674087524,0.18729689717292786,0.17265096306800842
5,899,9,16,0.012030309066176414,0.038741547614336014,0.1821109652519226
5,899,10,32,0.000741380441468209,0.04771441966295242,0.008556466549634933
5,899,11,32,0.002187590580433607,0.05223079025745392,0.06475408375263214
5,899,12,32,0.009059068746864796,0.03180287405848503,0.1942271590232849
5,899,13,64,0.17639952898025513,0.319744735956192,1.8389719724655151
5,899,14,64,0.019611362367868423,0.12183524668216705,0.786173403263092
5,899,15,64,0.018152663484215736,0.04191356897354126,0.5260682106018066
10,799,0,64,0.010851276107132435,0.2158302664756775,0.3444766700267792
10,799,1,64,0.07829029858112335,0.368846595287323,0.9297523498535156
10,799,2,32,0.016492877155542374,0.11079542338848114,0.3651057779788971
10,799,3,32,0.04277190566062927,0.15339531004428864,0.44264161586761475
10,799,4,16,0.02779519185423851,0.10981477051973343,0.4283182621002197
