step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.02110215276479721,0.22412806749343872,0.42960211634635925
0,999,1,64,0.0951974093914032,0.37029606103897095,0.9350377321243286
0,999,2,32,0.033354099839925766,0.1463378667831421,0.4719031751155853
0,999,3,32,0.0347403958439827,0.14586462080478668,0.4171568751335144
0,999,4,16,0.018269963562488556,0.060568951070308685,0.5248309373855591
0,999,5,16,0.02152390033006668,0.07615885883569717,0.5734793543815613
0,999,6,8,0.07483574002981186,0.16508999466896057,1.4247181415557861
0,999,7,16,0.015002683736383915,0.03028767555952072,0.3138419985771179
0,999,8,16,0.010567443445324898,0.02817852981388569,0.165470689535141
0,999,9,16,0.01946067623794079,0.11104679852724075,0.2078399360179901
0,999,10,32,0.0005896714283153415,0.015612903982400894,0.007324164733290672
0,999,11,32,0.003899027593433857,0.0374961718916893,0.09074227511882782
0,999,12,32,0.009690701961517334,0.06253237277269363,0.23497524857521057
0,999,13,64,0.16250458359718323,0.31885725259780884,1.6215291023254395
0,999,14,64,0.01718311198055744,0.11912864446640015,0.8209668397903442
0,999,15,64,0.018641192466020584,0.04326125234365463,0.5433303713798523
5,899,0,64,0.014655605889856815,0.2172722965478897,0.3780956268310547
5,899,1,64,0.10142269730567932,0.3868594169616699,0.9333821535110474
5,899,2,32,0.0358637310564518,0.176337331533432,0.45160141587257385
5,899,3,32,0.03532855585217476,0.1724015772342682,0.4392419457435608
5,899,4,16,0.014478032477200031,0.03877031058073044,0.4348052740097046
5,899,5,16,0.019757376983761787,0.0658753514289856,0.5297853946685791
5,899,6,8,0.07300783693790436,0.1522265076637268,1.386750340461731
5,899,7,16,0.012410499155521393,0.02491075173020363,0.24809546768665314
5,899,8,16,0.009015288203954697,0.03220893815159798,0.13996770977973938
5,899,9,16,0.018562793731689453,0.08010616153478622,0.1736372411251068
5,899,10,32,0.0005048296879976988,0.018107719719409943,0.006495533045381308
5,899,11,32,0.0032550422474741936,0.02834990620613098,0.0812104269862175
5,899,12,32,0.008826802484691143,0.05979510396718979,0.16900649666786194
5,899,13,64,0.1924334466457367,0.3300638496875763,1.785243034362793
5,899,14,64,0.022636476904153824,0.13146618008613586,0.7976698875427246
5,899,15,64,0.0200139619410038,0.050509512424468994,0.5742186307907104
10,799,0,64,0.01077163964509964,0.20883512496948242,0.33309206366539
10,799,1,64,0.10435736924409866,0.4038986563682556,0.9186890125274658
10,799,2,32,0.03351519629359245,0.18104682862758636,0.4259324371814728
10,799,3,32,0.039227064698934555,0.18596522510051727,0.4749416410923004
10,799,4,16,0.013729694299399853,0.03319182246923447,0.41629287600517273
10,799,5,16,0.016718212515115738,0.052055053412914276,0.4803363084793091
10,799,6,8,0.06705160439014435,0.1421990543603897,1.3023443222045898
10,799,7,16,0.009629054926335812,0.020530328154563904,0.18013879656791687
10,799,8,16,0.006367349997162819,0.014480747282505035,0.10331758856773376
10,799,9,16,0.008275289088487625,0.02470988966524601,0.09068092703819275
