step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.03198546543717384,0.21982502937316895,0.5159101486206055
0,999,1,64,0.08511214703321457,0.3590002655982971,0.8651944398880005
0,999,2,32,0.026924066245555878,0.1677861511707306,0.4433353543281555
0,999,3,32,0.028173282742500305,0.1491905152797699,0.3670197129249573
0,999,4,16,0.02016742341220379,0.07426317781209946,0.5009785294532776
0,999,5,16,0.0237523652613163,0.08585376292467117,0.5733078718185425
0,999,6,8,0.06502991169691086,0.14300546050071716,1.3094244003295898
0,999,7,16,0.015695367008447647,0.03139525651931763,0.33777567744255066
0,999,8,16,0.012077197432518005,0.054211512207984924,0.17401838302612305
0,999,9,16,0.02321470156311989,0.1119682788848877,0.2319066971540451
0,999,10,32,0.0006108672241680324,0.008991630747914314,0.007762339897453785
0,999,11,32,0.00350565486587584,0.03484368324279785,0.08466904610395432
0,999,12,32,0.011243006214499474,0.06171250343322754,0.24974597990512848
0,999,13,64,0.14830374717712402,0.2989978492259979,1.6218831539154053
0,999,14,64,0.01631981134414673,0.10809914767742157,0.8030866980552673
0,999,15,64,0.018368329852819443,0.0515749417245388,0.5652580261230469
5,899,0,64,0.024053342640399933,0.2186194211244583,0.4406057596206665
5,899,1,64,0.09438350796699524,0.3429373502731323,0.9442262649536133
5,899,2,32,0.026878193020820618,0.18371087312698364,0.44117265939712524
5,899,3,32,0.028559762984514236,0.18263208866119385,0.38558465242385864
5,899,4,16,0.016588222235441208,0.059056803584098816,0.43206149339675903
5,899,5,16,0.02264166623353958,0.07803668826818466,0.5624892711639404
5,899,6,8,0.06608706712722778,0.15251606702804565,1.256007194519043
5,899,7,16,0.013113869354128838,0.025359177961945534,0.2907215356826782
5,899,8,16,0.011728170327842236,0.04368296265602112,0.1671038568019867
5,899,9,16,0.026388999074697495,0.09939271211624146,0.26397398114204407
5,899,10,32,0.0006258810753934085,0.007023072801530361,0.008007779717445374
5,899,11,32,0.0032545807771384716,0.03358354791998863,0.08715368807315826
5,899,12,32,0.012318067252635956,0.06461542099714279,0.23320752382278442
5,899,13,64,0.16097798943519592,0.3225190043449402,1.6628978252410889
5,899,14,64,0.019468678161501884,0.1330316662788391,0.7585601806640625
5,899,15,64,0.01887163147330284,0.054564110934734344,0.5621106624603271
10,799,0,64,0.01721024513244629,0.21359188854694366,0.37109893560409546
10,799,1,64,0.09752559661865234,0.35473042726516724,0.9478826522827148
10,799,2,32,0.023287735879421234,0.17412622272968292,0.40854454040527344
10,799,3,32,0.028880488127470016,0.20432588458061218,0.39803576469421387
10,799,4,16,0.015594808384776115,0.050387050956487656,0.4035400450229645
10,799,5,16,0.021062150597572327,0.07377789914608002,0.5401964783668518
10,799,6,8,0.06443246454000473,0.159830704331398,1.2236448526382446
10,799,7,16,0.010449744760990143,0.021299300715327263,0.21358637511730194
10,799,8,16,0.008912494406104088,0.023560672998428345,0.13519050180912018
10,799,9,16,0.019777722656726837,0.09081712365150452,0.19533656537532806
10,799,10,32,0.0006254320032894611,0.005716556217521429,0.007775652222335339
10,799,11,32,0.0029833531007170677,0.032319068908691406,0.0817069262266159
10,799,12,32,0.009544003754854202,0.05803188681602478,0.17216816544532776
10,799,13,64,0.17964956164360046,0.3189253807067871,1.7749581336975098
10,799,14,64,0.023885279893875122,0.16510531306266785,0.766675591468811
10,799,15,64,0.019730860367417336,0.058493103832006454,0.5645259618759155
15,699,0,64,0.012426087632775307,0.2062990367412567,0.3162575364112854
15,699,1,64,0.09927745908498764,0.3658297657966614,0.9256993532180786
15,699,2,32,0.020226426422595978,0.17254680395126343,0.3777775764465332
15,699,3,32,0.029963836073875427,0.19956889748573303,0.4171586334705353
15,699,4,16,0.015486130490899086,0.04886560142040253,0.39560168981552124
15,699,5,16,0.01962326094508171,0.06371872127056122,0.5201001763343811
15,699,6,8,0.06366730481386185,0.1673366129398346,1.2264809608459473
15,699,7,16,0.00917508453130722,0.02142918109893799,0.17640253901481628
15,699,8,16,0.007592744193971157,0.019890328869223595,0.11581540107727051
15,699,9,16,0.013975653797388077,0.05807802081108093,0.13656368851661682
15,699,10,32,0.0005964137963019311,0.005919879302382469,0.007590555585920811
15,699,11,32,0.0029351080302149057,0.03128165751695633,0.0789184421300888
15,699,12,32,0.006736784242093563,0.05364522337913513,0.13419991731643677
15,699,13,64,0.1891537457704544,0.35169368982315063,1.7966561317443848
15,699,14,64,0.028961196541786194,0.14528104662895203,0.806033730506897
15,699,15,64,0.02276189811527729,0.07655417919158936,0.6211411356925964
20,599,0,64,0.008118714205920696,0.19181247055530548,0.26772695779800415
20,599,1,64,0.10030767321586609,0.38005712628364563,0.9009575843811035
20,599,2,32,0.018303584307432175,0.16130569577217102,0.354729562997818
20,599,3,32,0.030085787177085876,0.1777459681034088,0.4321873188018799
20,599,4,16,0.015505471266806126,0.04827280342578888,0.3943955600261688
20,599,5,16,0.018419859930872917,0.053547658026218414,0.5005171298980713
20,599,6,8,0.06311627477407455,0.16666005551815033,1.2339369058609009
20,599,7,16,0.008539051748812199,0.021939415484666824,0.16040323674678802
20,599,8,16,0.006895124912261963,0.018385082483291626,0.10582204908132553
20,599,9,16,0.011566756293177605,0.037970006465911865,0.11426721513271332
20,599,10,32,0.0005570168141275644,0.004930179100483656,0.0073418524116277695
20,599,11,32,0.0027795552741736174,0.027503471821546555,0.07564255595207214
20,599,12,32,0.00550773786380887,0.05006565526127815,0.11400103569030762
20,599,13,64,0.18604841828346252,0.3592897653579712,1.7687315940856934
20,599,14,64,0.032768309116363525,0.13749347627162933,0.8282848596572876
20,599,15,64,0.023595042526721954,0.09060879051685333,0.6622934341430664
25,500,0,64,0.004941381048411131,0.16688352823257446,0.23067447543144226
25,500,1,64,0.09912094473838806,0.3815993666648865,0.8624146580696106
25,500,2,32,0.017631566151976585,0.15286365151405334,0.3308715224266052
25,500,3,32,0.02897696942090988,0.14666509628295898,0.431679904460907
25,500,4,16,0.015354344621300697,0.04643619805574417,0.38909584283828735
25,500,5,16,0.017650313675403595,0.04828808829188347,0.4797767400741577
25,500,6,8,0.06411398947238922,0.17035464942455292,1.2516205310821533
25,500,7,16,0.008422855287790298,0.022651512175798416,0.15676137804985046
25,500,8,16,0.006372737232595682,0.01919427514076233,0.0990772694349289
25,500,9,16,0.009999877773225307,0.03161368519067764,0.10119400918483734
25,500,10,32,0.0005276880110614002,0.0056033069267869,0.007136492058634758
25,500,11,32,0.002729940228164196,0.025243302807211876,0.07400722801685333
25,500,12,32,0.004796563647687435,0.05568411201238632,0.09894754737615585
25,500,13,64,0.181289941072464,0.3523024320602417,1.7315466403961182
25,500,14,64,0.03635628893971443,0.13383083045482635,0.8461503982543945
25,500,15,64,0.023235196247696877,0.09515059739351273,0.7034798264503479
30,400,0,64,0.003539037425071001,0.1415972113609314,0.21686463057994843
30,400,1,64,0.0954413115978241,0.37170422077178955,0.8151286840438843
30,400,2,32,0.01769106835126877,0.15121003985404968,0.30468642711639404
30,400,3,32,0.02580989897251129,0.11716337502002716,0.4127717912197113
30,400,4,16,0.015122632496058941,0.048710405826568604,0.3762342929840088
30,400,5,16,0.0163777694106102,0.04990410804748535,0.45412972569465637
30,400,6,8,0.06513005495071411,0.18375280499458313,1.2469546794891357
30,400,7,16,0.00840405561029911,0.022835254669189453,0.15569695830345154
30,400,8,16,0.0058519854210317135,0.020946618169546127,0.0930277556180954
30,400,9,16,0.00804605521261692,0.02222694642841816,0.08833107352256775
30,400,10,32,0.0005236876895651221,0.0044850679114460945,0.007171929813921452
30,400,11,32,0.0025929734110832214,0.025389041751623154,0.07102590054273605
30,400,12,32,0.004587310366332531,0.05100289732217789,0.09147757291793823
30,400,13,64,0.1759430170059204,0.3292703330516815,1.68821382522583
30,400,14,64,0.039035629481077194,0.14747050404548645,0.8563719987869263
30,400,15,64,0.022551942616701126,0.1440923511981964,0.753937840461731
35,300,0,64,0.0030847538728266954,0.12258239835500717,0.21979472041130066
35,300,1,64,0.08978305011987686,0.3533838987350464,0.768668532371521
35,300,2,32,0.018168093636631966,0.15555211901664734,0.2817766070365906
35,300,3,32,0.02202702686190605,0.10957183688879013,0.3799249529838562
35,300,4,16,0.014835449866950512,0.049622222781181335,0.3580620288848877
35,300,5,16,0.014018731191754341,0.039657238870859146,0.42415061593055725
35,300,6,8,0.0656895637512207,0.1885111927986145,1.218342900276184
35,300,7,16,0.007980899885296822,0.022144444286823273,0.14828142523765564
35,300,8,16,0.005443346220999956,0.02054619789123535,0.0885373055934906
35,300,9,16,0.006459081079810858,0.019194580614566803,0.0747639462351799
35,300,10,32,0.0004896368482150137,0.004460152238607407,0.0068058595061302185
35,300,11,32,0.0023437421768903732,0.022838793694972992,0.06705410778522491
35,300,12,32,0.004378097597509623,0.04150908440351486,0.08486451953649521
35,300,13,64,0.1689518839120865,0.3104592263698578,1.634162187576294
35,300,14,64,0.04003341123461723,0.15608438849449158,0.8559361696243286
35,300,15,64,0.022047873586416245,0.15189430117607117,0.8174265623092651
40,200,0,64,0.003063828917220235,0.1156773716211319,0.23241709172725677
40,200,1,64,0.08279579877853394,0.3285728693008423,0.7205036878585815
40,200,2,32,0.01844625547528267,0.16225436329841614,0.2588598132133484
40,200,3,32,0.01810932531952858,0.09549885988235474,0.3359833359718323
40,200,4,16,0.014493967406451702,0.04802975803613663,0.339926540851593
40,200,5,16,0.012340014800429344,0.033149220049381256,0.4039943814277649
40,200,6,8,0.06579257547855377,0.1892853081226349,1.1891975402832031
40,200,7,16,0.007557599805295467,0.020883683115243912,0.1403844952583313
40,200,8,16,0.005098641850054264,0.02052256092429161,0.08405393362045288
40,200,9,16,0.005141463130712509,0.014170875772833824,0.06206951290369034
40,200,10,32,0.0004642921267077327,0.004344093147665262,0.006463218946009874
40,200,11,32,0.00219858274795115,0.022022061049938202,0.06437172740697861
40,200,12,32,0.004267573822289705,0.04027443006634712,0.08148650825023651
40,200,13,64,0.16395744681358337,0.28911614418029785,1.5960586071014404
40,200,14,64,0.03973529487848282,0.15927264094352722,0.8495361804962158
40,200,15,64,0.021893853321671486,0.14724883437156677,0.8853484392166138
45,100,0,64,0.0033503544982522726,0.1285485327243805,0.25532734394073486
45,100,1,64,0.07293356955051422,0.290604829788208,0.6538201570510864
45,100,2,32,0.01750198006629944,0.16551291942596436,0.22873494029045105
45,100,3,32,0.014163434505462646,0.07621094584465027,0.2807128429412842
45,100,4,16,0.01415296457707882,0.046099718660116196,0.32351499795913696
45,100,5,16,0.011467330157756805,0.03335777297616005,0.395061194896698
45,100,6,8,0.06584391742944717,0.18931591510772705,1.1584055423736572
45,100,7,16,0.007212458178400993,0.020155420526862144,0.132096529006958
45,100,8,16,0.004853788763284683,0.020096415653824806,0.07967963814735413
45,100,9,16,0.00419442355632782,0.010649856179952621,0.052916936576366425
45,100,10,32,0.0004467201652005315,0.005830707959830761,0.006116470322012901
45,100,11,32,0.0019590388983488083,0.02084072306752205,0.05881249159574509
45,100,12,32,0.004342662636190653,0.0581844225525856,0.08047018945217133
