step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.027551475912332535,0.19736400246620178,0.509013295173645
0,999,1,64,0.055005576461553574,0.30649226903915405,0.8512278199195862
0,999,2,32,0.009309441782534122,0.10827840864658356,0.24172374606132507
0,999,3,32,0.026905281469225883,0.13210226595401764,0.41425642371177673
0,999,4,16,0.02276485785841942,0.0773179680109024,0.6121920943260193
0,999,5,16,0.06362468004226685,0.18143513798713684,0.8818114995956421
0,999,6,8,0.11230882257223129,0.24032136797904968,1.3937466144561768
0,999,7,16,0.04948790743947029,0.16763153672218323,0.5216490030288696
0,999,8,16,0.020048610866069794,0.11206197738647461,0.20296695828437805
0,999,9,16,0.010004471987485886,0.04612230509519577,0.13455772399902344
0,999,10,32,0.0007503797532990575,0.012182604521512985,0.00894990935921669
0,999,11,32,0.0014106695307418704,0.01067841611802578,0.052269481122493744
0,999,12,32,0.006580643355846405,0.06358963996171951,0.24475467205047607
0,999,13,64,0.1184702217578888,0.2987678349018097,1.700333833694458
0,999,14,64,0.016197698190808296,0.11060899496078491,0.9250502586364746
0,999,15,64,0.015965398401021957,0.029148979112505913,0.6102374792098999
5,899,0,64,0.020081350579857826,0.18686938285827637,0.43185627460479736
5,899,1,64,0.06193576380610466,0.3052823841571808,0.9047237634658813
5,899,2,32,0.007672180887311697,0.12905000150203705,0.22384658455848694
5,899,3,32,0.02500297874212265,0.13955426216125488,0.4053238034248352
5,899,4,16,0.02102217823266983,0.07714322209358215,0.5483534336090088
5,899,5,16,0.054341185837984085,0.17198342084884644,0.8250808715820312
5,899,6,8,0.11892169713973999,0.23585858941078186,1.4104664325714111
5,899,7,16,0.05128128081560135,0.16931432485580444,0.499149888753891
5,899,8,16,0.02163512259721756,0.09995487332344055,0.20702490210533142
5,899,9,16,0.011010592803359032,0.03751212731003761,0.14318671822547913
5,899,10,32,0.0006752551416866481,0.008752411231398582,0.008286972530186176
5,899,11,32,0.001328275422565639,0.010502268560230732,0.05933615192770958
5,899,12,32,0.009319262579083443,0.064558245241642,0.21895283460617065
5,899,13,64,0.136478453874588,0.32017314434051514,1.8232437372207642
5,899,14,64,0.017991378903388977,0.12611660361289978,0.8098411560058594
5,899,15,64,0.017454486340284348,0.03686123713850975,0.6501708030700684
10,799,0,64,0.013645748607814312,0.17252948880195618,0.35975736379623413
10,799,1,64,0.06468643248081207,0.30433687567710876,0.8814401626586914
10,799,2,32,0.006731512490659952,0.13892656564712524,0.21089717745780945
10,799,3,32,0.02301189862191677,0.12782597541809082,0.38390758633613586
10,799,4,16,0.019077535718679428,0.06964857131242752,0.513073205947876
10,799,5,16,0.04412630945444107,0.14003944396972656,0.7473659515380859
10,799,6,8,0.09621056169271469,0.16265571117401123,1.3279823064804077
10,799,7,16,0.04854518547654152,0.16735590994358063,0.4366062879562378
10,799,8,16,0.017387688159942627,0.08256480097770691,0.18151582777500153
10,799,9,16,0.00948239490389824,0.026896387338638306,0.1329135298728943
10,799,10,32,0.0004762344469781965,0.012169242836534977,0.006505521479994059
10,799,11,32,0.0009941650787368417,0.009462655521929264,0.04291200637817383
10,799,12,32,0.006533131934702396,0.06204657256603241,0.1458282172679901
10,799,13,64,0.1561669409275055,0.2968130111694336,1.9166035652160645
10,799,14,64,0.022601928561925888,0.14554975926876068,0.81305992603302
