step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.02441771700978279,0.22081410884857178,0.5004317164421082
0,999,1,64,0.06937360018491745,0.40733909606933594,0.9162251949310303
0,999,2,32,0.01126556470990181,0.0662451833486557,0.3796362578868866
0,999,3,32,0.038766711950302124,0.15796077251434326,0.40012654662132263
0,999,4,16,0.03969237953424454,0.132346510887146,0.5794185400009155
0,999,5,16,0.028602277860045433,0.11187238991260529,0.4635664224624634
0,999,6,8,0.048705093562603,0.23149314522743225,1.3509076833724976
0,999,7,16,0.02366384118795395,0.15056264400482178,0.2275122106075287
0,999,8,16,0.022774463519454002,0.19114166498184204,0.1817610114812851
0,999,9,16,0.009567184373736382,0.027210060507059097,0.17181842029094696
0,999,10,32,0.0007201833068393171,0.021013502031564713,0.008717114105820656
0,999,11,32,0.0020157466642558575,0.023951446637511253,0.07081647217273712
0,999,12,32,0.010522555559873581,0.0332002267241478,0.2516738474369049
0,999,13,64,0.12960945069789886,0.2853182852268219,1.621382713317871
0,999,14,64,0.017031673341989517,0.11074196547269821,0.8782548308372498
0,999,15,64,0.0176897831261158,0.029546096920967102,0.5662586092948914
5,899,0,64,0.015398481860756874,0.21633493900299072,0.43164581060409546
5,899,1,64,0.07081420719623566,0.4020509123802185,0.8972281217575073
5,899,2,32,0.011616203002631664,0.07673150300979614,0.3428880274295807
5,899,3,32,0.0400339737534523,0.14081662893295288,0.43065309524536133
5,899,4,16,0.03559066355228424,0.1255936324596405,0.5065879821777344
5,899,5,16,0.03008277155458927,0.09668756276369095,0.43923866748809814
5,899,6,8,0.04583321884274483,0.20103144645690918,1.2087347507476807
5,899,7,16,0.020341377705335617,0.1429690718650818,0.18992464244365692
5,899,8,16,0.02198348566889763,0.14987680315971375,0.17343538999557495
5,899,9,16,0.010136706754565239,0.027078766375780106,0.16672508418560028
5,899,10,32,0.000549828284420073,0.030445756390690804,0.006696968339383602
5,899,11,32,0.0018843273865059018,0.03886684775352478,0.06066441535949707
5,899,12,32,0.010227084159851074,0.03165345638990402,0.21399666368961334
5,899,13,64,0.17107531428337097,0.3074331283569336,1.8432531356811523
5,899,14,64,0.019157450646162033,0.12166483700275421,0.7833293676376343
5,899,15,64,0.01854952611029148,0.03936828300356865,0.549318790435791
10,799,0,64,0.010687800124287605,0.21154871582984924,0.3608107268810272
10,799,1,64,0.07067473232746124,0.3841089606285095,0.8838145136833191
10,799,2,32,0.012265162542462349,0.08691729605197906,0.32832592725753784
10,799,3,32,0.042688436806201935,0.14109069108963013,0.46323662996292114
10,799,4,16,0.033243730664253235,0.09997403621673584,0.4773406684398651
10,799,5,16,0.031086118891835213,0.10791069269180298,0.4363349676132202
10,799,6,8,0.051576510071754456,0.19647037982940674,1.142076015472412
10,799,7,16,0.018785510212183,0.13591119647026062,0.17949983477592468
10,799,8,16,0.019795969128608704,0.148710235953331,0.1627010852098465
10,799,9,16,0.007777608465403318,0.022662941366434097,0.11465834081172943
10,799,10,32,0.00034671591129153967,0.034334421157836914,0.004268776625394821
10,799,11,32,0.0012875944375991821,0.01227995753288269,0.04414907842874527
10,799,12,32,0.00797179713845253,0.029066700488328934,0.16289092600345612
10,799,13,64,0.19380348920822144,0.3108614683151245,1.9835765361785889
10,799,14,64,0.025013744831085205,0.1320202648639679,0.7966721653938293
10,799,15,64,0.022132445126771927,0.049857042729854584,0.6251415014266968
15,699,0,64,0.006954514421522617,0.1849813461303711,0.26678821444511414
15,699,1,64,0.06832105666399002,0.3619961738586426,0.8440673351287842
15,699,2,32,0.013150772079825401,0.0928734838962555,0.32709288597106934
15,699,3,32,0.04813750833272934,0.14566366374492645,0.4924008846282959
15,699,4,16,0.03456713259220123,0.09209269285202026,0.4815434515476227
15,699,5,16,0.03214649111032486,0.11661559343338013,0.4459143877029419
15,699,6,8,0.054725926369428635,0.22923162579536438,1.095291018486023
15,699,7,16,0.01663210242986679,0.1228983998298645,0.15981392562389374
15,699,8,16,0.016457274556159973,0.13883231580257416,0.13711994886398315
15,699,9,16,0.006633286364376545,0.01931561529636383,0.09173934906721115
15,699,10,32,0.00032387604005634785,0.02070941962301731,0.003993493504822254
15,699,11,32,0.0011482075788080692,0.009529517032206059,0.04094219580292702
15,699,12,32,0.006635831668972969,0.02679995819926262,0.13696664571762085
15,699,13,64,0.193862646818161,0.3312681317329407,1.9583468437194824
15,699,14,64,0.02993261255323887,0.14507956802845,0.8419328927993774
15,699,15,64,0.023949572816491127,0.05779464542865753,0.6866304278373718
20,599,0,64,0.0047629037871956825,0.15681353211402893,0.19187384843826294
20,599,1,64,0.06533043831586838,0.34009793400764465,0.8055548667907715
20,599,2,32,0.013915957883000374,0.09925869852304459,0.32897841930389404
20,599,3,32,0.04956598952412605,0.1501566469669342,0.4995708763599396
20,599,4,16,0.037499599158763885,0.09273988753557205,0.49739184975624084
20,599,5,16,0.03343687206506729,0.11865592002868652,0.4541299641132355
20,599,6,8,0.05318018049001694,0.2473071962594986,1.0397436618804932
20,599,7,16,0.014841001480817795,0.12208186089992523,0.15019404888153076
20,599,8,16,0.015820566564798355,0.1331668496131897,0.12919875979423523
20,599,9,16,0.005966074764728546,0.02038881927728653,0.0820775032043457
20,599,10,32,0.0003025878104381263,0.014360101893544197,0.0038738518487662077
20,599,11,32,0.0010706549510359764,0.009055724367499352,0.038466960191726685
20,599,12,32,0.0055595748126506805,0.025172065943479538,0.11790629476308823
20,599,13,64,0.1913911998271942,0.37998121976852417,1.9337921142578125
20,599,14,64,0.03368759900331497,0.13726124167442322,0.879597008228302
20,599,15,64,0.025939250364899635,0.06610516458749771,0.764324963092804
25,500,0,64,0.0036435932852327824,0.1482660472393036,0.16595271229743958
