step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.0242416150867939,0.22602564096450806,0.4960603713989258
0,999,1,64,0.07032684236764908,0.41802459955215454,0.9147640466690063
0,999,2,32,0.011832206510007381,0.06629176437854767,0.38437896966934204
0,999,3,32,0.036513473838567734,0.14906556904315948,0.3904598355293274
0,999,4,16,0.03502419590950012,0.12509237229824066,0.5480956435203552
0,999,5,16,0.029572362080216408,0.13004997372627258,0.4892731308937073
0,999,6,8,0.049898192286491394,0.24905279278755188,1.3117330074310303
0,999,7,16,0.0216574277728796,0.14478208124637604,0.2145037055015564
0,999,8,16,0.02194921299815178,0.19446831941604614,0.17258913815021515
0,999,9,16,0.010436708107590675,0.03406687453389168,0.1720559000968933
0,999,10,32,0.0008198462892323732,0.04123644158244133,0.009706515818834305
0,999,11,32,0.0019898407626897097,0.03182675316929817,0.06701213121414185
0,999,12,32,0.00913294032216072,0.03895112872123718,0.2486441433429718
0,999,13,64,0.12910297513008118,0.2835958003997803,1.6150940656661987
0,999,14,64,0.01663006842136383,0.10861378908157349,0.8620412945747375
0,999,15,64,0.017561163753271103,0.033064696937799454,0.5526414513587952
5,899,0,64,0.01490427553653717,0.22133123874664307,0.41374027729034424
5,899,1,64,0.07384175062179565,0.41502997279167175,0.9152105450630188
5,899,2,32,0.01233949325978756,0.08404859900474548,0.3524133563041687
5,899,3,32,0.03893129527568817,0.15398730337619781,0.41874393820762634
5,899,4,16,0.030787020921707153,0.11551524698734283,0.47945934534072876
5,899,5,16,0.030220063403248787,0.11044235527515411,0.4612855911254883
5,899,6,8,0.04415839910507202,0.20822003483772278,1.1633901596069336
5,899,7,16,0.020168032497167587,0.1414257287979126,0.18943485617637634
5,899,8,16,0.021224195137619972,0.15397533774375916,0.16579590737819672
5,899,9,16,0.011218620464205742,0.033799294382333755,0.17361921072006226
5,899,10,32,0.0006153497379273176,0.029697395861148834,0.007201172411441803
5,899,11,32,0.002003719098865986,0.048902109265327454,0.06300865113735199
5,899,12,32,0.009714328683912754,0.03213663026690483,0.21218174695968628
5,899,13,64,0.1736806482076645,0.3161426782608032,1.862596035003662
5,899,14,64,0.019142841920256615,0.12564899027347565,0.7849999070167542
5,899,15,64,0.018578123301267624,0.03601401671767235,0.5385655760765076
10,799,0,64,0.010073613375425339,0.2133791446685791,0.3392076790332794
10,799,1,64,0.07465864717960358,0.40060141682624817,0.9074707627296448
10,799,2,32,0.012591525912284851,0.09266307950019836,0.3342028260231018
10,799,3,32,0.04198497533798218,0.13701076805591583,0.4454096555709839
10,799,4,16,0.0278780460357666,0.10444695502519608,0.4473157525062561
10,799,5,16,0.030279070138931274,0.09785126149654388,0.44746434688568115
10,799,6,8,0.05084645748138428,0.1980350911617279,1.134397029876709
10,799,7,16,0.0188143290579319,0.13698095083236694,0.18483060598373413
10,799,8,16,0.01941651664674282,0.14945387840270996,0.16085554659366608
10,799,9,16,0.007815799675881863,0.022435231134295464,0.11524127423763275
10,799,10,32,0.00035110587486997247,0.030244333669543266,0.004195658955723047
10,799,11,32,0.001330686965957284,0.010914531536400318,0.04531089961528778
10,799,12,32,0.007772119250148535,0.03398245945572853,0.16325055062770844
10,799,13,64,0.19802191853523254,0.33633750677108765,2.0341811180114746
10,799,14,64,0.02484320104122162,0.1349002867937088,0.8111339807510376
10,799,15,64,0.023530246689915657,0.06185261160135269,0.6408007144927979
15,699,0,64,0.0065686143934726715,0.19041460752487183,0.2585153579711914
15,699,1,64,0.07271328568458557,0.38247787952423096,0.8705923557281494
15,699,2,32,0.01316842157393694,0.09653925895690918,0.33191174268722534
15,699,3,32,0.04720955342054367,0.1488133668899536,0.47342774271965027
15,699,4,16,0.027638643980026245,0.08817625045776367,0.44550180435180664
15,699,5,16,0.029646243900060654,0.09874238073825836,0.4386140704154968
15,699,6,8,0.05517417564988136,0.2033052295446396,1.1348018646240234
15,699,7,16,0.015875715762376785,0.12512768805027008,0.16715148091316223
15,699,8,16,0.01597922295331955,0.14621788263320923,0.1401747763156891
15,699,9,16,0.006383610889315605,0.01873156800866127,0.09070251137018204
15,699,10,32,0.00029751635156571865,0.02620658278465271,0.0036767967976629734
15,699,11,32,0.0011867283610627055,0.010071625001728535,0.04203733429312706
15,699,12,32,0.006512916646897793,0.03743690624833107,0.1357869654893875
15,699,13,64,0.19715526700019836,0.3371394872665405,2.00282621383667
15,699,14,64,0.029219646006822586,0.16111551225185394,0.8480633497238159
15,699,15,64,0.026201916858553886,0.0796806663274765,0.7133324146270752
20,599,0,64,0.004347793757915497,0.15929481387138367,0.18869100511074066
20,599,1,64,0.06970087438821793,0.36393216252326965,0.8322876691818237
20,599,2,32,0.013981763273477554,0.10144419223070145,0.3394126892089844
20,599,3,32,0.04930270463228226,0.15201900899410248,0.4860806167125702
20,599,4,16,0.028986677527427673,0.07874727994203568,0.45526358485221863
20,599,5,16,0.028708377853035927,0.10424639284610748,0.4289020895957947
20,599,6,8,0.05523330718278885,0.2109466940164566,1.1219990253448486
