step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.021463848650455475,0.20500433444976807,0.4587877094745636
0,999,1,64,0.08553546667098999,0.28862661123275757,0.9132884740829468
0,999,2,32,0.012959414161741734,0.08843080699443817,0.3614223599433899
0,999,3,32,0.03791819140315056,0.15786901116371155,0.39495593309402466
0,999,4,16,0.018598031252622604,0.03974737226963043,0.5019544363021851
0,999,5,16,0.027290426194667816,0.08440049737691879,0.6283793449401855
0,999,6,8,0.08186675608158112,0.1661062240600586,1.4190680980682373
0,999,7,16,0.014832239598035812,0.032412394881248474,0.2969246208667755
0,999,8,16,0.010547283105552197,0.033168479800224304,0.15087005496025085
0,999,9,16,0.024043822661042213,0.12010344117879868,0.20893235504627228
0,999,10,32,0.0005534380325116217,0.012894140556454659,0.006707384251058102
0,999,11,32,0.004682028666138649,0.03679840639233589,0.09471768140792847
0,999,12,32,0.009991191327571869,0.061647772789001465,0.22082114219665527
0,999,13,64,0.14874660968780518,0.334136962890625,1.681380033493042
0,999,14,64,0.015956472605466843,0.1185111254453659,0.8278898000717163
0,999,15,64,0.018830694258213043,0.030998332425951958,0.5878806114196777
5,899,0,64,0.014713752083480358,0.19324859976768494,0.41158342361450195
5,899,1,64,0.08717838674783707,0.2927011251449585,0.8501754999160767
5,899,2,32,0.0156999621540308,0.09391351789236069,0.3092068135738373
5,899,3,32,0.040355145931243896,0.15774297714233398,0.43006807565689087
5,899,4,16,0.015883278101682663,0.03730529546737671,0.4187776744365692
5,899,5,16,0.025237705558538437,0.0766465961933136,0.5729671120643616
5,899,6,8,0.08328485488891602,0.15929070115089417,1.4515485763549805
5,899,7,16,0.011869747191667557,0.028133461251854897,0.2304755300283432
5,899,8,16,0.009208489209413528,0.029394546523690224,0.12779003381729126
5,899,9,16,0.0188946183770895,0.088389553129673,0.1640426516532898
5,899,10,32,0.00047199492109939456,0.01543205976486206,0.005945082753896713
5,899,11,32,0.0037702303379774094,0.03400484472513199,0.08030115813016891
5,899,12,32,0.009914563037455082,0.05863752216100693,0.1734960973262787
5,899,13,64,0.1668049693107605,0.33940616250038147,1.7646018266677856
5,899,14,64,0.019165348261594772,0.12511858344078064,0.7617478966712952
5,899,15,64,0.02033035084605217,0.037804052233695984,0.6255200505256653
10,799,0,64,0.011776383966207504,0.18528258800506592,0.3808125853538513
10,799,1,64,0.09032624959945679,0.29613685607910156,0.8254056572914124
10,799,2,32,0.01567070372402668,0.10031682252883911,0.28117141127586365
10,799,3,32,0.043571051210165024,0.16331852972507477,0.46659690141677856
10,799,4,16,0.014892557635903358,0.039043109863996506,0.38397955894470215
10,799,5,16,0.021887339651584625,0.057526975870132446,0.5248632431030273
10,799,6,8,0.08110219240188599,0.16261962056159973,1.4198944568634033
10,799,7,16,0.009612788446247578,0.023524019867181778,0.17988520860671997
10,799,8,16,0.007171868346631527,0.02637067437171936,0.10234363377094269
10,799,9,16,0.010150006040930748,0.03658117353916168,0.0998264029622078
10,799,10,32,0.0003762102569453418,0.018965652212500572,0.004834821913391352
10,799,11,32,0.0030047260224819183,0.026320630684494972,0.06748959422111511
10,799,12,32,0.00839109905064106,0.05336374416947365,0.1430845856666565
10,799,13,64,0.19246360659599304,0.31812185049057007,1.8479068279266357
10,799,14,64,0.02586916834115982,0.12771837413311005,0.7894469499588013
10,799,15,64,0.022053487598896027,0.044183358550071716,0.6517021059989929
15,699,0,64,0.01009337604045868,0.17712397873401642,0.3544958531856537
15,699,1,64,0.09200304746627808,0.3091609477996826,0.7993654608726501
15,699,2,32,0.014767458662390709,0.10044834762811661,0.25573572516441345
15,699,3,32,0.04459412395954132,0.15808409452438354,0.4845799505710602
15,699,4,16,0.014687564224004745,0.04167643189430237,0.3699635863304138
15,699,5,16,0.02079641819000244,0.05055490881204605,0.5071832537651062
15,699,6,8,0.07835040241479874,0.16983962059020996,1.3568898439407349
15,699,7,16,0.008061595261096954,0.023141607642173767,0.14481796324253082
15,699,8,16,0.005886792205274105,0.025933681055903435,0.08469903469085693
15,699,9,16,0.006256517954170704,0.01683332398533821,0.0666256844997406
15,699,10,32,0.00033428732422180474,0.016406692564487457,0.00446607731282711
15,699,11,32,0.002648990834131837,0.022194333374500275,0.06285881251096725
15,699,12,32,0.006890569813549519,0.04884350672364235,0.12298110872507095
15,699,13,64,0.2022971510887146,0.3602188229560852,1.8591974973678589
15,699,14,64,0.03210780769586563,0.1252913773059845,0.8284379243850708
15,699,15,64,0.024851836264133453,0.0746934711933136,0.7255408763885498
20,599,0,64,0.008865868672728539,0.16920560598373413,0.3346724510192871
20,599,1,64,0.0931285172700882,0.3206203877925873,0.7843584418296814
20,599,2,32,0.013592911884188652,0.10303203761577606,0.23603366315364838
20,599,3,32,0.04307049512863159,0.1486344337463379,0.4838656783103943
20,599,4,16,0.01516127772629261,0.04379361867904663,0.3717202842235565
20,599,5,16,0.021021408960223198,0.04687877744436264,0.5063910484313965
20,599,6,8,0.07438165694475174,0.17258070409297943,1.282106876373291
20,599,7,16,0.0073232222348451614,0.022501392289996147,0.12779156863689423
20,599,8,16,0.005242470186203718,0.025898423045873642,0.07510731369256973
20,599,9,16,0.004799214191734791,0.010855263099074364,0.05272083356976509
20,599,10,32,0.00032946860301308334,0.010264444164931774,0.004596707411110401
