step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.020905926823616028,0.20513921976089478,0.4336647391319275
0,999,1,64,0.09700538218021393,0.3805564045906067,0.9497911930084229
0,999,2,32,0.03445275127887726,0.15898793935775757,0.4902321696281433
0,999,3,32,0.033515654504299164,0.13948139548301697,0.4232387840747833
0,999,4,16,0.01876142807304859,0.06212184578180313,0.5164401531219482
0,999,5,16,0.02158956788480282,0.07505927979946136,0.5622451305389404
0,999,6,8,0.07310672104358673,0.16172662377357483,1.4527111053466797
0,999,7,16,0.016529522836208344,0.035021815448999405,0.351239413022995
0,999,8,16,0.010956374928355217,0.030892256647348404,0.16688591241836548
0,999,9,16,0.023110300302505493,0.1170123741030693,0.23545518517494202
0,999,10,32,0.0005329619161784649,0.009689758531749249,0.006886773742735386
0,999,11,32,0.004313900135457516,0.03709319606423378,0.09183214604854584
0,999,12,32,0.01152375154197216,0.06263471394777298,0.25772935152053833
0,999,13,64,0.15665051341056824,0.3299381136894226,1.63117516040802
0,999,14,64,0.016951868310570717,0.12331363558769226,0.8247556686401367
0,999,15,64,0.018673906102776527,0.03932216763496399,0.5396091938018799
5,899,0,64,0.014361025765538216,0.19628582894802094,0.3821529448032379
5,899,1,64,0.1022748276591301,0.3725549578666687,0.9404771327972412
5,899,2,32,0.036422889679670334,0.1914491355419159,0.4696527123451233
5,899,3,32,0.03426298871636391,0.1679183542728424,0.4399935007095337
5,899,4,16,0.01507713831961155,0.0432673916220665,0.4303109645843506
5,899,5,16,0.020757723599672318,0.06591013818979263,0.530948281288147
5,899,6,8,0.07679001986980438,0.1507563441991806,1.418753743171692
5,899,7,16,0.013778332620859146,0.02982310578227043,0.27950137853622437
5,899,8,16,0.011118114925920963,0.042245835065841675,0.15709704160690308
5,899,9,16,0.026649978011846542,0.10071296244859695,0.23378413915634155
5,899,10,32,0.000645918888039887,0.015994783490896225,0.008206631988286972
5,899,11,32,0.003915706183761358,0.02935963124036789,0.09252806752920151
5,899,12,32,0.010582474991679192,0.060712531208992004,0.19794750213623047
5,899,13,64,0.17671604454517365,0.37208569049835205,1.6977043151855469
5,899,14,64,0.02177937515079975,0.13227355480194092,0.7945880889892578
5,899,15,64,0.01964166946709156,0.04171207174658775,0.5612714290618896
10,799,0,64,0.011074177920818329,0.18981894850730896,0.343990683555603
10,799,1,64,0.10430210828781128,0.38610029220581055,0.9195160269737244
10,799,2,32,0.03384783864021301,0.19362008571624756,0.44193035364151
10,799,3,32,0.03628087043762207,0.1785918027162552,0.4608655571937561
10,799,4,16,0.014189244247972965,0.035050250589847565,0.40690845251083374
10,799,5,16,0.018906012177467346,0.0547778382897377,0.49592262506484985
10,799,6,8,0.07799247652292252,0.1551329493522644,1.3810398578643799
10,799,7,16,0.011232646182179451,0.02709319069981575,0.20796866714954376
10,799,8,16,0.008826911449432373,0.023189332336187363,0.12596434354782104
10,799,9,16,0.016684487462043762,0.06732866168022156,0.14941775798797607
10,799,10,32,0.0005614173132926226,0.014819619245827198,0.006983625236898661
10,799,11,32,0.0033109039068222046,0.027522383257746696,0.07759533822536469
10,799,12,32,0.00844514463096857,0.05512524023652077,0.14661213755607605
10,799,13,64,0.19524924457073212,0.3411794602870941,1.8228904008865356
10,799,14,64,0.027819525450468063,0.15515978634357452,0.8173572421073914
10,799,15,64,0.02106938138604164,0.05320862680673599,0.5801470279693604
15,699,0,64,0.00900975801050663,0.1822367161512375,0.31079238653182983
15,699,1,64,0.10457424819469452,0.3935104012489319,0.8882720470428467
15,699,2,32,0.03178827464580536,0.1856144368648529,0.4181201457977295
15,699,3,32,0.03888671472668648,0.17848463356494904,0.4852028489112854
15,699,4,16,0.014104777947068214,0.03592492640018463,0.40348681807518005
15,699,5,16,0.01707170158624649,0.041211724281311035,0.46135157346725464
15,699,6,8,0.07723546028137207,0.16848942637443542,1.3370765447616577
15,699,7,16,0.009196607396006584,0.020214803516864777,0.16266998648643494
15,699,8,16,0.006801111623644829,0.017563195899128914,0.09925349056720734
15,699,9,16,0.009109945967793465,0.03361493721604347,0.09372886270284653
15,699,10,32,0.0004916104371659458,0.011225121095776558,0.006238280795514584
15,699,11,32,0.003125703427940607,0.02723829820752144,0.07232262194156647
15,699,12,32,0.006369385402649641,0.050665050745010376,0.12206783890724182
15,699,13,64,0.2066834270954132,0.3554489016532898,1.8594427108764648
15,699,14,64,0.033469684422016144,0.1494036316871643,0.857283353805542
15,699,15,64,0.024390526115894318,0.0669543445110321,0.6582889556884766
20,599,0,64,0.007007175590842962,0.1683720052242279,0.2773094177246094
20,599,1,64,0.10430505126714706,0.39434027671813965,0.8639625310897827
20,599,2,32,0.030242130160331726,0.17611561715602875,0.40007340908050537
20,599,3,32,0.03961298614740372,0.16391587257385254,0.4972234070301056
20,599,4,16,0.014424769207835197,0.03973795473575592,0.40875136852264404
20,599,5,16,0.015612829476594925,0.03883839398622513,0.4287678599357605
20,599,6,8,0.07521945238113403,0.16978700459003448,1.2909228801727295
20,599,7,16,0.007907813414931297,0.01875903829932213,0.13894659280776978
20,599,8,16,0.006004063878208399,0.017520029097795486,0.08897798508405685
20,599,9,16,0.006702949292957783,0.020896390080451965,0.07242713123559952
20,599,10,32,0.0004493957385420799,0.00530572235584259,0.006056313868612051
20,599,11,32,0.0029117674566805363,0.028797941282391548,0.0705760270357132
20,599,12,32,0.005137714557349682,0.04508095979690552,0.10263600945472717
20,599,13,64,0.20501336455345154,0.34673982858657837,1.8409900665283203
20,599,14,64,0.03839763253927231,0.1471111923456192,0.8833303451538086
20,599,15,64,0.02599375694990158,0.09348763525485992,0.7205289602279663
25,500,0,64,0.005477071739733219,0.1479608118534088,0.24961206316947937
25,500,1,64,0.10258391499519348,0.38597068190574646,0.8298619985580444
25,500,2,32,0.02979995682835579,0.17079780995845795,0.3802739679813385
25,500,3,32,0.03778677433729172,0.14104688167572021,0.4935445487499237
25,500,4,16,0.014711559750139713,0.04347021132707596,0.4132211208343506
