step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.025393329560756683,0.17777642607688904,0.49241483211517334
0,999,1,64,0.05950102210044861,0.3555390238761902,0.8825883865356445
0,999,2,32,0.011288503184914589,0.1528118997812271,0.2595580220222473
0,999,3,32,0.027998553588986397,0.13702063262462616,0.43344739079475403
0,999,4,16,0.02577340044081211,0.09916689991950989,0.6519995331764221
0,999,5,16,0.06807330250740051,0.16592392325401306,0.9223920106887817
0,999,6,8,0.11120297014713287,0.21883881092071533,1.3884093761444092
0,999,7,16,0.055261678993701935,0.15838554501533508,0.5729972124099731
0,999,8,16,0.01863875240087509,0.11783033609390259,0.19425955414772034
0,999,9,16,0.009603116661310196,0.05761117488145828,0.13213808834552765
0,999,10,32,0.0005987569456920028,0.010026464238762856,0.007718680892139673
0,999,11,32,0.001371394144371152,0.010877123102545738,0.04951440542936325
0,999,12,32,0.006591875106096268,0.054111361503601074,0.2419535219669342
0,999,13,64,0.11463286727666855,0.2914021909236908,1.6050517559051514
0,999,14,64,0.015557491220533848,0.10144554078578949,0.9208070635795593
0,999,15,64,0.016302190721035004,0.027204148471355438,0.6001032590866089
5,899,0,64,0.018541773781180382,0.16519364714622498,0.4269905984401703
5,899,1,64,0.06421021372079849,0.35062968730926514,0.8999207019805908
5,899,2,32,0.00960736908018589,0.1332653909921646,0.23989352583885193
5,899,3,32,0.02591879665851593,0.13677239418029785,0.4113714098930359
5,899,4,16,0.02445480227470398,0.108098104596138,0.579380452632904
5,899,5,16,0.060549695044755936,0.1549580693244934,0.8765188455581665
5,899,6,8,0.11202650517225266,0.21262650191783905,1.3679779767990112
5,899,7,16,0.05592326819896698,0.1624448001384735,0.5510847568511963
5,899,8,16,0.021523255854845047,0.10565438866615295,0.20256724953651428
5,899,9,16,0.010079968720674515,0.04436241462826729,0.13242164254188538
5,899,10,32,0.0006194091401994228,0.01211281307041645,0.008044552057981491
5,899,11,32,0.0013378034345805645,0.012156831100583076,0.056408993899822235
5,899,12,32,0.00940423458814621,0.06364479660987854,0.22941358387470245
5,899,13,64,0.13133668899536133,0.29831212759017944,1.6748549938201904
5,899,14,64,0.017701828852295876,0.12418752163648605,0.8169053792953491
5,899,15,64,0.01727786660194397,0.0318342000246048,0.6197973489761353
10,799,0,64,0.013839715160429478,0.15544244647026062,0.37361156940460205
10,799,1,64,0.06596103310585022,0.3555421829223633,0.8719615936279297
10,799,2,32,0.008692223578691483,0.13405607640743256,0.23256948590278625
10,799,3,32,0.024727068841457367,0.13066816329956055,0.3982980251312256
10,799,4,16,0.023101145401597023,0.10498850047588348,0.5462530255317688
10,799,5,16,0.0523010715842247,0.14758330583572388,0.8133502006530762
10,799,6,8,0.09620185941457748,0.16465376317501068,1.2845094203948975
10,799,7,16,0.04889615625143051,0.17594590783119202,0.4515901207923889
10,799,8,16,0.020194437354803085,0.09022857248783112,0.19963422417640686
10,799,9,16,0.01087491400539875,0.04449756443500519,0.1372980773448944
10,799,10,32,0.0005259954486973584,0.012865347787737846,0.007095638196915388
10,799,11,32,0.001127593801356852,0.012538609094917774,0.04672472923994064
10,799,12,32,0.008495120331645012,0.0643133893609047,0.1713619828224182
10,799,13,64,0.1504903882741928,0.3018358647823334,1.8615410327911377
10,799,14,64,0.02390838786959648,0.14508531987667084,0.8371201753616333
10,799,15,64,0.019137220457196236,0.04495569318532944,0.6886484622955322
15,699,0,64,0.010681532323360443,0.1453283578157425,0.33399736881256104
15,699,1,64,0.06516410410404205,0.3477513790130615,0.8193310499191284
15,699,2,32,0.008260580711066723,0.1346472054719925,0.23430144786834717
15,699,3,32,0.0237335916608572,0.1288384199142456,0.3951600193977356
15,699,4,16,0.02111828699707985,0.0943550318479538,0.5307029485702515
15,699,5,16,0.04576990008354187,0.14202460646629333,0.7562682628631592
15,699,6,8,0.08843886852264404,0.15780866146087646,1.2570444345474243
15,699,7,16,0.0398181714117527,0.16710597276687622,0.353024959564209
15,699,8,16,0.014295285567641258,0.07140576839447021,0.1612999141216278
15,699,9,16,0.007493305951356888,0.03340253233909607,0.10449014604091644
15,699,10,32,0.0004192282212898135,0.012672673910856247,0.005894181318581104
15,699,11,32,0.0009141500340774655,0.012608405202627182,0.03632764518260956
15,699,12,32,0.005973732564598322,0.06020178273320198,0.13226933777332306
15,699,13,64,0.16587144136428833,0.3125859498977661,1.9206936359405518
15,699,14,64,0.02847321517765522,0.14012354612350464,0.8549551963806152
15,699,15,64,0.023289484903216362,0.06881231814622879,0.8131657242774963
20,599,0,64,0.00821501575410366,0.13575322926044464,0.3017714321613312
20,599,1,64,0.06387580186128616,0.3414401710033417,0.7825647592544556
20,599,2,32,0.008182683028280735,0.13261248171329498,0.24342170357704163
20,599,3,32,0.0232397373765707,0.12596115469932556,0.40128082036972046
20,599,4,16,0.020292997360229492,0.08616738021373749,0.5318482518196106
20,599,5,16,0.039303138852119446,0.14194807410240173,0.6850685477256775
20,599,6,8,0.08665359020233154,0.15818843245506287,1.2803359031677246
20,599,7,16,0.03144969791173935,0.16761484742164612,0.2891031801700592
20,599,8,16,0.01010903250426054,0.06293591856956482,0.12483195960521698
20,599,9,16,0.005066346377134323,0.029026495292782784,0.07518237829208374
20,599,10,32,0.00037780910497531295,0.014540117233991623,0.005402205511927605
20,599,11,32,0.0008283616043627262,0.014257224276661873,0.03264714777469635
20,599,12,32,0.005139998160302639,0.05777919292449951,0.11668004095554352
20,599,13,64,0.16492441296577454,0.3198103904724121,1.9044948816299438
20,599,14,64,0.029958579689264297,0.171860009431839,0.8527935147285461
20,599,15,64,0.02542867511510849,0.09522354602813721,0.8990809917449951
25,500,0,64,0.006085206754505634,0.13095563650131226,0.26984143257141113
25,500,1,64,0.062144432216882706,0.34983447194099426,0.7467364072799683
25,500,2,32,0.008070547133684158,0.13168036937713623,0.24434559047222137
25,500,3,32,0.02250220999121666,0.11146997660398483,0.3987143039703369
25,500,4,16,0.0199233777821064,0.07904770970344543,0.5294373035430908
25,500,5,16,0.034381136298179626,0.13741254806518555,0.6151472330093384
25,500,6,8,0.08414462208747864,0.1507798433303833,1.2836830615997314
25,500,7,16,0.024713683873414993,0.16709274053573608,0.24993325769901276
25,500,8,16,0.008166177198290825,0.060178160667419434,0.10563461482524872
25,500,9,16,0.003983145579695702,0.028843307867646217,0.06127792224287987
25,500,10,32,0.00036542167072184384,0.015885353088378906,0.005314932204782963
25,500,11,32,0.0007471723947674036,0.01583576761186123,0.029512368142604828
25,500,12,32,0.00440092571079731,0.0552811324596405,0.10168096423149109
25,500,13,64,0.15911942720413208,0.3167279362678528,1.8641395568847656
25,500,14,64,0.031107749789953232,0.17585214972496033,0.8560704588890076
25,500,15,64,0.025344837456941605,0.10089749842882156,0.9554579257965088
30,400,0,64,0.004513921681791544,0.12611737847328186,0.24067407846450806
30,400,1,64,0.05972271412611008,0.35348212718963623,0.6987552642822266
30,400,2,32,0.007960069924592972,0.13192451000213623,0.23598983883857727
30,400,3,32,0.020370911806821823,0.08442079275846481,0.38026881217956543
30,400,4,16,0.019571594893932343,0.07271076738834381,0.5218675136566162
30,400,5,16,0.030360709875822067,0.1402188390493393,0.550581693649292
30,400,6,8,0.07928517460823059,0.14362236857414246,1.2503423690795898
30,400,7,16,0.019301554188132286,0.1647232621908188,0.21717515587806702
30,400,8,16,0.006960020400583744,0.061539389193058014,0.09237606078386307
30,400,9,16,0.0033821710385382175,0.028889279812574387,0.05395510792732239
30,400,10,32,0.00037092750426381826,0.016589604318141937,0.0054833171889185905
30,400,11,32,0.0006908249924890697,0.017726106569170952,0.027302438393235207
30,400,12,32,0.0038656285032629967,0.052646081894636154,0.09094639867544174
30,400,13,64,0.1523815542459488,0.31457728147506714,1.8167517185211182
30,400,14,64,0.03168371319770813,0.15642261505126953,0.8569463491439819
30,400,15,64,0.02439919114112854,0.10557041317224503,1.0011608600616455
35,300,0,64,0.003549781860783696,0.12049040198326111,0.22092512249946594
35,300,1,64,0.05674473196268082,0.35266560316085815,0.6461662650108337
35,300,2,32,0.007887853309512138,0.12895110249519348,0.22431372106075287
35,300,3,32,0.017593881115317345,0.0870237648487091,0.35307425260543823
35,300,4,16,0.018838461488485336,0.06710316985845566,0.5032540559768677
35,300,5,16,0.026295922696590424,0.14257054030895233,0.4857619106769562
35,300,6,8,0.0727040022611618,0.14044015109539032,1.203692078590393
35,300,7,16,0.016214340925216675,0.1631762534379959,0.19322362542152405
35,300,8,16,0.005987521260976791,0.059223469346761703,0.08054813742637634
35,300,9,16,0.0030109472572803497,0.028635863214731216,0.049710169434547424
35,300,10,32,0.00038299261359497905,0.01712595298886299,0.005623741075396538
35,300,11,32,0.000655956391710788,0.020296890288591385,0.02571810781955719
35,300,12,32,0.00353575823828578,0.049391262233257294,0.0852402001619339
35,300,13,64,0.14508643746376038,0.30183911323547363,1.7623603343963623
35,300,14,64,0.03159201145172119,0.15050742030143738,0.8518487215042114
35,300,15,64,0.023371374234557152,0.11357352882623672,1.0499186515808105
40,200,0,64,0.002961759688332677,0.11498433351516724,0.21123066544532776
40,200,1,64,0.05297709256410599,0.3463034927845001,0.5971806049346924
40,200,2,32,0.007578875869512558,0.12048366665840149,0.20813602209091187
40,200,3,32,0.014779130928218365,0.08913585543632507,0.3205406069755554
40,200,4,16,0.017337001860141754,0.061893973499536514,0.46167171001434326
40,200,5,16,0.022537939250469208,0.1401689499616623,0.41772812604904175
40,200,6,8,0.06722591817378998,0.13745012879371643,1.15578031539917
40,200,7,16,0.01443545799702406,0.1623982936143875,0.17431232333183289
40,200,8,16,0.00516639044508338,0.05314464494585991,0.07086233794689178
40,200,9,16,0.0028131965082138777,0.03177928552031517,0.04759449511766434
40,200,10,32,0.000377954012947157,0.017333917319774628,0.00551361171528697
40,200,11,32,0.0006306938594207168,0.021289076656103134,0.024443544447422028
40,200,12,32,0.003319439012557268,0.04498997703194618,0.08191860467195511
40,200,13,64,0.13905660808086395,0.30366960167884827,1.708999514579773
40,200,14,64,0.03061039373278618,0.1508382260799408,0.840660572052002
40,200,15,64,0.022408954799175262,0.12846681475639343,1.0907007455825806
45,100,0,64,0.0026057767681777477,0.10905212163925171,0.2119358479976654
45,100,1,64,0.04692178964614868,0.3253393769264221,0.5442501306533813
45,100,2,32,0.006634818855673075,0.10215767472982407,0.1792038083076477
45,100,3,32,0.011707821860909462,0.0818905159831047,0.27980712056159973
45,100,4,16,0.0150219164788723,0.05700834468007088,0.3967495560646057
45,100,5,16,0.01954951509833336,0.14366880059242249,0.3532795310020447
45,100,6,8,0.06064899265766144,0.13147348165512085,1.0897995233535767
45,100,7,16,0.012798894196748734,0.159221351146698,0.15516051650047302
45,100,8,16,0.004518088884651661,0.044589199125766754,0.06363902986049652
45,100,9,16,0.0027456574607640505,0.03369056060910225,0.04718071222305298
45,100,10,32,0.00034935897565446794,0.016922207549214363,0.005120439454913139
45,100,11,32,0.000583502056542784,0.01695999689400196,0.022638510912656784
45,100,12,32,0.0032381745986640453,0.03782576322555542,0.0805593952536583
45,100,13,64,0.1341828852891922,0.29944396018981934,1.653611660003662
45,100,14,64,0.028692718595266342,0.14538165926933289,0.8193717002868652
45,100,15,64,0.02139456197619438,0.14918090403079987,1.1143910884857178
49,20,0,64,0.0025818755384534597,0.10136381536722183,0.23094630241394043
49,20,1,64,0.03799552470445633,0.26231640577316284,0.4614095687866211
49,20,2,32,0.004687545355409384,0.0666014552116394,0.12923233211040497
49,20,3,32,0.008056404069066048,0.06023667752742767,0.23404598236083984
49,20,4,16,0.012056030333042145,0.05121489614248276,0.3193151652812958
49,20,5,16,0.017041023820638657,0.13108257949352264,0.305969774723053
49,20,6,8,0.05302831158041954,0.12045294791460037,1.018181562423706
49,20,7,16,0.01111957710236311,0.14032778143882751,0.1409173160791397
49,20,8,16,0.004834257066249847,0.0351327583193779,0.06744547933340073
49,20,9,16,0.0029837745241820812,0.03856097161769867,0.04936330020427704
49,20,10,32,0.0003094691492151469,0.0167581494897604,0.004630644340068102
49,20,11,32,0.0005232224357314408,0.009158851578831673,0.020036667585372925
49,20,12,32,0.0031403214670717716,0.0344485267996788,0.07505768537521362
49,20,13,64,0.13579638302326202,0.30627474188804626,1.5587891340255737
49,20,14,64,0.024829961359500885,0.14204880595207214,0.777949333190918
49,20,15,64,0.019065137952566147,0.1248982846736908,1.0952140092849731
