step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.020670320838689804,0.21521304547786713,0.4330696761608124
0,999,1,64,0.09471146762371063,0.38120269775390625,0.9241678714752197
0,999,2,32,0.03330367058515549,0.1650102138519287,0.4810710847377777
0,999,3,32,0.032373059540987015,0.14804255962371826,0.4006824195384979
0,999,4,16,0.01802077144384384,0.07004764676094055,0.5033674240112305
0,999,5,16,0.022218499332666397,0.07695025205612183,0.5774683952331543
0,999,6,8,0.07230143994092941,0.1601790189743042,1.449779987335205
0,999,7,16,0.016315676271915436,0.033386535942554474,0.3397046625614166
0,999,8,16,0.011214514262974262,0.034606706351041794,0.16890603303909302
0,999,9,16,0.01979829929769039,0.11238198727369308,0.21767568588256836
0,999,10,32,0.0005909140454605222,0.026657026261091232,0.007341532502323389
0,999,11,32,0.0038727647624909878,0.04261041432619095,0.08953240513801575
0,999,12,32,0.010878292843699455,0.06345188617706299,0.24870093166828156
0,999,13,64,0.15415476262569427,0.3281443119049072,1.6201667785644531
0,999,14,64,0.01676313206553459,0.12101496011018753,0.8101975321769714
0,999,15,64,0.01857685297727585,0.04024454578757286,0.5337107181549072
5,899,0,64,0.01412262860685587,0.20964649319648743,0.3797212541103363
5,899,1,64,0.10167132318019867,0.38739103078842163,0.9359933137893677
5,899,2,32,0.03514883294701576,0.178049236536026,0.4642758071422577
5,899,3,32,0.03256751596927643,0.16612182557582855,0.42147254943847656
5,899,4,16,0.014527454040944576,0.05169222503900528,0.4233916997909546
5,899,5,16,0.020810360088944435,0.06239840388298035,0.548897385597229
5,899,6,8,0.06828868389129639,0.13695737719535828,1.3723833560943604
5,899,7,16,0.013195662759244442,0.02727421559393406,0.28015536069869995
5,899,8,16,0.010984179563820362,0.05110722780227661,0.15914371609687805
5,899,9,16,0.021302159875631332,0.09483682364225388,0.22653067111968994
5,899,10,32,0.00063531898194924,0.04059957340359688,0.007831529714167118
5,899,11,32,0.0037061464972794056,0.028843330219388008,0.09303107857704163
5,899,12,32,0.010121829807758331,0.06274028867483139,0.20126493275165558
5,899,13,64,0.16749486327171326,0.3622726798057556,1.6443464756011963
5,899,14,64,0.021651770919561386,0.12855888903141022,0.7848924398422241
5,899,15,64,0.01933547481894493,0.042591534554958344,0.5474283695220947
10,799,0,64,0.01061330921947956,0.2045249044895172,0.33804231882095337
10,799,1,64,0.10461036115884781,0.38060811161994934,0.9206206798553467
10,799,2,32,0.03139834851026535,0.17882320284843445,0.4311583638191223
10,799,3,32,0.03336958959698677,0.17220079898834229,0.44163960218429565
10,799,4,16,0.013537456281483173,0.04170125350356102,0.39807581901550293
10,799,5,16,0.018911093473434448,0.054529860615730286,0.5137189626693726
10,799,6,8,0.06382259726524353,0.11767546832561493,1.3038681745529175
10,799,7,16,0.01036923285573721,0.02349059283733368,0.20695655047893524
10,799,8,16,0.00852801464498043,0.02996215596795082,0.1275673806667328
10,799,9,16,0.015674328431487083,0.05890246480703354,0.15695621073246002
10,799,10,32,0.0005881394608877599,0.02943948283791542,0.007234210614115
10,799,11,32,0.003258243203163147,0.026130933314561844,0.08228932321071625
10,799,12,32,0.008686453104019165,0.0589226558804512,0.1507159322500229
10,799,13,64,0.18514986336231232,0.33897942304611206,1.7647360563278198
10,799,14,64,0.028156083077192307,0.1601005494594574,0.8161910772323608
10,799,15,64,0.020379314199090004,0.05549386143684387,0.5586570501327515
15,699,0,64,0.008651110343635082,0.1983095407485962,0.30504560470581055
15,699,1,64,0.10569848120212555,0.3894616961479187,0.8935940265655518
15,699,2,32,0.028341487050056458,0.1740560531616211,0.40283823013305664
15,699,3,32,0.034270159900188446,0.16564315557479858,0.4596400558948517
15,699,4,16,0.013385474681854248,0.038337837904691696,0.39327454566955566
15,699,5,16,0.017385903745889664,0.04341655969619751,0.48273617029190063
15,699,6,8,0.06182043254375458,0.13021233677864075,1.2628412246704102
15,699,7,16,0.008512279018759727,0.020559649914503098,0.15903237462043762
15,699,8,16,0.006883576512336731,0.01625976152718067,0.10370346903800964
15,699,9,16,0.008994103409349918,0.026422400027513504,0.09312331676483154
15,699,10,32,0.0005103627336211503,0.01779896579682827,0.0065526822581887245
15,699,11,32,0.003041864139959216,0.023709813132882118,0.07557091116905212
15,699,12,32,0.006383436731994152,0.05351588875055313,0.1242319643497467
15,699,13,64,0.1999463587999344,0.3424489498138428,1.8273481130599976
15,699,14,64,0.03389444947242737,0.15790165960788727,0.8493728637695312
15,699,15,64,0.024036061018705368,0.07688966393470764,0.6450777053833008
20,599,0,64,0.0068734013475477695,0.18788117170333862,0.2767272889614105
20,599,1,64,0.1059919148683548,0.3910810947418213,0.8717206716537476
20,599,2,32,0.02614743262529373,0.16537901759147644,0.3814340829849243
20,599,3,32,0.034081052988767624,0.1484680473804474,0.46899840235710144
20,599,4,16,0.01351615134626627,0.043087124824523926,0.39533716440200806
20,599,5,16,0.0160105861723423,0.044728994369506836,0.4524819552898407
20,599,6,8,0.06047855690121651,0.1355205476284027,1.2281968593597412
20,599,7,16,0.007430004887282848,0.021029213443398476,0.13580477237701416
20,599,8,16,0.005954013206064701,0.015669191256165504,0.09067106992006302
20,599,9,16,0.006477615796029568,0.019734378904104233,0.06987534463405609
20,599,10,32,0.0004779429582413286,0.00485842302441597,0.006544562056660652
20,599,11,32,0.0028467760421335697,0.0230335034430027,0.07327793538570404
20,599,12,32,0.005278516560792923,0.047290269285440445,0.10706984996795654
20,599,13,64,0.2000799924135208,0.3377903997898102,1.8162941932678223
20,599,14,64,0.03840787336230278,0.1472143679857254,0.8688372373580933
20,599,15,64,0.025664392858743668,0.09197339415550232,0.7078297138214111
25,500,0,64,0.005280652083456516,0.1704341322183609,0.2525799572467804
25,500,1,64,0.10429853200912476,0.3842848837375641,0.8381813764572144
25,500,2,32,0.025480074808001518,0.15745234489440918,0.36117440462112427
25,500,3,32,0.032721348106861115,0.13323819637298584,0.4690038561820984
25,500,4,16,0.013557718135416508,0.04808386415243149,0.394435316324234
25,500,5,16,0.014629263430833817,0.04433860629796982,0.41756486892700195
25,500,6,8,0.06006745249032974,0.13911500573158264,1.2190041542053223
25,500,7,16,0.007122628390789032,0.02176567353308201,0.13028869032859802
25,500,8,16,0.005543362349271774,0.02058410458266735,0.08467823266983032
25,500,9,16,0.005164860747754574,0.018113061785697937,0.05859586223959923
25,500,10,32,0.0004635457880795002,0.005613370332866907,0.006637869402766228
25,500,11,32,0.0026304058264940977,0.02230946533381939,0.06972068548202515
25,500,12,32,0.004482405260205269,0.04272405058145523,0.09165343642234802
25,500,13,64,0.19794060289859772,0.3418792486190796,1.794724464416504
25,500,14,64,0.042001571506261826,0.13538981974124908,0.8739185333251953
25,500,15,64,0.025703951716423035,0.10195477306842804,0.7570734024047852
30,400,0,64,0.004568838980048895,0.15196123719215393,0.24184437096118927
30,400,1,64,0.10006462782621384,0.37145453691482544,0.7925443053245544
30,400,2,32,0.025323063135147095,0.1520034223794937,0.3356916308403015
30,400,3,32,0.02925274148583412,0.12297534197568893,0.45647624135017395
30,400,4,16,0.013458110392093658,0.05060982331633568,0.3864169120788574
30,400,5,16,0.013300216756761074,0.04282523691654205,0.38177716732025146
30,400,6,8,0.0599035918712616,0.15479332208633423,1.2190558910369873
30,400,7,16,0.0071177128702402115,0.022645335644483566,0.13090845942497253
30,400,8,16,0.005192780867218971,0.022724373266100883,0.08051317185163498
30,400,9,16,0.00446547195315361,0.015285921283066273,0.053176648914813995
