step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.025257347151637077,0.18839046359062195,0.502841591835022
0,999,1,64,0.05386839061975479,0.34826356172561646,0.8415358066558838
0,999,2,32,0.005815846845507622,0.05074383318424225,0.21361206471920013
0,999,3,32,0.033649325370788574,0.15465107560157776,0.49458664655685425
0,999,4,16,0.024954546242952347,0.06606418639421463,0.589766263961792
0,999,5,16,0.05923245847225189,0.1554877758026123,0.822191596031189
0,999,6,8,0.10337784886360168,0.19540178775787354,1.516657829284668
0,999,7,16,0.07591941207647324,0.18686942756175995,0.6653709411621094
0,999,8,16,0.018496915698051453,0.08812981098890305,0.20324495434761047
0,999,9,16,0.0184861458837986,0.08257368206977844,0.19867214560508728
0,999,10,32,0.0006238097557798028,0.01288867462426424,0.007250227965414524
0,999,11,32,0.0015179605688899755,0.011910232715308666,0.05370325595140457
0,999,12,32,0.00873128604143858,0.05777760595083237,0.2307186722755432
0,999,13,64,0.13401658833026886,0.2986140549182892,1.889829397201538
0,999,14,64,0.01688389666378498,0.12345408648252487,0.9419044852256775
0,999,15,64,0.01633061282336712,0.02559598907828331,0.6603960990905762
5,899,0,64,0.016803933307528496,0.16585667431354523,0.4302447736263275
5,899,1,64,0.05531925708055496,0.35876232385635376,0.818888783454895
5,899,2,32,0.006176348775625229,0.05270694941282272,0.20704595744609833
5,899,3,32,0.03799144923686981,0.17072072625160217,0.5131715536117554
5,899,4,16,0.020927589386701584,0.06691694259643555,0.5002644658088684
5,899,5,16,0.04667919874191284,0.1467602252960205,0.7197357416152954
5,899,6,8,0.09988081455230713,0.18096037209033966,1.4486463069915771
5,899,7,16,0.06201177090406418,0.19639167189598083,0.5351564288139343
5,899,8,16,0.016405655071139336,0.09163803607225418,0.1847861409187317
5,899,9,16,0.01543550007045269,0.05333903059363365,0.2031557857990265
5,899,10,32,0.000493652478326112,0.01867767982184887,0.006031050346791744
5,899,11,32,0.0009614975424483418,0.009515393525362015,0.03311626613140106
5,899,12,32,0.0062222229316830635,0.054097071290016174,0.1409585177898407
5,899,13,64,0.17088699340820312,0.29641878604888916,1.9735779762268066
5,899,14,64,0.022058960050344467,0.14406229555606842,0.8588497638702393
5,899,15,64,0.01890716329216957,0.035962432622909546,0.7450825572013855
10,799,0,64,0.009045945480465889,0.14545777440071106,0.32954341173171997
10,799,1,64,0.05769072100520134,0.3581552803516388,0.8087388277053833
10,799,2,32,0.006232293788343668,0.05209813266992569,0.2102728933095932
10,799,3,32,0.04653877392411232,0.17678165435791016,0.5434200763702393
10,799,4,16,0.018869133666157722,0.05879261717200279,0.4694570004940033
10,799,5,16,0.041167885065078735,0.14058589935302734,0.6509122252464294
10,799,6,8,0.09055313467979431,0.17479074001312256,1.3852207660675049
10,799,7,16,0.05150248110294342,0.1885991394519806,0.4251672625541687
10,799,8,16,0.011976458132266998,0.11854404211044312,0.14992162585258484
10,799,9,16,0.008623206987977028,0.029917461797595024,0.1329057216644287
10,799,10,32,0.0004078458296135068,0.015623661689460278,0.005188059061765671
10,799,11,32,0.0007681470597162843,0.00924980454146862,0.02651362493634224
10,799,12,32,0.004503798671066761,0.051902566105127335,0.11005400121212006
10,799,13,64,0.1880306899547577,0.3396122455596924,2.009664535522461
10,799,14,64,0.02884306199848652,0.15960729122161865,0.8880354166030884
10,799,15,64,0.020533589646220207,0.04722460359334946,0.8007783889770508
15,699,0,64,0.005159579683095217,0.1355513632297516,0.2404860109090805
15,699,1,64,0.05661868676543236,0.33681201934814453,0.7724837064743042
15,699,2,32,0.006466487422585487,0.064348503947258,0.2162473052740097
15,699,3,32,0.05081712454557419,0.1705056130886078,0.5547879338264465
15,699,4,16,0.017353184521198273,0.0515955425798893,0.45346134901046753
15,699,5,16,0.039426449686288834,0.13411293923854828,0.6147468686103821
15,699,6,8,0.08342362195253372,0.1707647740840912,1.3118828535079956
15,699,7,16,0.04005890712141991,0.17424224317073822,0.33434295654296875
15,699,8,16,0.009721515700221062,0.11937504261732101,0.12869280576705933
15,699,9,16,0.00538527499884367,0.016252338886260986,0.08821520209312439
15,699,10,32,0.0003964619245380163,0.012150764465332031,0.005199618637561798
15,699,11,32,0.0007083752425387502,0.0088061997666955,0.024269698187708855
15,699,12,32,0.003977195359766483,0.050140853971242905,0.09789881855249405
15,699,13,64,0.18665644526481628,0.3763180077075958,2.004629135131836
15,699,14,64,0.032770708203315735,0.16186285018920898,0.9154364466667175
15,699,15,64,0.0228225477039814,0.05645627900958061,0.8772869110107422
20,599,0,64,0.004364700056612492,0.13225305080413818,0.21120434999465942
20,599,1,64,0.05477719008922577,0.3031170964241028,0.7466821670532227
20,599,2,32,0.006506606470793486,0.0708453357219696,0.21223443746566772
20,599,3,32,0.05011982098221779,0.1671336591243744,0.5410909056663513
20,599,4,16,0.016362780705094337,0.047303423285484314,0.4491376578807831
20,599,5,16,0.03873854875564575,0.13592848181724548,0.5932968854904175
20,599,6,8,0.080112025141716,0.16610877215862274,1.2629516124725342
20,599,7,16,0.03141378238797188,0.16859006881713867,0.27489233016967773
20,599,8,16,0.008855114690959454,0.10324671864509583,0.1189800351858139
20,599,9,16,0.004148560576140881,0.015713104978203773,0.06901414692401886
20,599,10,32,0.00041302552563138306,0.011548391543328762,0.005482442211359739
20,599,11,32,0.0006832503713667393,0.008366060443222523,0.022973094135522842
20,599,12,32,0.0036273589357733727,0.04882895201444626,0.08984233438968658
20,599,13,64,0.18151411414146423,0.3779439628124237,1.9897100925445557
20,599,14,64,0.0361933670938015,0.16031286120414734,0.9378306865692139
20,599,15,64,0.02479446679353714,0.0880824625492096,0.9582232236862183
25,500,0,64,0.004490801133215427,0.1331537514925003,0.22249379754066467
25,500,1,64,0.05322428420186043,0.2849794626235962,0.7181403636932373
25,500,2,32,0.006205134093761444,0.0730200782418251,0.20011365413665771
25,500,3,32,0.04569777846336365,0.15991951525211334,0.5051330327987671
25,500,4,16,0.015903040766716003,0.04387804865837097,0.4511565566062927
25,500,5,16,0.03962882608175278,0.15143772959709167,0.5931203365325928
25,500,6,8,0.07646138966083527,0.15837574005126953,1.22981595993042
25,500,7,16,0.025053275749087334,0.17258580029010773,0.2389056384563446
25,500,8,16,0.008723253384232521,0.07557792216539383,0.11568523943424225
25,500,9,16,0.0036043808795511723,0.01821592077612877,0.06057218089699745
25,500,10,32,0.000428927771281451,0.013022670522332191,0.0057597411796450615
25,500,11,32,0.0006733040791004896,0.007871540263295174,0.022136595100164413
25,500,12,32,0.003358054906129837,0.04765081778168678,0.08440785109996796
25,500,13,64,0.17523017525672913,0.3734312653541565,1.9566949605941772
25,500,14,64,0.039484910666942596,0.1541171371936798,0.9619970321655273
25,500,15,64,0.025070922449231148,0.09764402359724045,1.017115592956543
30,400,0,64,0.005700668320059776,0.13363024592399597,0.2721160352230072
30,400,1,64,0.05157248303294182,0.27680203318595886,0.6784837245941162
30,400,2,32,0.005752583034336567,0.07588078081607819,0.18340972065925598
30,400,3,32,0.039321914315223694,0.170162633061409,0.45872169733047485
30,400,4,16,0.015573367476463318,0.04045119136571884,0.451423704624176
30,400,5,16,0.040728382766246796,0.17154593765735626,0.604492723941803
30,400,6,8,0.07197201251983643,0.1499679982662201,1.2031587362289429
30,400,7,16,0.02023792639374733,0.1761636584997177,0.21811550855636597
30,400,8,16,0.008698524907231331,0.05951409414410591,0.11268870532512665
30,400,9,16,0.00328180193901062,0.018667995929718018,0.05659539997577667
30,400,10,32,0.0004374026320874691,0.01390179991722107,0.005977422930300236
30,400,11,32,0.000666165491566062,0.009750844910740852,0.021489834412932396
