step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.01985280215740204,0.17702344059944153,0.4351786971092224
0,999,1,64,0.10484883189201355,0.38153934478759766,1.0358610153198242
0,999,2,32,0.03096788004040718,0.12641729414463043,0.504885196685791
0,999,3,32,0.03333857282996178,0.1382271945476532,0.37265920639038086
0,999,4,16,0.02271326258778572,0.05805978178977966,0.5928041934967041
0,999,5,16,0.02781207486987114,0.08621431887149811,0.6687394976615906
0,999,6,8,0.08199089765548706,0.1745358109474182,1.4406241178512573
0,999,7,16,0.021992875263094902,0.04292813315987587,0.489807665348053
0,999,8,16,0.019608817994594574,0.10054614394903183,0.2779669165611267
0,999,9,16,0.026537645608186722,0.12717314064502716,0.2763829827308655
0,999,10,32,0.0005337927723303437,0.0050892638973891735,0.007280375808477402
0,999,11,32,0.003655023407191038,0.02715471386909485,0.10446099936962128
0,999,12,32,0.013692949898540974,0.059231698513031006,0.30972927808761597
0,999,13,64,0.1356889009475708,0.2990936040878296,1.569409966468811
0,999,14,64,0.015474912710487843,0.09974521398544312,0.8387894034385681
0,999,15,64,0.018606847152113914,0.03870672732591629,0.5318214297294617
5,899,0,64,0.013719850219786167,0.16949701309204102,0.3868063986301422
5,899,1,64,0.10686136037111282,0.3970685601234436,0.9876848459243774
5,899,2,32,0.0359007827937603,0.1549554467201233,0.4731438159942627
5,899,3,32,0.03392363339662552,0.15459299087524414,0.3753224015235901
5,899,4,16,0.017390582710504532,0.048146381974220276,0.47792917490005493
5,899,5,16,0.03002569079399109,0.09002040326595306,0.6449977159500122
5,899,6,8,0.08142431080341339,0.17951911687850952,1.4143805503845215
5,899,7,16,0.020955711603164673,0.04315342381596565,0.43149805068969727
5,899,8,16,0.0171328354626894,0.09953823685646057,0.24048978090286255
5,899,9,16,0.023483727127313614,0.12046891450881958,0.24097953736782074
5,899,10,32,0.0005659529706463218,0.0068897404707968235,0.007766398601233959
5,899,11,32,0.0035826764069497585,0.03226034343242645,0.10144078731536865
5,899,12,32,0.011701875366270542,0.05715233087539673,0.24609822034835815
5,899,13,64,0.15058553218841553,0.3227308690547943,1.566640853881836
5,899,14,64,0.01953311823308468,0.10756677389144897,0.7942996025085449
5,899,15,64,0.019299086183309555,0.0380859300494194,0.5433365106582642
10,799,0,64,0.011317120864987373,0.1657286286354065,0.3605457544326782
10,799,1,64,0.10536913573741913,0.3936621844768524,0.9370871782302856
10,799,2,32,0.037055760622024536,0.16690798103809357,0.44346803426742554
10,799,3,32,0.0362706258893013,0.16144965589046478,0.3961901068687439
10,799,4,16,0.015129102393984795,0.04698427766561508,0.42310285568237305
10,799,5,16,0.027911631390452385,0.08328156173229218,0.6013994216918945
10,799,6,8,0.07955925911664963,0.1953982710838318,1.347397804260254
10,799,7,16,0.01877610944211483,0.036191362887620926,0.36259299516677856
10,799,8,16,0.013350049033761024,0.06304311752319336,0.1956459879875183
10,799,9,16,0.017743032425642014,0.08609682321548462,0.19534975290298462
10,799,10,32,0.0006590259145013988,0.0076542505994439125,0.009074157103896141
10,799,11,32,0.0031632832251489162,0.0267916452139616,0.09134997427463531
10,799,12,32,0.008965285494923592,0.055133089423179626,0.1775171458721161
10,799,13,64,0.1721968650817871,0.3266865313053131,1.657686710357666
10,799,14,64,0.025116803124547005,0.12320412695407867,0.8085808753967285
10,799,15,64,0.020243065431714058,0.04644559323787689,0.5564544200897217
15,699,0,64,0.010476400144398212,0.16239109635353088,0.34946510195732117
15,699,1,64,0.10357801616191864,0.38193851709365845,0.8905238509178162
15,699,2,32,0.03879981487989426,0.16168202459812164,0.4261639714241028
15,699,3,32,0.037583623081445694,0.1555495262145996,0.41711801290512085
15,699,4,16,0.013957234099507332,0.045554257929325104,0.39328503608703613
15,699,5,16,0.025225091725587845,0.07212875783443451,0.5558844804763794
15,699,6,8,0.08166182041168213,0.21498815715312958,1.3043248653411865
15,699,7,16,0.015836892649531364,0.03353201225399971,0.276689350605011
15,699,8,16,0.010396277531981468,0.04496753588318825,0.15416526794433594
15,699,9,16,0.01168217696249485,0.07213914394378662,0.12792018055915833
15,699,10,32,0.000720636104233563,0.008725987747311592,0.00997534953057766
15,699,11,32,0.002838472370058298,0.02743818238377571,0.08044074475765228
15,699,12,32,0.006093168165534735,0.05928387865424156,0.11915941536426544
15,699,13,64,0.18574963510036469,0.32370468974113464,1.7323522567749023
15,699,14,64,0.03230070695281029,0.12220555543899536,0.8623923063278198
15,699,15,64,0.021746480837464333,0.04949615150690079,0.5892130732536316
20,599,0,64,0.009731310419738293,0.15794120728969574,0.343426376581192
20,599,1,64,0.10274261236190796,0.3632737398147583,0.8620703220367432
20,599,2,32,0.04057776927947998,0.14431414008140564,0.41819655895233154
20,599,3,32,0.03452193737030029,0.15182730555534363,0.4169943332672119
20,599,4,16,0.01375378854572773,0.043475933372974396,0.38489195704460144
20,599,5,16,0.024155180901288986,0.07131096720695496,0.5232869386672974
20,599,6,8,0.08071663975715637,0.21573159098625183,1.2559149265289307
20,599,7,16,0.012848211452364922,0.03129103034734726,0.21544013917446136
20,599,8,16,0.008444891311228275,0.04446316510438919,0.12276870012283325
20,599,9,16,0.007425006479024887,0.06736713647842407,0.08198003470897675
20,599,10,32,0.0006671741721220315,0.020331138744950294,0.008884902112185955
20,599,11,32,0.0027426735032349825,0.02333148941397667,0.07569805532693863
20,599,12,32,0.0048971776850521564,0.05596306174993515,0.10205529630184174
20,599,13,64,0.18606071174144745,0.3318169116973877,1.7195316553115845
20,599,14,64,0.038743555545806885,0.13554614782333374,0.888857364654541
20,599,15,64,0.02385062910616398,0.07110394537448883,0.6459709405899048
25,500,0,64,0.008598443120718002,0.1517365723848343,0.3385070860385895
25,500,1,64,0.1014145091176033,0.35265451669692993,0.8288986682891846
25,500,2,32,0.04208745062351227,0.12827980518341064,0.409405916929245
25,500,3,32,0.03008168935775757,0.14115962386131287,0.4028528034687042
25,500,4,16,0.013862483203411102,0.039321281015872955,0.38363420963287354
25,500,5,16,0.023572543635964394,0.07149729132652283,0.49106332659721375
25,500,6,8,0.07695995271205902,0.20956966280937195,1.2065138816833496
25,500,7,16,0.010940752923488617,0.02896810695528984,0.1805770844221115
25,500,8,16,0.006788869388401508,0.029185723513364792,0.09677289426326752
25,500,9,16,0.005397414322942495,0.061293307691812515,0.060408398509025574
25,500,10,32,0.000567856477573514,0.010245276615023613,0.00771668367087841
25,500,11,32,0.0026150811463594437,0.021505206823349,0.0686129480600357
25,500,12,32,0.004376005847007036,0.05165976285934448,0.0931393951177597
25,500,13,64,0.18609610199928284,0.3492935001850128,1.7053935527801514
25,500,14,64,0.0426826998591423,0.14410904049873352,0.8875266909599304
25,500,15,64,0.025290420278906822,0.10603319108486176,0.7091520428657532
30,400,0,64,0.007498685736209154,0.14305166900157928,0.3390365540981293
30,400,1,64,0.09823860228061676,0.34372761845588684,0.7849549651145935
30,400,2,32,0.042928848415613174,0.1295737773180008,0.3948478102684021
30,400,3,32,0.026102926582098007,0.1221156120300293,0.38742467761039734
30,400,4,16,0.013968050479888916,0.03744060918688774,0.37879762053489685
30,400,5,16,0.021950215101242065,0.061693452298641205,0.4518592059612274
30,400,6,8,0.0714821070432663,0.20879459381103516,1.1378803253173828
30,400,7,16,0.00953004602342844,0.029524538666009903,0.15674331784248352
30,400,8,16,0.005611765198409557,0.020213082432746887,0.0783824771642685
30,400,9,16,0.004046413116157055,0.05527007579803467,0.04613429307937622
30,400,10,32,0.0005060519324615598,0.003105257637798786,0.007135697640478611
30,400,11,32,0.0025158454664051533,0.024849597364664078,0.06330198049545288
30,400,12,32,0.004187026061117649,0.042829908430576324,0.0878082662820816
30,400,13,64,0.18297608196735382,0.345392644405365,1.67734956741333
30,400,14,64,0.04528069868683815,0.16560892760753632,0.8800424337387085
30,400,15,64,0.025647848844528198,0.14478078484535217,0.7696138620376587
35,300,0,64,0.006785387173295021,0.130153089761734,0.3448544144630432
35,300,1,64,0.09261460602283478,0.3267824053764343,0.739700436592102
35,300,2,32,0.04297877848148346,0.1311061680316925,0.3757101893424988
35,300,3,32,0.02370707131922245,0.10374060273170471,0.3772534132003784
35,300,4,16,0.01395958848297596,0.0377373993396759,0.36775916814804077
35,300,5,16,0.019852645695209503,0.05754811689257622,0.4179825782775879
35,300,6,8,0.0653422474861145,0.19732770323753357,1.0568408966064453
35,300,7,16,0.008445754647254944,0.030175311490893364,0.1379268318414688
35,300,8,16,0.0049544875510036945,0.02129688858985901,0.06818700581789017
35,300,9,16,0.0033739579375833273,0.048362553119659424,0.03867887705564499
35,300,10,32,0.0004854955477640033,0.0025605610571801662,0.007002593018114567
35,300,11,32,0.0023841536603868008,0.03538377583026886,0.05848543345928192
35,300,12,32,0.004192946013063192,0.0326111726462841,0.08468122780323029
35,300,13,64,0.18077072501182556,0.34241926670074463,1.6589220762252808
35,300,14,64,0.04665380343794823,0.18159489333629608,0.8708559274673462
35,300,15,64,0.025509066879749298,0.18035583198070526,0.827745795249939
40,200,0,64,0.006299604196101427,0.11500509083271027,0.3527700901031494
40,200,1,64,0.08469663560390472,0.3038497865200043,0.694786787033081
40,200,2,32,0.041421953588724136,0.12793302536010742,0.3494302034378052
40,200,3,32,0.021463563665747643,0.08463984727859497,0.3622564375400543
40,200,4,16,0.013724999502301216,0.036702290177345276,0.35048606991767883
40,200,5,16,0.018844695761799812,0.06054467707872391,0.3994205594062805
40,200,6,8,0.06219768151640892,0.190546914935112,1.0026559829711914
40,200,7,16,0.007801833096891642,0.031311504542827606,0.12546765804290771
40,200,8,16,0.004604807123541832,0.021160416305065155,0.06232209503650665
40,200,9,16,0.0030826409347355366,0.03489259257912636,0.03578417748212814
40,200,10,32,0.00047372671542689204,0.0026875180192291737,0.006834596861153841
40,200,11,32,0.0022667935118079185,0.039717115461826324,0.05454634875059128
40,200,12,32,0.004307053051888943,0.0348530113697052,0.0824563056230545
40,200,13,64,0.18003402650356293,0.33649587631225586,1.6462047100067139
40,200,14,64,0.046436287462711334,0.18545162677764893,0.856612503528595
40,200,15,64,0.02528752014040947,0.15083375573158264,0.8793513774871826
45,100,0,64,0.0058662667870521545,0.09445410966873169,0.36201027035713196
45,100,1,64,0.07334589958190918,0.2795674502849579,0.6361054182052612
45,100,2,32,0.03678096830844879,0.12035870552062988,0.3057754635810852
45,100,3,32,0.017583541572093964,0.08103415369987488,0.3301922380924225
45,100,4,16,0.013053498230874538,0.03603097051382065,0.3207629323005676
45,100,5,16,0.01818370632827282,0.0577816367149353,0.3821834325790405
45,100,6,8,0.06246717646718025,0.19447550177574158,0.9872944355010986
45,100,7,16,0.007602095138281584,0.03368274122476578,0.11895937472581863
45,100,8,16,0.00448174774646759,0.022523188963532448,0.059003524482250214
45,100,9,16,0.002835595514625311,0.019507430493831635,0.034141864627599716
45,100,10,32,0.0005093134241178632,0.004893496632575989,0.007275942247360945
45,100,11,32,0.002042913343757391,0.03578533977270126,0.04982674494385719
45,100,12,32,0.004451836459338665,0.03167632967233658,0.08155900239944458
45,100,13,64,0.17900176346302032,0.33628368377685547,1.6267842054367065
45,100,14,64,0.04383917897939682,0.173414945602417,0.8264018893241882
45,100,15,64,0.024993445724248886,0.16354559361934662,0.9079516530036926
49,20,0,64,0.005941746756434441,0.08878043293952942,0.37979432940483093
49,20,1,64,0.05765201151371002,0.2874847650527954,0.5354218482971191
49,20,2,32,0.024193957448005676,0.09218034148216248,0.2192750722169876
49,20,3,32,0.01202832255512476,0.07283666729927063,0.2696962356567383
49,20,4,16,0.011782845482230186,0.032191190868616104,0.274453729391098
49,20,5,16,0.016337480396032333,0.04646172374486923,0.3447144031524658
49,20,6,8,0.0612458810210228,0.19150274991989136,1.000457763671875
49,20,7,16,0.00734585290774703,0.03764863312244415,0.11012110114097595
49,20,8,16,0.00469276774674654,0.024554898962378502,0.05839410796761513
49,20,9,16,0.002982152160257101,0.011512387543916702,0.0357583686709404
49,20,10,32,0.0005409867153503001,0.0052747903391718864,0.0075114015489816666
49,20,11,32,0.0017235167324543,0.023417353630065918,0.0438687726855278
49,20,12,32,0.004666351247578859,0.03479933738708496,0.08288603276014328
49,20,13,64,0.17623430490493774,0.33811867237091064,1.5828115940093994
49,20,14,64,0.03755289688706398,0.1607724130153656,0.75173020362854
49,20,15,64,0.024185169488191605,0.12828442454338074,0.9059340953826904
