step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,999,0,64,0.019534217193722725,0.19944699108600616,0.4640820026397705
0,999,1,64,0.09874608367681503,0.3603129982948303,1.0192687511444092
0,999,2,32,0.027606014162302017,0.15335869789123535,0.5446449518203735
0,999,3,32,0.028638508170843124,0.11049993336200714,0.3743489980697632
0,999,4,16,0.0242956280708313,0.0684272050857544,0.6225199103355408
0,999,5,16,0.03310514986515045,0.146771639585495,0.6512094736099243
0,999,6,8,0.08145856857299805,0.19339171051979065,1.5066272020339966
0,999,7,16,0.020282141864299774,0.04784533381462097,0.40924468636512756
0,999,8,16,0.013929322361946106,0.060001276433467865,0.19839107990264893
0,999,9,16,0.021165544167160988,0.11405690759420395,0.19519785046577454
0,999,10,32,0.0006298665539361537,0.01309783011674881,0.008315665647387505
0,999,11,32,0.002937353914603591,0.03906906396150589,0.08038244396448135
0,999,12,32,0.015194550156593323,0.060900572687387466,0.31426095962524414
0,999,13,64,0.1412367820739746,0.34468260407447815,1.5327481031417847
0,999,14,64,0.015021836385130882,0.10601460933685303,0.7997317314147949
0,999,15,64,0.01930292695760727,0.03523794189095497,0.5191208124160767
5,899,0,64,0.013706022873520851,0.17956894636154175,0.4169551134109497
5,899,1,64,0.10365436226129532,0.3754154443740845,1.0067548751831055
5,899,2,32,0.029621697962284088,0.16000336408615112,0.5184638500213623
5,899,3,32,0.029574237763881683,0.13086432218551636,0.39164796471595764
5,899,4,16,0.018949642777442932,0.06280557811260223,0.5165510773658752
5,899,5,16,0.030790025368332863,0.1319316029548645,0.6103352904319763
5,899,6,8,0.08044445514678955,0.19055646657943726,1.4856165647506714
5,899,7,16,0.016999730840325356,0.03670157119631767,0.33716440200805664
5,899,8,16,0.011122186668217182,0.041863370686769485,0.163273885846138
5,899,9,16,0.018952583894133568,0.08931076526641846,0.17201018333435059
5,899,10,32,0.0006853665690869093,0.02090446464717388,0.009140502661466599
5,899,11,32,0.0027506030164659023,0.035885635763406754,0.07890024781227112
5,899,12,32,0.013871083967387676,0.07676387578248978,0.25541606545448303
5,899,13,64,0.16936275362968445,0.382752001285553,1.5995547771453857
5,899,14,64,0.01815682090818882,0.1209857165813446,0.7466149926185608
5,899,15,64,0.020211320370435715,0.04178500920534134,0.5261086225509644
10,799,0,64,0.010934973135590553,0.1570855975151062,0.3765774667263031
10,799,1,64,0.10435928404331207,0.372256875038147,0.9778302907943726
10,799,2,32,0.02771516516804695,0.16115084290504456,0.4906981587409973
10,799,3,32,0.03150567412376404,0.1323535442352295,0.4145798087120056
10,799,4,16,0.0165446437895298,0.05906122922897339,0.465401828289032
10,799,5,16,0.024928497150540352,0.08887048065662384,0.5497769117355347
