image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_158070,phase,instruct-pix2pix,turn the color of playing card to red,,1.3,False,100,7.5,1.5,20260812,False,0.16632,0.96153,29.416,0.56233,0.06041,0.18736,0.76265,22.076,0.45613,0.11797,0.4467,0.03382,123.1
task_attr_mod_color_42929,phase,instruct-pix2pix,turn the color of golden shield to gray,,1.3,False,100,7.5,1.5,20260812,False,0.12555,0.98202,36.152,0.58539,0.05324,0.15316,0.89475,24.833,0.38688,0.11457,0.39143,0.01557,124.3
task_env_weather_116980,phase,instruct-pix2pix,transform the setting to a foggy atmosphere,,1.3,False,100,7.5,1.5,20260812,False,0.30024,0.93271,28.818,0.48465,0.05562,0.48237,0.60368,14.427,0.38142,0.37381,0.3863,0.03623,124.8
task_env_weather_195273,phase,instruct-pix2pix,transform the setting to fall with colorful leaves,,1.3,False,100,7.5,1.5,20260812,False,0.11351,0.95542,25.427,0.53023,0.07143,0.40731,0.59008,13.082,0.24437,0.20417,0.64441,0.05353,124.4
task_env_weather_85610,phase,instruct-pix2pix,change the setting to a cloudy day,,1.3,False,100,7.5,1.5,20260812,False,0.13473,0.95997,29.694,0.5294,0.05885,0.45661,0.58494,15.532,0.33378,0.42218,0.43955,0.03276,125.0
task_obj_add_362298,phase,instruct-pix2pix,Add sweaty torso,,1.3,False,100,7.5,1.5,20260812,False,0.1414,0.96825,33.07,0.66241,0.03998,0.16357,0.90144,27.27,0.5151,0.08899,0.4549,0.02221,124.8
task_obj_add_584511,phase,instruct-pix2pix,Add dog,,1.3,False,100,7.5,1.5,20260812,False,0.2492,0.95482,33.614,0.61321,0.05193,0.23696,0.8373,25.943,0.44806,0.12406,0.20705,0.02086,124.3
task_obj_remove_157386,phase,instruct-pix2pix,Remove flowers,,1.3,False,100,7.5,1.5,20260812,False,0.21144,0.9415,28.771,0.46511,0.07636,0.30666,0.7925,20.413,0.35626,0.19099,0.42958,0.03643,125.0
task_obj_remove_388764,phase,instruct-pix2pix,Remove green chair,,1.3,False,100,7.5,1.5,20260812,False,0.13456,0.97567,31.882,0.70822,0.06691,0.26702,0.84545,25.869,0.53115,0.18276,0.45975,0.02546,125.0
task_obj_remove_720199,phase,instruct-pix2pix,Remove yellow machine,,1.3,False,100,7.5,1.5,20260812,False,0.19907,0.96218,33.144,0.56466,0.07001,0.2592,0.83015,23.679,0.38623,0.14677,0.31006,0.02202,124.7
task_obj_swap_joint_mask_671429,phase,instruct-pix2pix,Replace the astronaut with man,,1.3,False,100,7.5,1.5,20260812,False,0.28315,0.9133,25.54,0.42303,0.07597,0.38491,0.57433,18.019,0.2273,0.18765,0.49977,0.05284,124.7
task_obj_swap_rand_mask_315182,phase,instruct-pix2pix,Replace the red leather jacket with black blazer,,1.3,False,100,7.5,1.5,20260812,False,0.1836,0.96959,34.774,0.66383,0.02855,0.30552,0.61092,17.137,0.31346,0.15643,0.24631,0.01825,122.1
