image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46429,0.85141,29.207,0.48131,0.05395,0.49141,0.64159,14.167,0.25987,0.27579,0.25275,0.03465,0.84999,0.87237,False,0.837,190.9
task_attr_mod_color_136767,dct_shield,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42371,0.84909,29.695,0.51526,0.05781,0.63197,0.27681,7.465,0.0278,0.42457,0.25982,0.03275,0.8142,0.84013,False,0.837,182.0
task_attr_mod_color_184837,dct_shield,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34447,0.92709,28.99,0.58953,0.03398,0.50622,0.53653,16.844,0.27581,0.2839,0.30798,0.03552,0.93737,0.89493,False,0.837,182.5
task_attr_mod_color_32648,dct_shield,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58569,0.73441,30.537,0.22613,0.10811,0.60307,0.41842,10.698,0.08077,0.37988,0.23185,0.02973,0.7853,0.73484,True,0.837,182.4
task_attr_mod_color_6205,dct_shield,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5002,0.84296,29.432,0.46808,0.05955,0.75463,0.1919,6.481,0.23944,0.74185,0.31676,0.03376,0.54541,0.46223,True,0.837,183.7
task_env_weather_112463,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5571,0.8665,29.446,0.49759,0.04762,0.85887,0.34988,10.428,0.22802,0.37009,0.26902,0.0337,0.56744,0.59151,True,0.837,182.7
task_env_weather_246440,dct_shield,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25945,0.93033,28.244,0.60476,0.01793,0.47604,0.43473,16.099,0.14213,0.25459,0.29496,0.03871,0.93389,0.8818,False,0.837,182.5
task_env_weather_63722,dct_shield,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45875,0.86899,29.596,0.50991,0.04951,0.5673,0.54863,14.064,0.13199,0.35557,0.27693,0.03313,0.76353,0.78136,True,0.837,182.5
task_obj_add_40931,dct_shield,instruct-pix2pix,Add the blood on snout,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42582,0.91842,29.654,0.58721,0.059,0.58312,0.40654,15.83,0.2751,0.36754,0.23509,0.03291,0.84138,0.71165,True,0.837,182.5
task_obj_remove_380621,dct_shield,instruct-pix2pix,Remove iceberg,,1.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51338,0.87091,29.58,0.51059,0.09086,0.72642,0.23872,8.002,0.04679,0.38473,0.23757,0.03319,0.7331,0.70783,True,0.837,182.5
