image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.88928,0.81896,0.88283,0.040854,0.044362,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44411,0.92973,27.06,0.32817,0.10648,0.37003,0.75639,20.215,0.23629,0.18348,0.36514,0.04436,0.91737,0.89849,False,0.837,410.7
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.88446,0.83383,0.87761,0.040067,0.0425,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41227,0.91014,27.432,0.34062,0.09027,0.40284,0.65379,19.868,0.23854,0.22466,0.33115,0.0425,0.96603,0.94496,False,0.837,400.5
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.94042,0.88281,0.93673,0.050579,0.05388,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37775,0.95033,25.371,0.37555,0.07412,0.44278,0.62468,17.745,0.23814,0.26168,0.33917,0.05388,0.96585,0.91027,False,0.837,400.5
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.77768,0.76242,0.77809,0.032577,0.033229,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57918,0.89866,29.57,0.1367,0.15909,0.44917,0.588,16.012,0.20704,0.24853,0.38175,0.03323,0.89618,0.93349,False,0.837,400.6
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.84031,0.77478,0.83308,0.036729,0.039836,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45568,0.92694,27.995,0.3253,0.12249,0.47449,0.66059,13.527,0.30947,0.24203,0.38946,0.03984,0.90513,0.8803,False,0.837,400.6
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.85108,0.77798,0.84569,0.037526,0.041052,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55487,0.94301,27.733,0.33665,0.06481,0.3544,0.61083,17.604,0.32511,0.17279,0.30057,0.04105,0.88113,0.88345,False,0.837,402.2
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.90021,0.83417,0.8897,0.041273,0.04454,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5095,0.94001,27.025,0.33802,0.11262,0.45687,0.57475,16.203,0.23475,0.26008,0.38501,0.04454,0.89001,0.84262,False,0.837,403.7
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.94234,0.87597,0.92081,0.045708,0.049171,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42165,0.86401,26.166,0.29908,0.0907,0.39757,0.76873,17.076,0.11737,0.22513,0.37735,0.04917,0.91308,0.93454,False,0.837,400.1
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.93315,0.85632,0.92537,0.046505,0.050677,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40074,0.94124,25.904,0.35413,0.06992,0.53222,0.42885,14.783,0.11427,0.27399,0.35651,0.05068,0.89816,0.78859,True,0.837,400.7
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,95 75 50,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.89669,0.82625,0.88767,0.042033,0.045616,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44132,0.90482,26.818,0.3152,0.07807,0.4688,0.58853,16.92,0.22458,0.26474,0.4266,0.04562,0.8892,0.87203,False,0.837,400.7
