image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.05803,0.98156,32.036,0.63912,0.0425,0.09177,0.94304,25.609,0.4876,0.05111,0.31563,0.02501,36.3
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.11302,0.95232,29.817,0.5449,0.07025,0.16084,0.88734,23.362,0.3897,0.0949,0.298,0.0323,36.8
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.07754,0.96334,26.622,0.53351,0.03975,0.15555,0.82713,20.156,0.36074,0.11945,0.44807,0.04665,37.0
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.10918,0.98961,42.394,0.71984,0.06636,0.11753,0.96662,35.448,0.63629,0.07659,0.13103,0.00759,37.0
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.06324,0.96962,32.309,0.65995,0.06816,0.09806,0.92418,26.288,0.54955,0.08093,0.29819,0.02424,37.2
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.1303,0.9489,30.826,0.54668,0.06607,0.20293,0.8132,23.207,0.3183,0.09288,0.27421,0.02875,37.2
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.08498,0.95256,31.184,0.55651,0.04843,0.14214,0.90058,27.257,0.37973,0.05629,0.24015,0.02759,37.2
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.11848,0.94067,30.743,0.51018,0.07378,0.16947,0.87596,26.15,0.4328,0.10826,0.25382,0.02903,37.3
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.10318,0.96128,25.697,0.53815,0.03689,0.2572,0.725,19.305,0.25268,0.10226,0.49087,0.0519,37.1
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.07841,0.97997,29.731,0.60216,0.04216,0.12164,0.92039,24.325,0.38718,0.05281,0.36149,0.03262,37.2
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.10167,0.96476,29.185,0.56279,0.05981,0.19831,0.82349,22.654,0.25889,0.08865,0.35974,0.03473,37.2
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.05909,0.97985,32.671,0.68453,0.05757,0.13093,0.89752,19.471,0.5149,0.08715,0.2948,0.02325,37.2
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.16929,0.958,30.242,0.59149,0.04774,0.21633,0.8249,22.025,0.36689,0.10459,0.26324,0.03075,37.3
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0905,0.95468,33.45,0.60331,0.07701,0.12459,0.9131,30.083,0.521,0.07536,0.27888,0.02126,37.3
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.05809,0.97705,30.161,0.69402,0.03145,0.10122,0.92801,24.883,0.53544,0.03671,0.33541,0.03104,37.2
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.15435,0.96379,28.538,0.61359,0.05152,0.36278,0.52126,13.937,0.10662,0.22583,0.38813,0.03742,37.3
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.14929,0.95976,33.768,0.62872,0.0809,0.19587,0.90978,28.993,0.4169,0.08732,0.24271,0.02049,37.3
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.14291,0.9675,32.405,0.63649,0.08543,0.21032,0.83326,22.529,0.37342,0.08946,0.40475,0.02398,37.2
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.10984,0.94054,26.913,0.52824,0.04787,0.15944,0.84407,22.725,0.34905,0.05865,0.45667,0.04512,37.2
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.08485,0.96915,36.104,0.69777,0.06051,0.2645,0.83571,21.852,0.58069,0.18333,0.15761,0.01566,37.3
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.28267,0.95161,30.588,0.48625,0.07496,0.16933,0.81781,21.72,0.2951,0.19374,0.29761,0.02955,37.1
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.45,False,0.0,0.06,100,7.5,1.5,20260812,False,0.10178,0.95502,28.752,0.55359,0.03644,0.19626,0.81535,21.271,0.34802,0.09958,0.4106,0.03651,37.3
