image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.08462,0.97535,30.174,0.60742,0.03381,0.11482,0.92472,23.726,0.46049,0.05605,0.47795,0.03099,37.7
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.12101,0.95861,30.281,0.55477,0.06191,0.1483,0.89479,25.661,0.40765,0.08535,0.44121,0.03061,37.5
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.1093,0.94082,25.479,0.48401,0.05842,0.21883,0.78041,19.192,0.32096,0.15088,0.47109,0.05322,37.6
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.06627,0.99191,41.508,0.7313,0.03099,0.10636,0.93804,23.216,0.70478,0.1006,0.19257,0.00841,37.7
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.07989,0.97189,33.091,0.65413,0.06621,0.0938,0.94561,29.412,0.55377,0.0632,0.37103,0.02215,37.9
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.11161,0.963,32.721,0.62766,0.03126,0.19851,0.84272,23.635,0.37079,0.08501,0.30014,0.02312,38.0
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.0715,0.97719,34.195,0.6676,0.02345,0.12004,0.92496,28.418,0.44968,0.03244,0.29518,0.01951,37.9
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.1358,0.95629,33.4,0.61339,0.03293,0.16223,0.88427,25.899,0.53717,0.07239,0.19383,0.02138,38.0
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.16043,0.93231,23.23,0.48206,0.05306,0.30688,0.65936,18.418,0.22061,0.13304,0.89058,0.06894,37.7
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.1059,0.96651,28.332,0.53802,0.05524,0.14235,0.89555,23.007,0.35603,0.07633,0.50183,0.03832,37.7
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.12762,0.94967,28.811,0.50938,0.06029,0.22094,0.78717,22.007,0.24079,0.09584,0.46679,0.03626,37.7
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.08526,0.97438,31.782,0.64555,0.05027,0.17794,0.87086,18.07,0.47993,0.1082,0.40949,0.02576,37.7
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.20926,0.94206,28.443,0.51822,0.05327,0.25495,0.80756,21.834,0.31826,0.12001,0.35606,0.03783,37.7
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.05953,0.98066,37.703,0.75268,0.03246,0.09202,0.9398,32.018,0.62641,0.0501,0.33215,0.01303,37.8
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,curriculum,100,7.5,1.5,20260812,False,0.09083,0.96646,29.202,0.66232,0.03872,0.13726,0.89702,23.891,0.49886,0.0467,0.47345,0.03467,37.7
