image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.08152,0.97804,30.608,0.62528,0.02825,0.11389,0.92429,23.925,0.47311,0.05325,0.42559,0.02948,38.1
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.13937,0.96232,30.633,0.56878,0.05712,0.17744,0.87877,23.287,0.39449,0.09624,0.36501,0.0294,38.6
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.13467,0.94447,25.745,0.49102,0.05243,0.24777,0.75792,18.631,0.32241,0.17234,0.49034,0.05161,39.0
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.11727,0.99241,42.042,0.74288,0.03087,0.10719,0.93702,26.849,0.70146,0.08268,0.17256,0.0079,39.3
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.08871,0.97384,33.463,0.66663,0.05982,0.11531,0.91257,25.416,0.55273,0.08402,0.39608,0.02122,39.6
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.14387,0.96548,32.926,0.63708,0.02713,0.25697,0.79758,21.391,0.32919,0.11355,0.31587,0.02258,39.8
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.12561,0.97803,34.391,0.66951,0.02495,0.16187,0.91885,28.069,0.43772,0.0383,0.2742,0.01907,39.7
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.17258,0.95756,33.524,0.6188,0.03671,0.5729,0.70542,14.971,0.32777,0.3335,0.18817,0.02108,39.6
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.18762,0.93347,23.314,0.48432,0.05479,0.32658,0.63221,18.077,0.20945,0.14764,0.66649,0.06828,39.4
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.13425,0.96954,28.777,0.54984,0.04567,0.16425,0.89249,23.145,0.35404,0.06447,0.37509,0.0364,39.4
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.17387,0.95304,29.133,0.51872,0.07065,0.26393,0.77883,21.89,0.22711,0.10161,0.38593,0.03494,39.3
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.09351,0.97757,32.295,0.66291,0.03622,0.17791,0.87015,18.069,0.48079,0.11191,0.31899,0.02428,39.3
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.27727,0.94375,28.669,0.52333,0.05623,0.28107,0.75332,20.976,0.31343,0.12651,0.34379,0.03686,39.3
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.08915,0.98264,37.964,0.76365,0.02834,0.11239,0.93225,30.976,0.63268,0.06047,0.29318,0.01264,39.2
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.10961,0.96716,29.299,0.66371,0.0389,0.15778,0.89189,23.751,0.48747,0.05372,0.40154,0.03428,39.1
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.2272,0.95449,27.54,0.58604,0.04095,0.40616,0.47291,13.522,0.09191,0.23407,0.49579,0.04198,39.0
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.134,0.98109,35.924,0.72079,0.03381,0.15599,0.92169,28.793,0.47436,0.054,0.29721,0.01599,39.2
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.18454,0.96772,30.736,0.64883,0.05804,0.24546,0.80416,21.373,0.39407,0.11708,0.4534,0.02905,39.1
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.17528,0.94865,28.165,0.52326,0.04607,0.20638,0.82039,22.567,0.34232,0.06673,0.38413,0.03906,39.1
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.06791,0.98741,39.676,0.82307,0.02964,0.23433,0.84045,21.333,0.68126,0.15687,0.14722,0.01038,39.2
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.36303,0.91273,28.143,0.36919,0.0793,0.14618,0.82005,22.548,0.31464,0.17941,0.36682,0.03916,39.0
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.18015,0.94608,27.478,0.51516,0.05289,0.22827,0.78865,20.467,0.32907,0.11624,0.53138,0.04228,39.1
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.22029,0.9682,35.202,0.59276,0.05502,0.29397,0.80037,19.043,0.32914,0.18789,0.29566,0.01737,39.1
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.29403,0.91821,28.18,0.46042,0.09777,0.42636,0.63247,19.067,0.21544,0.1744,0.56662,0.03899,39.1
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.0,False,0.0,0.12,0,32,encoder_target,0.0,eot_ops,100,7.5,1.5,20260812,False,0.15285,0.95676,30.474,0.56383,0.03619,0.18554,0.82515,23.181,0.38586,0.07627,0.53165,0.02994,39.3
