image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19659,0.92983,25.22,0.45948,0.10642,0.30116,0.75132,19.243,0.31662,0.2113,0.7372,0.05483,36.3
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.28413,0.89944,25.569,0.39727,0.18062,0.37632,0.69929,18.983,0.25648,0.2703,0.62174,0.05267,36.1
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35454,0.81582,20.67,0.34067,0.22129,0.48603,0.48938,15.876,0.2307,0.31141,0.6162,0.09258,36.2
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23182,0.97975,37.703,0.55502,0.0648,0.23845,0.80661,19.616,0.49718,0.20626,0.4033,0.01303,36.2
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21013,0.92876,28.274,0.50041,0.1508,0.40445,0.63342,11.291,0.35465,0.26386,0.56294,0.03857,36.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2647,0.9054,28.519,0.51164,0.07665,0.34575,0.64963,19.107,0.27746,0.15185,0.46058,0.0375,36.4
task_env_weather_133752,phase_gain,instruct-pix2pix,transform the setting to a rainy day,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29195,0.93031,29.46,0.49104,0.08212,0.34455,0.81109,23.14,0.30373,0.16397,0.48551,0.03365,36.3
task_env_weather_181583,phase_gain,instruct-pix2pix,change the setting to a stormy day,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29785,0.87853,29.102,0.47526,0.10735,0.64308,0.60624,13.738,0.42313,0.37453,0.35142,0.03507,36.4
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30686,0.8062,18.73,0.33816,0.15688,0.47923,0.42969,15.994,0.14149,0.26632,0.97647,0.11574,36.2
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,100,latent_norm,0.25,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25117,0.89978,23.578,0.3925,0.13624,0.35217,0.70296,18.305,0.23072,0.22993,0.67004,0.06624,36.3
