image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34713,0.94887,24.362,0.42911,0.09381,0.47709,0.64061,13.464,0.23808,0.26957,0.97255,0.06052,0.85093,0.81209,True,0.837,183.6
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40409,0.91246,24.351,0.36351,0.16915,0.57137,0.41752,9.924,0.17668,0.30166,0.99216,0.0606,0.84792,0.83116,True,0.837,174.5
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46034,0.89021,20.732,0.32932,0.21112,0.70803,0.32318,10.166,0.18663,0.35967,0.7487,0.09192,0.86056,0.84897,False,0.837,173.9
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44505,0.96865,32.752,0.35972,0.08991,0.34386,0.68294,14.802,0.55256,0.23693,0.72223,0.02304,0.95348,0.93888,False,0.837,173.9
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34695,0.94527,27.271,0.4741,0.12974,0.5175,0.53928,10.968,0.37616,0.29467,0.95807,0.0433,0.87054,0.82459,True,0.837,173.9
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44703,0.94591,29.096,0.48969,0.06552,0.80702,0.42804,11.437,0.20295,0.34139,0.70989,0.03509,0.61505,0.57951,True,0.837,173.9
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43353,0.82576,18.546,0.26448,0.14476,0.62074,0.25109,13.715,0.13365,0.35885,1.0,0.11823,0.87821,0.83775,False,0.837,173.8
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41239,0.93556,23.557,0.36685,0.11118,0.5104,0.57599,15.033,0.19903,0.29565,0.82253,0.0664,0.86729,0.80741,True,0.837,174.0
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48941,0.894,24.029,0.35776,0.1565,0.55642,0.37594,15.308,0.22297,0.38552,0.71161,0.06289,0.88641,0.72011,True,0.837,173.9
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40337,0.92165,24.207,0.47014,0.10533,0.68902,0.30341,8.102,0.09258,0.36672,0.96471,0.06161,0.7237,0.7028,True,0.837,174.0
