image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield,instruct-pix2pix,turn the color of potted plant to pink,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52269,0.78294,26.729,0.41125,0.07488,0.61688,0.47294,9.92,0.12869,0.33954,0.4064,0.04608,0.77518,0.69117,True,0.837,397.4
task_attr_mod_color_136767,dct_shield,instruct-pix2pix,turn the color of astronaut to pink,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47716,0.77511,27.18,0.44269,0.07804,0.63069,0.25932,7.133,0.02159,0.43751,0.30669,0.04375,0.73643,0.83255,True,0.837,388.7
task_attr_mod_color_184837,dct_shield,instruct-pix2pix,turn the color of frame to pink,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42069,0.89049,26.573,0.52378,0.05011,0.74964,0.15691,7.655,0.17264,0.50243,0.34241,0.04692,0.71061,0.73806,True,0.837,388.5
task_attr_mod_color_32648,dct_shield,instruct-pix2pix,turn the color of potion bottle to orange,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.62601,0.62948,28.114,0.17668,0.15132,0.60295,0.42378,10.697,0.07614,0.38463,0.29407,0.03929,0.79843,0.7326,True,0.837,389.2
task_attr_mod_color_6205,dct_shield,instruct-pix2pix,turn the color of toolbox to red,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55468,0.76688,26.934,0.39363,0.08594,0.73478,0.19463,6.502,0.33672,0.78194,0.36894,0.04501,0.5436,0.47588,True,0.837,389.6
task_env_weather_112463,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.6033,0.79398,26.834,0.41951,0.06944,0.8761,0.31431,10.224,0.17906,0.38957,0.33441,0.04553,0.55903,0.58055,True,0.837,388.4
task_obj_remove_380621,dct_shield,instruct-pix2pix,Remove iceberg,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56335,0.80288,27.038,0.435,0.12625,0.73373,0.23345,7.994,0.03935,0.38907,0.29604,0.04447,0.73025,0.71478,True,0.837,389.3
task_obj_swap_joint_mask_276754,dct_shield,instruct-pix2pix,Replace the satellite dish with rocket,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46182,0.7646,26.979,0.43986,0.08592,0.68395,0.45885,11.911,0.013,0.40153,0.3618,0.04478,0.90299,0.89024,False,0.837,388.8
task_obj_swap_joint_mask_533428,dct_shield,instruct-pix2pix,Replace the samurai armor with red jacket,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45009,0.84662,26.691,0.49557,0.05442,0.65053,0.24556,9.25,0.05708,0.27841,0.36709,0.04629,0.65863,0.61494,True,0.837,388.4
task_obj_swap_rand_mask_417469,dct_shield,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.4,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50507,0.77059,26.898,0.42307,0.06012,0.74587,0.21954,10.083,0.07359,0.37974,0.35422,0.0452,0.32886,0.50307,True,0.837,360.3
