tag,label,n,edit_lpips,edit_dists,edit_psnr,edit_ssim,edit_vif_p,edit_clip_sim,edit_siglip_sim,siglip_blocked
ours_ph_q,本方法 純相位 ＋量化 r0.9,10,0.46154,0.24826,16.364,0.60549,0.22222,0.91548,0.88427,2/10
ours_pg_q,本方法 相位+增益 ＋量化 r0.9,10,0.51137,0.28112,15.2644,0.5507,0.19682,0.88368,0.84363,4/10
ours_ph_q20,本方法 純相位 ＋量化 r=pi,10,0.64078,0.37472,10.9032,0.38217,0.14493,0.72908,0.73038,8/10
ours_pg_q20,本方法 相位+增益 ＋量化 r2.0,10,0.65612,0.37223,10.739,0.3778,0.12705,0.73573,0.72907,8/10
ours_ph_n,本方法 純相位 無量化 r0.9,10,0.59132,0.32558,11.9825,0.45705,0.17989,0.74467,0.74341,7/10
ours_pg_n,本方法 相位+增益 無量化 r0.9,10,0.63721,0.37262,11.1983,0.38319,0.17932,0.73197,0.7382,7/10
ours_pg_m,本方法 相位+增益 無量化 r2.0,10,0.70715,0.44364,8.9183,0.2943,0.10109,0.67156,0.6709,8/10
ours_ph_qd60,本方法 純相位 ＋量化 QD0.60 r0.9,10,0.38403,0.19394,18.7627,0.68031,0.22456,0.92924,0.91681,0/10
ours_ph_qd45,本方法 純相位 ＋量化 QD0.45 r0.9,10,0.36713,0.18063,19.1961,0.71586,0.2437,0.93277,0.9303,0/10
ours_ph_qd35,本方法 純相位 ＋量化 QD0.35 r0.9,10,0.36,0.16733,19.6385,0.72407,0.23591,0.93995,0.92759,0/10
dct_native,DCT-Shield 原生 q0.95,10,0.70251,0.42844,9.1369,0.29793,0.10979,0.6744,0.67738,9/10
dct_aj85,DCT-Shield 抗JPEG q0.85,10,0.7067,0.44565,9.1374,0.29702,0.09343,0.67376,0.67717,8/10
dct_aj75,DCT-Shield 抗JPEG q0.75,10,0.71327,0.46387,8.9173,0.28642,0.08962,0.66027,0.66218,9/10
dct_aj85_eps1.5,DCT-Shield 預算匹配 eps1.5,10,0.70696,0.44778,8.9303,0.28516,0.09722,0.67916,0.67384,9/10
dct_aj85_eps2.2,DCT-Shield 預算匹配 eps2.2,10,0.71097,0.45556,8.7144,0.28117,0.11082,0.67254,0.66799,9/10
dct_aj85_eps3.2,DCT-Shield 預算匹配 eps3.2,10,0.71646,0.45913,8.5342,0.27939,0.12206,0.66362,0.6557,9/10
dct_aj85_eps4.5,DCT-Shield 預算匹配 eps4.5,10,0.71656,0.45688,8.3343,0.26942,0.13354,0.65724,0.65298,9/10
dct_aj50_eps0.22,DCT-Shield q0.50 eps0.22（eps<1）,10,0.68832,0.40977,10.0221,0.3442,0.14096,0.69455,0.69128,7/10
dct_aj50_eps0.40,DCT-Shield q0.50 eps0.40（eps<1）,10,0.69981,0.44631,9.0665,0.29218,0.0937,0.6675,0.66424,9/10
dct_aj50_eps0.65,DCT-Shield q0.50 eps0.65（eps<1）,10,0.69937,0.44875,8.514,0.28308,0.1207,0.65057,0.65555,10/10
dct_aj30_eps0.13,DCT-Shield q0.30 eps0.13（eps<1）,10,0.66286,0.39237,10.5991,0.3709,0.15198,0.69863,0.70402,8/10
dct_aj30_eps0.25,DCT-Shield q0.30 eps0.25（eps<1）,10,0.69569,0.4398,9.1928,0.30352,0.09143,0.67124,0.67077,9/10
dct_aj30_eps0.42,DCT-Shield q0.30 eps0.42（eps<1）,10,0.71583,0.45799,8.6795,0.28446,0.12499,0.66583,0.66378,8/10
