image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,dct_shield_y,native,identity,0.55496,0.03376,0.55496,0.03376,1.0,0.79595,True,0.8,True,711.7
task_attr_mod_color_11699,dct_shield_y,native,jpeg90,0.45699,0.00204,0.55496,0.03376,0.82346,0.87915,False,0.8,True,711.7
task_attr_mod_color_11699,dct_shield_y,native,jpeg75,0.20732,0.00142,0.55496,0.03376,0.37358,0.97455,False,0.8,True,711.7
task_attr_mod_color_11699,dct_shield_y,native,jpeg50,0.19364,0.00254,0.55496,0.03376,0.34892,0.97646,False,0.8,True,711.7
task_attr_mod_color_11699,dct_shield_y,native,jpeg30,0.2805,0.00459,0.55496,0.03376,0.50544,0.96124,False,0.8,True,711.7
task_attr_mod_color_136767,dct_shield_y,native,identity,0.61003,0.03928,0.61003,0.03928,1.0,0.84345,False,0.8,True,702.8
task_attr_mod_color_136767,dct_shield_y,native,jpeg90,0.54564,0.05552,0.61003,0.03928,0.89444,0.84098,False,0.8,True,702.8
task_attr_mod_color_136767,dct_shield_y,native,jpeg75,0.20835,0.0087,0.61003,0.03928,0.34154,0.98571,False,0.8,True,702.8
task_attr_mod_color_136767,dct_shield_y,native,jpeg50,0.18043,0.01543,0.61003,0.03928,0.29577,0.98085,False,0.8,True,702.8
task_attr_mod_color_136767,dct_shield_y,native,jpeg30,0.25319,0.00842,0.61003,0.03928,0.41504,0.97015,False,0.8,True,702.8
task_attr_mod_color_184837,dct_shield_y,native,identity,0.58761,0.01918,0.58761,0.01918,1.0,0.87801,False,0.8,True,702.5
task_attr_mod_color_184837,dct_shield_y,native,jpeg90,0.50265,0.01546,0.58761,0.01918,0.85542,0.91425,False,0.8,True,702.5
task_attr_mod_color_184837,dct_shield_y,native,jpeg75,0.18065,0.03447,0.58761,0.01918,0.30743,0.97071,False,0.8,True,702.5
task_attr_mod_color_184837,dct_shield_y,native,jpeg50,0.16139,0.03276,0.58761,0.01918,0.27465,0.97153,False,0.8,True,702.5
task_attr_mod_color_184837,dct_shield_y,native,jpeg30,0.2565,0.03297,0.58761,0.01918,0.43651,0.95568,False,0.8,True,702.5
task_attr_mod_color_32648,dct_shield_y,native,identity,0.56108,0.15244,0.56108,0.15244,1.0,0.7319,True,0.8,True,703.0
task_attr_mod_color_32648,dct_shield_y,native,jpeg90,0.47319,0.05992,0.56108,0.15244,0.84335,0.87625,False,0.8,True,703.0
task_attr_mod_color_32648,dct_shield_y,native,jpeg75,0.32583,0.02707,0.56108,0.15244,0.58071,0.96782,False,0.8,True,703.0
task_attr_mod_color_32648,dct_shield_y,native,jpeg50,0.28074,0.01705,0.56108,0.15244,0.50035,0.96908,False,0.8,True,703.0
task_attr_mod_color_32648,dct_shield_y,native,jpeg30,0.31082,0.06042,0.56108,0.15244,0.55397,0.93568,False,0.8,True,703.0
task_attr_mod_color_6205,dct_shield_y,native,identity,0.72773,0.01971,0.72773,0.01971,1.0,0.46069,True,0.8,True,708.4
task_attr_mod_color_6205,dct_shield_y,native,jpeg90,0.64455,0.02982,0.72773,0.01971,0.8857,0.81337,True,0.8,True,708.4
task_attr_mod_color_6205,dct_shield_y,native,jpeg75,0.1964,0.04843,0.72773,0.01971,0.26988,0.94171,False,0.8,True,708.4
task_attr_mod_color_6205,dct_shield_y,native,jpeg50,0.13669,0.0003,0.72773,0.01971,0.18783,0.97987,False,0.8,True,708.4
task_attr_mod_color_6205,dct_shield_y,native,jpeg30,0.22604,0.01651,0.72773,0.01971,0.31061,0.94701,False,0.8,True,708.4
