image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_env_weather_112463,dct_shield_y,native,identity,0.79224,0.08072,0.79224,0.08072,1.0,0.59258,True,0.8,True,702.1
task_env_weather_112463,dct_shield_y,native,jpeg90,0.72803,0.1206,0.79224,0.08072,0.91895,0.5706,True,0.8,True,702.1
task_env_weather_112463,dct_shield_y,native,jpeg75,0.62532,0.06792,0.79224,0.08072,0.78931,0.68185,True,0.8,True,702.1
task_env_weather_112463,dct_shield_y,native,jpeg50,0.29965,0.04333,0.79224,0.08072,0.37823,0.90837,False,0.8,True,702.1
task_env_weather_112463,dct_shield_y,native,jpeg30,0.35346,0.09277,0.79224,0.08072,0.44616,0.92194,False,0.8,True,702.1
task_obj_remove_380621,dct_shield_y,native,identity,0.74771,0.02519,0.74771,0.02519,1.0,0.71728,True,0.8,True,694.3
task_obj_remove_380621,dct_shield_y,native,jpeg90,0.74463,0.0284,0.74771,0.02519,0.99588,0.71751,True,0.8,True,694.3
task_obj_remove_380621,dct_shield_y,native,jpeg75,0.61401,0.0203,0.74771,0.02519,0.82118,0.77832,True,0.8,True,694.3
task_obj_remove_380621,dct_shield_y,native,jpeg50,0.27088,0.07448,0.74771,0.02519,0.36228,0.96077,False,0.8,True,694.3
task_obj_remove_380621,dct_shield_y,native,jpeg30,0.36796,0.09562,0.74771,0.02519,0.49211,0.91125,False,0.8,True,694.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,identity,0.56892,0.16696,0.56892,0.16696,1.0,0.81082,True,0.8,True,695.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg90,0.44181,0.1687,0.56892,0.16696,0.77656,0.83954,False,0.8,True,695.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg75,0.46327,0.1901,0.56892,0.16696,0.8143,0.8382,False,0.8,True,695.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg50,0.37457,0.19996,0.56892,0.16696,0.65838,0.91008,False,0.8,True,695.3
task_obj_swap_joint_mask_276754,dct_shield_y,native,jpeg30,0.20216,0.11508,0.56892,0.16696,0.35534,0.89817,False,0.8,True,695.3
task_obj_swap_joint_mask_533428,dct_shield_y,native,identity,0.64706,0.03703,0.64706,0.03703,1.0,0.62069,True,0.8,True,695.5
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg90,0.63808,0.01702,0.64706,0.03703,0.98612,0.61498,True,0.8,True,695.5
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg75,0.58707,0.008,0.64706,0.03703,0.90729,0.59236,True,0.8,True,695.5
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg50,0.36539,0.02494,0.64706,0.03703,0.56469,0.87723,False,0.8,True,695.5
task_obj_swap_joint_mask_533428,dct_shield_y,native,jpeg30,0.40519,0.03275,0.64706,0.03703,0.62621,0.90373,False,0.8,True,695.5
task_obj_swap_rand_mask_417469,dct_shield_y,native,identity,0.71887,0.04796,0.71887,0.04796,1.0,0.52191,True,0.8,True,696.4
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg90,0.75574,0.03765,0.71887,0.04796,1.05129,0.49256,True,0.8,True,696.4
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg75,0.78112,0.00283,0.71887,0.04796,1.0866,0.40678,True,0.8,True,696.4
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg50,0.27248,0.00298,0.71887,0.04796,0.37904,0.95632,False,0.8,True,696.4
task_obj_swap_rand_mask_417469,dct_shield_y,native,jpeg30,0.3088,0.0063,0.71887,0.04796,0.42956,0.9403,False,0.8,True,696.4
