image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,phase_gain,native,identity,0.42096,0.00233,0.42096,0.00233,1.0,0.86297,False,0.8,True,1286.1
task_attr_mod_color_11699,phase_gain,native,blur1,0.22309,0.00751,0.42096,0.00233,0.52995,0.96465,False,0.8,True,1286.1
task_attr_mod_color_11699,phase_gain,native,jpeg90,0.41974,0.00288,0.42096,0.00233,0.99711,0.8657,False,0.8,True,1286.1
task_attr_mod_color_11699,phase_gain,native,jpeg75,0.45163,0.00134,0.42096,0.00233,1.07286,0.87738,False,0.8,True,1286.1
task_attr_mod_color_11699,phase_gain,native,jpeg50,0.3714,0.00335,0.42096,0.00233,0.88227,0.85846,False,0.8,True,1286.1
task_attr_mod_color_11699,phase_gain,native,jpeg30,0.35433,0.00298,0.42096,0.00233,0.84173,0.90892,False,0.8,True,1286.1
task_attr_mod_color_11699,phase_gain,native,blur2,0.31549,0.00638,0.42096,0.00233,0.74945,0.90903,False,0.8,True,1286.1
task_attr_mod_color_11699,phase_gain,native,crop_resize0.1,0.57576,0.00279,0.42096,0.00233,1.36774,0.90256,False,0.8,True,1286.1
task_attr_mod_color_11699,phase_gain,native,crop_resize0.15,0.64348,0.00167,0.42096,0.00233,1.5286,0.89491,False,0.8,True,1286.1
task_attr_mod_color_136767,phase_gain,native,identity,0.47827,0.00943,0.47827,0.00943,1.0,0.91745,False,0.8,True,1276.5
task_attr_mod_color_136767,phase_gain,native,blur1,0.2836,0.01242,0.47827,0.00943,0.59298,0.97196,False,0.8,True,1276.5
task_attr_mod_color_136767,phase_gain,native,jpeg90,0.47026,0.00946,0.47827,0.00943,0.98324,0.9132,False,0.8,True,1276.5
task_attr_mod_color_136767,phase_gain,native,jpeg75,0.46669,0.02002,0.47827,0.00943,0.97579,0.92637,False,0.8,True,1276.5
task_attr_mod_color_136767,phase_gain,native,jpeg50,0.3654,0.00135,0.47827,0.00943,0.764,0.93607,False,0.8,True,1276.5
task_attr_mod_color_136767,phase_gain,native,jpeg30,0.33986,0.00617,0.47827,0.00943,0.71061,0.93001,False,0.8,True,1276.5
task_attr_mod_color_136767,phase_gain,native,blur2,0.33324,0.01894,0.47827,0.00943,0.69677,0.9534,False,0.8,True,1276.5
task_attr_mod_color_136767,phase_gain,native,crop_resize0.1,0.57835,0.00104,0.47827,0.00943,1.20925,0.93311,False,0.8,True,1276.5
task_attr_mod_color_136767,phase_gain,native,crop_resize0.15,0.59699,0.00295,0.47827,0.00943,1.24824,0.94863,False,0.8,True,1276.5
task_attr_mod_color_184837,phase_gain,native,identity,0.52081,0.01087,0.52081,0.01087,1.0,0.91603,False,0.8,True,1275.5
task_attr_mod_color_184837,phase_gain,native,blur1,0.30309,0.01686,0.52081,0.01087,0.58197,0.95584,False,0.8,True,1275.5
task_attr_mod_color_184837,phase_gain,native,jpeg90,0.5102,0.00915,0.52081,0.01087,0.97962,0.91949,False,0.8,True,1275.5
task_attr_mod_color_184837,phase_gain,native,jpeg75,0.5445,0.01206,0.52081,0.01087,1.04549,0.91523,False,0.8,True,1275.5
task_attr_mod_color_184837,phase_gain,native,jpeg50,0.43558,0.00622,0.52081,0.01087,0.83636,0.92463,False,0.8,True,1275.5
task_attr_mod_color_184837,phase_gain,native,jpeg30,0.40617,0.01274,0.52081,0.01087,0.77989,0.92818,False,0.8,True,1275.5
task_attr_mod_color_184837,phase_gain,native,blur2,0.397,0.02095,0.52081,0.01087,0.76227,0.93713,False,0.8,True,1275.5
task_attr_mod_color_184837,phase_gain,native,crop_resize0.1,0.69089,0.01708,0.52081,0.01087,1.32656,0.86067,False,0.8,True,1275.5
task_attr_mod_color_184837,phase_gain,native,crop_resize0.15,0.70925,0.02224,0.52081,0.01087,1.36182,0.86726,False,0.8,True,1275.5
task_attr_mod_color_32648,phase_gain,native,identity,0.44266,0.03511,0.44266,0.03511,1.0,0.92739,False,0.8,True,1275.9
task_attr_mod_color_32648,phase_gain,native,blur1,0.2635,0.0259,0.44266,0.03511,0.59527,0.97538,False,0.8,True,1275.9
task_attr_mod_color_32648,phase_gain,native,jpeg90,0.42353,0.04102,0.44266,0.03511,0.95678,0.92893,False,0.8,True,1275.9
task_attr_mod_color_32648,phase_gain,native,jpeg75,0.49586,0.04373,0.44266,0.03511,1.12019,0.9343,False,0.8,True,1275.9
task_attr_mod_color_32648,phase_gain,native,jpeg50,0.40594,0.04053,0.44266,0.03511,0.91706,0.90892,False,0.8,True,1275.9
task_attr_mod_color_32648,phase_gain,native,jpeg30,0.33077,0.01861,0.44266,0.03511,0.74724,0.90261,False,0.8,True,1275.9
task_attr_mod_color_32648,phase_gain,native,blur2,0.25925,0.01467,0.44266,0.03511,0.58567,0.97234,False,0.8,True,1275.9
task_attr_mod_color_32648,phase_gain,native,crop_resize0.1,0.5262,0.08524,0.44266,0.03511,1.18874,0.93139,False,0.8,True,1275.9
task_attr_mod_color_32648,phase_gain,native,crop_resize0.15,0.52734,0.11241,0.44266,0.03511,1.19132,0.92169,False,0.8,True,1275.9
task_attr_mod_color_6205,phase_gain,native,identity,0.51669,0.02328,0.51669,0.02328,1.0,0.84788,False,0.8,True,1273.0
task_attr_mod_color_6205,phase_gain,native,blur1,0.27051,0.07269,0.51669,0.02328,0.52355,0.93142,False,0.8,True,1273.0
task_attr_mod_color_6205,phase_gain,native,jpeg90,0.50892,0.01758,0.51669,0.02328,0.98497,0.86186,False,0.8,True,1273.0
task_attr_mod_color_6205,phase_gain,native,jpeg75,0.5415,0.02302,0.51669,0.02328,1.04801,0.85299,False,0.8,True,1273.0
task_attr_mod_color_6205,phase_gain,native,jpeg50,0.41654,0.01218,0.51669,0.02328,0.80617,0.88675,False,0.8,True,1273.0
task_attr_mod_color_6205,phase_gain,native,jpeg30,0.37012,0.03393,0.51669,0.02328,0.71633,0.90261,False,0.8,True,1273.0
task_attr_mod_color_6205,phase_gain,native,blur2,0.32922,0.07034,0.51669,0.02328,0.63717,0.91297,False,0.8,True,1273.0
task_attr_mod_color_6205,phase_gain,native,crop_resize0.1,0.66524,0.00929,0.51669,0.02328,1.2875,0.87329,False,0.8,True,1273.0
task_attr_mod_color_6205,phase_gain,native,crop_resize0.15,0.69968,0.00575,0.51669,0.02328,1.35416,0.88638,False,0.8,True,1273.0
