image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.07918,0.98158,30.508,0.64771,0.01952,0.10739,0.92714,23.938,0.48166,0.05099,0.46475,0.02983,173.0
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14303,0.97175,31.363,0.60774,0.04546,0.17912,0.86996,22.973,0.41605,0.11349,0.40257,0.02703,173.9
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13919,0.9534,26.278,0.52491,0.0506,0.20038,0.75082,19.048,0.34535,0.14569,0.5394,0.04854,173.6
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14003,0.99262,41.696,0.74176,0.03145,0.16023,0.88762,22.095,0.6906,0.14193,0.21,0.00823,173.3
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.0805,0.98094,34.079,0.70535,0.04114,0.12789,0.88346,22.242,0.58035,0.08799,0.45018,0.01977,173.5
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14956,0.96692,33.267,0.65629,0.02138,0.25285,0.80342,21.517,0.34865,0.11147,0.28318,0.02171,173.5
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13894,0.98052,34.702,0.68795,0.01915,0.17715,0.91988,27.879,0.44246,0.04757,0.2512,0.0184,173.4
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.17491,0.95669,33.422,0.63545,0.02737,0.55456,0.71569,14.788,0.35409,0.3196,0.26007,0.02133,173.6
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1917,0.93906,23.602,0.49781,0.045,0.32239,0.64067,18.172,0.21495,0.1413,0.62638,0.06605,173.6
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.27,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.12911,0.97636,29.571,0.59298,0.03891,0.15924,0.89193,23.284,0.37397,0.07126,0.46206,0.03322,173.8
