image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.60406,0.87478,21.988,0.18848,0.15657,0.62951,0.44702,9.648,0.11781,0.35608,0.64516,0.07954,0.74306,0.71053,True,0.837,398.7
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57068,0.80943,22.711,0.21283,0.18265,0.63111,0.25136,6.919,0.02434,0.42637,0.61325,0.07319,0.77263,0.87643,False,0.837,387.5
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56479,0.86678,20.28,0.21792,0.20772,0.78323,0.1358,6.195,0.03166,0.66818,0.64467,0.09683,0.69661,0.63317,True,0.837,387.6
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.61743,0.82285,27.001,0.09998,0.2174,0.60933,0.40716,10.589,0.08022,0.39015,0.60901,0.04466,0.77642,0.72153,True,0.837,387.8
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.61591,0.8784,23.72,0.20303,0.18584,0.74462,0.19123,6.53,0.397,0.76324,0.74198,0.06516,0.5454,0.47599,True,0.837,387.9
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.65051,0.88362,23.252,0.20809,0.11831,0.88293,0.29635,10.328,0.15993,0.38556,0.56882,0.06877,0.54743,0.57224,True,0.837,387.8
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49443,0.8587,19.767,0.22828,0.13815,0.64034,0.29823,13.161,0.07237,0.28958,0.82487,0.10272,0.83118,0.7291,True,0.837,387.8
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.59048,0.88,22.173,0.20407,0.13422,0.68682,0.32237,12.175,0.02996,0.4799,0.73537,0.07787,0.6143,0.61083,True,0.837,387.6
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56833,0.86069,22.121,0.24912,0.16314,0.7209,0.17515,10.506,0.05647,0.402,0.69522,0.07833,0.50045,0.54857,True,0.837,387.8
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.08,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.60401,0.897,23.485,0.24077,0.15955,0.74251,0.2318,7.911,0.04129,0.38926,0.66786,0.06695,0.73854,0.7171,True,0.837,387.8
