image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_attr_mod_color_11699,dct_shield,native,identity,0.63432,0.01984,0.63432,0.01984,1.0,0.73263,True,0.8,True,1028.5
task_attr_mod_color_11699,dct_shield,native,blur1,0.30037,0.00423,0.63432,0.01984,0.47354,0.94507,False,0.8,True,1028.5
task_attr_mod_color_11699,dct_shield,native,jpeg75,0.26496,0.0045,0.63432,0.01984,0.41772,0.94518,False,0.8,True,1028.5
task_attr_mod_color_11699,dct_shield,native,jpeg30,0.26274,0.00383,0.63432,0.01984,0.41421,0.9646,False,0.8,True,1028.5
task_attr_mod_color_11699,dct_shield,native,crop_resize0.1,0.61098,0.00257,0.63432,0.01984,0.96321,0.87924,False,0.8,True,1028.5
task_attr_mod_color_11699,dct_shield,native,jpeg_then_resize75,0.20232,0.00222,0.63432,0.01984,0.31895,0.96899,False,0.8,True,1028.5
task_attr_mod_color_11699,dct_shield,native,adverse_cleaner,0.46154,0.00246,0.63432,0.01984,0.72762,0.85629,False,0.8,True,1028.5
task_attr_mod_color_136767,dct_shield,native,identity,0.61838,0.01552,0.61838,0.01552,1.0,0.85376,False,0.8,True,1017.5
task_attr_mod_color_136767,dct_shield,native,blur1,0.31788,0.01666,0.61838,0.01552,0.51404,0.95478,False,0.8,True,1017.5
task_attr_mod_color_136767,dct_shield,native,jpeg75,0.24676,0.01001,0.61838,0.01552,0.39905,0.95589,False,0.8,True,1017.5
task_attr_mod_color_136767,dct_shield,native,jpeg30,0.22414,0.016,0.61838,0.01552,0.36246,0.96902,False,0.8,True,1017.5
task_attr_mod_color_136767,dct_shield,native,crop_resize0.1,0.59271,0.00182,0.61838,0.01552,0.95848,0.89818,False,0.8,True,1017.5
task_attr_mod_color_136767,dct_shield,native,jpeg_then_resize75,0.20602,0.00721,0.61838,0.01552,0.33315,0.97502,False,0.8,True,1017.5
task_attr_mod_color_136767,dct_shield,native,adverse_cleaner,0.47819,0.00689,0.61838,0.01552,0.77329,0.87664,False,0.8,True,1017.5
task_attr_mod_color_184837,dct_shield,native,identity,0.77869,0.02409,0.77869,0.02409,1.0,0.62975,True,0.8,True,1016.9
task_attr_mod_color_184837,dct_shield,native,blur1,0.28723,0.00767,0.77869,0.02409,0.36886,0.95615,False,0.8,True,1016.9
task_attr_mod_color_184837,dct_shield,native,jpeg75,0.25206,0.01104,0.77869,0.02409,0.32369,0.9528,False,0.8,True,1016.9
task_attr_mod_color_184837,dct_shield,native,jpeg30,0.22956,0.03215,0.77869,0.02409,0.2948,0.96356,False,0.8,True,1016.9
task_attr_mod_color_184837,dct_shield,native,crop_resize0.1,0.69012,0.011,0.77869,0.02409,0.88625,0.87478,False,0.8,True,1016.9
task_attr_mod_color_184837,dct_shield,native,jpeg_then_resize75,0.20646,0.03715,0.77869,0.02409,0.26514,0.9731,False,0.8,True,1016.9
task_attr_mod_color_184837,dct_shield,native,adverse_cleaner,0.50022,0.01676,0.77869,0.02409,0.64239,0.90852,False,0.8,True,1016.9
task_attr_mod_color_32648,dct_shield,native,identity,0.55694,0.06301,0.55694,0.06301,1.0,0.68846,True,0.8,True,1007.6
task_attr_mod_color_32648,dct_shield,native,blur1,0.36367,0.02661,0.55694,0.06301,0.65297,0.92247,False,0.8,True,1007.6
task_attr_mod_color_32648,dct_shield,native,jpeg75,0.33022,0.04492,0.55694,0.06301,0.59291,0.90243,False,0.8,True,1007.6
task_attr_mod_color_32648,dct_shield,native,jpeg30,0.27548,0.03118,0.55694,0.06301,0.49463,0.93752,False,0.8,True,1007.6
task_attr_mod_color_32648,dct_shield,native,crop_resize0.1,0.52695,0.10156,0.55694,0.06301,0.94614,0.90338,False,0.8,True,1007.6
task_attr_mod_color_32648,dct_shield,native,jpeg_then_resize75,0.28707,0.02041,0.55694,0.06301,0.51544,0.96574,False,0.8,True,1007.6
task_attr_mod_color_32648,dct_shield,native,adverse_cleaner,0.40105,0.0429,0.55694,0.06301,0.7201,0.93136,False,0.8,True,1007.6
task_attr_mod_color_6205,dct_shield,native,identity,0.71026,0.01809,0.71026,0.01809,1.0,0.46928,True,0.8,True,1008.0
task_attr_mod_color_6205,dct_shield,native,blur1,0.34111,0.04407,0.71026,0.01809,0.48026,0.91021,False,0.8,True,1008.0
task_attr_mod_color_6205,dct_shield,native,jpeg75,0.24059,0.0403,0.71026,0.01809,0.33873,0.92821,False,0.8,True,1008.0
task_attr_mod_color_6205,dct_shield,native,jpeg30,0.20362,0.03006,0.71026,0.01809,0.28668,0.94666,False,0.8,True,1008.0
task_attr_mod_color_6205,dct_shield,native,crop_resize0.1,0.6917,0.00683,0.71026,0.01809,0.97386,0.85767,False,0.8,True,1008.0
task_attr_mod_color_6205,dct_shield,native,jpeg_then_resize75,0.18112,0.01967,0.71026,0.01809,0.255,0.96331,False,0.8,True,1008.0
task_attr_mod_color_6205,dct_shield,native,adverse_cleaner,0.61326,0.03172,0.71026,0.01809,0.86342,0.77946,True,0.8,True,1008.0
