image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,siglip_sim,siglip_blocked,edit_strength,usable,seconds
task_env_weather_112463,phase_gain,native,identity,0.6228,0.18187,0.6228,0.18187,1.0,0.56412,True,0.8,True,967.0
task_env_weather_112463,phase_gain,native,blur1,0.33869,0.00146,0.6228,0.18187,0.54381,0.91663,False,0.8,True,967.0
task_env_weather_112463,phase_gain,native,jpeg75,0.58384,0.13886,0.6228,0.18187,0.93745,0.55484,True,0.8,True,967.0
task_env_weather_112463,phase_gain,native,jpeg30,0.51381,0.24293,0.6228,0.18187,0.82501,0.91897,False,0.8,True,967.0
task_env_weather_112463,phase_gain,native,crop_resize0.1,0.69462,0.22614,0.6228,0.18187,1.11531,0.89026,False,0.8,True,967.0
task_env_weather_112463,phase_gain,native,jpeg_then_resize75,0.31928,0.00879,0.6228,0.18187,0.51265,0.94039,False,0.8,True,967.0
task_env_weather_112463,phase_gain,native,adverse_cleaner,0.57531,0.15251,0.6228,0.18187,0.92375,0.58592,True,0.8,True,967.0
task_env_weather_246440,phase_gain,native,identity,0.60141,0.02074,0.60141,0.02074,1.0,0.84794,False,0.8,True,956.2
task_env_weather_246440,phase_gain,native,blur1,0.42811,0.00443,0.60141,0.02074,0.71185,0.89532,False,0.8,True,956.2
task_env_weather_246440,phase_gain,native,jpeg75,0.56342,0.0157,0.60141,0.02074,0.93684,0.88111,False,0.8,True,956.2
task_env_weather_246440,phase_gain,native,jpeg30,0.48122,0.02191,0.60141,0.02074,0.80016,0.91938,False,0.8,True,956.2
task_env_weather_246440,phase_gain,native,crop_resize0.1,0.65128,0.01333,0.60141,0.02074,1.08293,0.8518,False,0.8,True,956.2
task_env_weather_246440,phase_gain,native,jpeg_then_resize75,0.40069,0.00784,0.60141,0.02074,0.66626,0.94217,False,0.8,True,956.2
task_env_weather_246440,phase_gain,native,adverse_cleaner,0.578,0.01878,0.60141,0.02074,0.96108,0.84214,False,0.8,True,956.2
task_env_weather_63722,phase_gain,native,identity,0.5192,0.00391,0.5192,0.00391,1.0,0.82439,True,0.8,True,956.1
task_env_weather_63722,phase_gain,native,blur1,0.30116,0.0051,0.5192,0.00391,0.58004,0.92743,False,0.8,True,956.1
task_env_weather_63722,phase_gain,native,jpeg75,0.52489,0.00213,0.5192,0.00391,1.01097,0.86912,False,0.8,True,956.1
task_env_weather_63722,phase_gain,native,jpeg30,0.40845,0.00533,0.5192,0.00391,0.7867,0.90312,False,0.8,True,956.1
task_env_weather_63722,phase_gain,native,crop_resize0.1,0.57939,0.0034,0.5192,0.00391,1.11592,0.88196,False,0.8,True,956.1
task_env_weather_63722,phase_gain,native,jpeg_then_resize75,0.31994,0.00324,0.5192,0.00391,0.61622,0.94485,False,0.8,True,956.1
task_env_weather_63722,phase_gain,native,adverse_cleaner,0.50233,0.00315,0.5192,0.00391,0.9675,0.8431,False,0.8,True,956.1
