image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36266,0.89443,22.725,0.34641,0.13516,0.4081,0.63445,17.16,0.31802,0.2808,1.0,0.07307,180.2
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43168,0.84516,22.603,0.26963,0.18439,0.47388,0.54306,16.066,0.24795,0.33187,0.99608,0.07411,184.3
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42816,0.78362,18.996,0.24006,0.23599,0.57771,0.35134,13.972,0.25615,0.36722,0.95491,0.11225,185.4
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52377,0.93166,27.569,0.22992,0.16399,0.39247,0.66989,14.399,0.66237,0.29084,0.98824,0.04183,186.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35394,0.89884,25.991,0.39062,0.16879,0.54,0.4712,10.02,0.4268,0.34865,0.82745,0.05017,186.2
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49499,0.86345,23.958,0.35026,0.12864,0.47569,0.49525,16.435,0.29301,0.24096,0.98039,0.0634,186.0
task_env_weather_133752,phase_gain,instruct-pix2pix,transform the setting to a rainy day,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44822,0.89885,27.141,0.38974,0.10442,0.6135,0.56605,15.767,0.37824,0.36462,0.94118,0.04395,185.9
task_env_weather_181583,phase_gain,instruct-pix2pix,change the setting to a stormy day,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48075,0.83,24.74,0.32726,0.17613,0.73856,0.57097,13.519,0.2643,0.42045,0.96863,0.05795,183.3
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48677,0.71768,17.326,0.18428,0.17754,0.53345,0.36163,15.255,0.10099,0.29993,1.0,0.13604,182.4
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42444,0.85912,21.584,0.28211,0.13363,0.51,0.57164,16.628,0.24033,0.29603,0.95294,0.08333,182.5
task_obj_add_13726,phase_gain,instruct-pix2pix,Add subscribe button,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50442,0.80534,21.629,0.19752,0.18758,0.8328,0.40376,13.557,0.2424,0.44749,0.95686,0.0829,182.5
task_obj_add_340466,phase_gain,instruct-pix2pix,Add orange juice,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35121,0.90948,24.53,0.41496,0.14601,0.50175,0.64982,15.136,0.37963,0.31644,0.97647,0.05936,182.4
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51613,0.80172,21.259,0.2706,0.17619,0.55027,0.34305,15.395,0.23054,0.38115,0.97647,0.08651,182.4
task_obj_add_581286,phase_gain,instruct-pix2pix,Add sauce,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42806,0.92284,29.17,0.451,0.12066,0.65571,0.36008,11.859,0.12939,0.3958,0.87843,0.03479,182.2
task_obj_add_692065,phase_gain,instruct-pix2pix,Add monk,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,2.6,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36062,0.82614,22.403,0.39057,0.15655,0.39607,0.44508,16.796,0.35798,0.30893,0.76863,0.07584,182.1
